metric,season,rs_mean,po_mean,n_pairs,mean_diff,sd_diff,t_stat
bench_share,2025,0.29898143139328937,0.2627819708681072,8,-0.036199460525182185,0.03834045999357838,-2.67048272419666
bench_share,pooled,0.28238558468148983,0.24272349451431569,40,-0.03966209016717408,0.055649273264797405,-4.507607533145569
max_min_n40,2021,34.31921697956304,35.77192325530868,8,1.4527062757456468,2.397019925352495,1.714159232115592
max_min_n40,2022,33.516488053689145,34.825983363319494,8,1.3094953096303508,2.634556199616466,1.4058580545845216
max_min_n40,2023,35.02160838642608,37.55226044603131,8,2.530652059605238,1.3920720497340027,5.141806367026746
max_min_n40,2024,35.02425053318402,37.36343648096874,8,2.3391859477847143,1.5296329214080218,4.325362570288568
max_min_n40,2025,33.696274943668435,35.428022094358354,8,1.731747150689916,1.8166995717968313,2.6961643467382634
max_min_n40,pooled,34.315567779306136,36.18832512799732,40,1.872757348691173,1.9687571491848908,6.016159716940379
n_35plus_n40,2021,0.73046875,0.9642045454545455,8,0.23373579545454543,0.3589330238013658,1.8418607930977675
n_35plus_n40,2022,0.5902777777777778,0.8958333333333334,8,0.3055555555555556,0.8789122666607702,0.983308180159684
n_35plus_n40,2023,0.8875,2.038888888888889,8,1.151388888888889,0.6600431550211697,4.9339494541993405
n_35plus_n40,2024,0.90625,1.6930465367965368,8,0.7867965367965368,0.6246279790837648,3.562755337338572
n_35plus_n40,2025,0.5909090909090909,1.2433712121212122,8,0.6524621212121212,0.6697028155412716,2.7556126668129135
n_35plus_n40,pooled,0.7410811237373738,1.3670689033189034,40,0.6259877795815296,0.710771181258654,5.57013909146862
n_30plus_n40,2021,2.33984375,3.0272727272727273,8,0.6874289772727273,1.1051559909713182,1.7593378505289896
n_30plus_n40,2022,2.326388888888889,2.8635416666666664,8,0.5371527777777778,0.9800579220861076,1.550211933969699
n_30plus_n40,2023,2.55,3.3331349206349206,8,0.7831349206349207,0.6570223127687053,3.371331549647898
n_30plus_n40,2024,2.7531250000000003,3.368371212121212,8,0.6152462121212121,0.7757019221171597,2.2433605295336028
n_30plus_n40,2025,2.25,2.923295454545454,8,0.6732954545454545,0.8014097580852078,2.376271448397066
n_30plus_n40,pooled,2.4438715277777776,3.103123196248196,40,0.6592516684704185,0.8361724725902281,4.9863799442591175
dressed_n,2021,11.07421875,11.46590909090909,8,0.39169034090909083,0.5881778426441727,1.8835588565320651
dressed_n,2022,11.04513888888889,11.170833333333334,8,0.12569444444444433,0.8897710776074578,0.3995607241500087
dressed_n,2023,10.946874999999999,10.652777777777779,8,-0.294097222222222,0.5643342863307128,-1.4740067736348166
dressed_n,2024,11.1375,11.75,8,0.6125,0.7451030609443042,2.3250630747798495
dressed_n,2025,11.323863636363637,11.84375,8,0.5198863636363635,0.4422755469004231,3.3247614592308032
dressed_n,pooled,11.105519255050506,11.37665404040404,40,0.27113478535353536,0.7110300699660178,2.4117221221291287
n_dnp,2021,1.6953125,2.040909090909091,8,0.3455965909090909,0.9087875280102611,1.0756031985685972
n_dnp,2022,1.6180555555555556,1.7666666666666666,8,0.14861111111111108,1.4098912049787897,0.2981334277573992
n_dnp,2023,1.553125,1.6236111111111111,8,0.07048611111111111,1.0555116297251341,0.1888798029032206
n_dnp,2024,1.790625,2.5971320346320343,8,0.8065070346320345,0.7330670356038551,3.1117841374122013
n_dnp,2025,1.8323863636363638,2.492424242424242,8,0.6600378787878787,0.4457930344400786,4.187748339469646
n_dnp,pooled,1.697900883838384,2.1041486291486295,40,0.40624774531024527,0.9595223765715047,2.6777242529322653
n_dnp_cd,2021,0.828125,1.4528409090909091,8,0.6247159090909091,0.6156365459425862,2.8701405629320584
n_dnp_cd,2022,0.8854166666666666,1.3916666666666666,8,0.50625,0.968281981444883,1.478795701398958
n_dnp_cd,2023,0.71875,0.9430555555555555,8,0.22430555555555556,0.47447815481890493,1.3371151255777873
n_dnp_cd,2024,1.19375,1.9989177489177488,8,0.8051677489177489,0.8378733954776204,2.7180219748015846
n_dnp_cd,2025,0.9232954545454546,1.8612689393939394,8,0.9379734848484848,0.8567784636703892,3.096470977425028
n_dnp_cd,pooled,0.9098674242424243,1.5295499639249637,40,0.6196825396825396,0.7726759401827863,5.072264191818708
