series_id,team_id,season,team_abbreviation,n_early,n_late,early_ch_ft,late_ch_ft,diff_ch_ft,early_ch_3pt,late_ch_3pt,diff_ch_3pt,early_ch_paint,late_ch_paint,diff_ch_paint,early_ch_np2,late_ch_np2,diff_ch_np2,early_pts_sum,late_pts_sum,diff_pts_sum
2022_1611661319-1611661328,1611661328,2022,SEA,2,2,2.259873765351025,3.523612885559489,1.2637391202084638,12.037927169861867,3.8769191265154834,-8.161008043346383,2.92885546994707,7.208487988579655,4.279632518632585,6.5231902011084895,2.9668352552560826,-3.556354945852407,10.703466204051473,10.480255662786476,-0.22321054126499718
2022_1611661321-1611661323,1611661321,2022,DAL,2,1,7.748135175012215,0.950780578747505,-6.79735459626471,9.208854923273748,10.344003245103597,1.135148321829849,1.9270085591932826,12.240322185202821,10.313313626009538,4.174219997421508,1.7171400256361746,-2.4570799717853333,11.106929922234109,25.25224603469009,14.14531611245598
2022_1611661321-1611661323,1611661323,2022,CON,2,1,2.536048416896543,0.07894281367664568,-2.4571056032198975,5.5743294395492455,6.545631401816074,0.9713019622668284,6.705733866456917,0.30206174022851684,-6.4036721262284,3.2924253175512357,6.946990468030588,3.6545651504793524,7.186315309424977,13.269502943294796,6.083187633869819
2022_1611661323-1611661329,1611661323,2022,CON,2,3,6.262816894781645,2.2537063686643144,-4.009110526117331,5.904176326618879,4.842435753622319,-1.0617405729965599,4.163955357811375,12.309509399124039,8.145554041312664,2.0991034426978095,5.685471225663721,3.5863677829659117,12.362847532084814,14.930632981942267,2.5677854498574533
2022_1611661323-1611661329,1611661329,2022,CHI,2,3,4.324154036080576,4.279109124291694,-0.04504491178888159,3.073347486459536,2.9466305937197936,-0.12671689273974218,10.97331077062223,12.642774695443721,1.6694639248214909,1.0122110688113608,1.862541325904307,0.8503302570929463,12.966362425693603,12.78670647207206,-0.17965595362154296
2023_1611661313-1611661319,1611661313,2023,NYL,2,2,3.734598069503731,5.19723723430274,1.4626391647990094,6.134535303123714,6.215083017778188,0.08054771465447352,7.549103891995323,6.8550920947048795,-0.6940117972904432,5.325104344858643,2.0271020399367443,-3.2980023049218983,9.282727643690194,9.330089790770401,0.04736214708020725
2023_1611661313-1611661319,1611661319,2023,LVA,2,2,2.036352694369656,5.666738962122105,3.630386267752449,6.104622217512912,9.383717903092618,3.2790956855797067,5.138890354861786,7.190184141277573,2.051293786415787,3.010158858612587,8.421503155267988,5.411344296655401,10.675061728965886,19.926994774996217,9.25193304603033
2023_1611661313-1611661323,1611661313,2023,NYL,2,2,3.736658774577033,7.327392688444103,3.59073391386707,5.528795081440485,3.51169289698017,-2.017102184460315,9.794982138298717,8.38522160889245,-1.4097605294062667,1.0408981651083185,3.03911025626105,1.9982120911527317,15.854515764969221,2.453839492850747,-13.400676272118474
2023_1611661313-1611661323,1611661323,2023,CON,2,2,3.246493981119076,5.923003319190222,2.6765093380711464,1.797725363675573,9.245531008991277,7.447805645315704,8.25104891082464,8.253359329563935,0.0023104187392952724,4.161975452777542,1.1769911021655624,-2.9849843506119793,3.9269250581459403,1.5596412342869712,-2.367283823858969
2023_1611661319-1611661321,1611661319,2023,LVA,2,1,4.692093836397724,6.980130598754982,2.288036762357258,1.576215980914558,9.41514590652696,7.838929925612401,9.22900168903082,13.73160786718239,4.50260617815157,3.061070545051064,1.7279720143144015,-1.3330985307366623,3.0520532884965874,28.39891235814993,25.34685906965334
2023_1611661319-1611661321,1611661321,2023,DAL,2,1,6.423987124877426,8.361608248891546,1.93762112401412,8.04217830252689,3.1692689529881406,-4.87290934953875,3.5343664847829537,14.269074694087912,10.734708209304959,4.996562143739766,2.5811526877404063,-2.4154094559993595,6.9127374508732515,28.38110458370801,21.468367132834757
2023_1611661323-1611661324,1611661323,2023,CON,2,1,3.7754159359666506,4.318638978402182,0.5432230424355318,14.235385833269456,3.5031226263983086,-10.732263206871147,8.844431176944994,2.8136689596558284,-6.0307622172891655,1.839310731094423,6.655509623367378,4.816198892272954,7.604525299611659,8.653662231019325,1.0491369314076664
2023_1611661323-1611661324,1611661324,2023,MIN,2,1,3.618676127704749,2.0808936154547872,-1.5377825122499615,6.1668709431636035,3.1076535846817386,-3.059217358481865,10.387961125134673,7.252450109270207,-3.1355110158644663,2.104114082168989,1.869106487425709,-0.23500759474327992,11.590908126503415,3.9330093965593846,-7.65789872994403
2024_1611661313-1611661319,1611661313,2024,NYL,2,2,3.2409698897627734,3.624015093841459,0.3830452040786856,3.8753360763341487,3.712368211032487,-0.16296786530166152,7.049754493645789,7.327141311547599,0.2773868179018102,2.7567976788959894,3.1542416332509364,0.39744395435494706,1.9441183619613085,7.182044892789456,5.2379265308281475
2024_1611661313-1611661319,1611661319,2024,LVA,2,2,1.0004053585319639,2.7447111313958708,1.7443057728639069,7.688917527497221,9.310098273296601,1.6211807457993803,7.097613015317258,7.218691715197366,0.12107869988010833,3.077402261399098,5.712563430685506,2.635161169286408,3.721963748178929,16.706626591495088,12.984662843316158
2024_1611661313-1611661324,1611661313,2024,NYL,2,3,2.690493242523633,4.238800485380028,1.5483072428563949,6.231262357712547,9.127404695180596,2.8961423374680493,4.006779882196017,4.430381885550989,0.4236020033549712,1.6912684705170826,2.1822471953368474,0.4909787248197648,6.6708430677206465,8.784969796624722,2.1141267289040755
2024_1611661313-1611661324,1611661324,2024,MIN,2,3,4.0163335921583325,3.723375086823238,-0.2929585053350947,4.514558521323471,6.338371653514179,1.8238131321907085,7.433054322391108,7.107126004511806,-0.32592831787930177,2.811967154670973,4.203169226373407,1.391202071702434,14.829323632883884,8.62978887215425,-6.199534760729634
2024_1611661323-1611661324,1611661323,2024,CON,2,3,8.131414148234157,3.8655960957170183,-4.2658180525171385,6.232854196606482,6.950044012063934,0.7171898154574521,3.4406378318983037,9.789773067882509,6.349135235984205,5.063523516372465,1.5532936117175593,-3.5102299046549055,8.548935492410791,5.801312891138726,-2.7476226012720657
2024_1611661323-1611661324,1611661324,2024,MIN,2,3,1.9890241805383155,2.489441876283694,0.5004176957453783,7.704794271387055,6.4624037420971705,-1.2423905292898842,2.6062618743064156,10.026463952000364,7.420202077693949,2.89056952941226,4.756382828818494,1.8658132994062342,9.978126107031208,4.4406110168557165,-5.537515090175492
2025_1611661313-1611661317,1611661313,2025,NYL,2,1,5.437071571564236,5.9863569962971575,0.5492854247329211,6.075944987544348,5.896245142841778,-0.1796998447025704,7.5684742621142576,2.833442178298405,-4.735032083815852,3.1099021836027787,4.136028756263729,1.0261265726609499,13.287727170399371,6.879359081106742,-6.40836808929263
2025_1611661313-1611661317,1611661317,2025,PHX,2,1,1.383468030412029,4.875082426253627,3.491614395841598,8.566249183958737,0.40452509123829117,-8.161724092720446,2.0085428351543406,2.4954639149086404,0.48692107975429977,6.056893520259729,4.491368236526721,-1.5655252837330078,8.873229279295423,2.5162748164200224,-6.3569544628754
2025_1611661317-1611661319,1611661317,2025,PHX,2,2,2.6683916660493194,6.293102651704829,3.6247109856555095,13.905134829237426,8.887427025384078,-5.017707803853348,6.153644297152894,8.122644610290578,1.969000313137684,1.0456059978084467,1.0434058465083709,-0.002200151300075781,4.037492868226771,4.944305754752904,0.9068128865261329
2025_1611661317-1611661319,1611661319,2025,LVA,2,2,2.5314102986401013,12.506289104177256,9.974878805537156,1.5028621965495006,4.7490401746197755,3.246177978070275,3.026162580551233,6.057728795890096,3.031566215338863,5.287504351291276,4.155274578209122,-1.1322297730821544,4.034710519405806,7.042325904697819,3.007615385292013
2025_1611661317-1611661324,1611661317,2025,PHX,2,2,6.132023289588434,4.835825668714766,-1.2961976208736683,15.502390194068338,7.745496494477662,-7.756893699590677,10.10480388926408,4.1770504940966795,-5.9277533951674,3.1286519941770727,2.002623251758223,-1.1260287424188498,10.565463557755578,3.9713276630441214,-6.594135894711457
2025_1611661317-1611661324,1611661324,2025,MIN,2,2,3.7550035017750307,1.0111915828566058,-2.743811918918425,4.7257890133241425,5.478386782506901,0.7525977691827581,3.7700606033994717,4.204261525384624,0.4342009219851519,3.0192513471962545,5.246075984152825,2.2268246369565707,2.3924260956107943,5.771734569492033,3.3793084738812382
2025_1611661319-1611661325,1611661319,2025,LVA,2,3,2.6589097704472566,4.486743870465618,1.8278341000183618,13.440363669872594,7.428429250323929,-6.011934419548665,10.099341984303297,6.904267408471926,-3.195074575831371,1.0074945696857096,2.1240009058427365,1.1165063361570269,8.900770534071697,8.316222795792589,-0.5845477382791078
2025_1611661319-1611661325,1611661325,2025,IND,2,3,2.5929649273238473,6.327812502155207,3.7348475748313597,5.26672888586153,4.659744828761664,-0.6069840570998668,8.265598017545937,4.717573940703758,-3.5480240768421787,3.051177414207759,3.3317803515207416,0.2806029373129828,10.67746164570903,10.99993033365827,0.32246868794923955
2025_1611661319-1611661328,1611661319,2025,LVA,2,1,6.053688570807893,2.0483164969478533,-4.005372073860039,10.838185891974298,20.969879467278634,10.131693575304336,3.107284403387432,9.779825830908898,6.672541427521466,2.067992651743123,2.406407136975373,0.33841448523225015,10.092807984577973,11.548144276397252,1.455336291819279
2025_1611661319-1611661328,1611661328,2025,SEA,2,1,3.4213455003714444,2.033894287793748,-1.3874512125776963,4.560049717646383,2.4271718997732137,-2.132877817873169,4.234837914743682,6.858525367679697,2.6236874529360144,4.3778047980190395,1.9820189805172772,-2.3957858175017623,4.762274530313597,9.233821960176442,4.471547429862845
2025_1611661325-1611661330,1611661325,2025,IND,2,1,5.262558886888145,3.166358730849465,-2.0962001560386803,9.523420676198247,5.818622511371313,-3.7047981648269346,4.494960202604307,1.8180136825840805,-2.676946520020227,3.2545726191731363,4.097648452997115,0.8430758338239785,11.818416844480517,3.2633983550593513,-8.555018489421165
2025_1611661325-1611661330,1611661330,2025,ATL,2,1,7.3195927482020435,7.466232691406351,0.14663994320430707,11.107337663633308,10.109676303322718,-0.9976613603105893,2.045153450504902,17.672268340459276,15.627114889954374,2.104805818375387,2.41027766887803,0.30547185050264325,14.180031800364766,2.5066370146082306,-11.673394785756535
