game_id,season,season_type,game_date,team_abbreviation,opp_team_abbreviation,pts,opp_pts,margin_true,bookie_margin,n_books,era_file,bookie_margin_t65,bookie_err,bookie_err_t65,both_playoff_teams,err_str,str_margin_cal
1022200081,2022,Regular Season,2022-06-12,WAS,PHO,90,99,-9.0,7.9375,8,master_odds.csv,7.9375,16.9375,16.9375,True,,
1022200082,2022,Regular Season,2022-06-12,MIN,IND,80,84,-4.0,1.8846153846153846,13,master_odds.csv,1.8846153846153846,5.884615384615385,5.884615384615385,False,,
1022200083,2022,Regular Season,2022-06-14,WAS,PHO,83,65,18.0,8.3125,8,master_odds.csv,8.3125,-9.6875,-9.6875,True,,
1022200084,2022,Regular Season,2022-06-14,MIN,SEA,79,81,-2.0,-8.038461538461538,13,master_odds.csv,-8.038461538461538,-6.038461538461538,-6.038461538461538,False,,
1022200085,2022,Regular Season,2022-06-15,DAL,LVA,84,92,-8.0,-8.807692307692308,13,master_odds.csv,-8.807692307692308,-0.8076923076923084,-0.8076923076923084,True,,
1022200086,2022,Regular Season,2022-06-15,CON,ATL,105,92,13.0,10.1875,8,master_odds.csv,10.1875,-2.8125,-2.8125,False,,
1022200087,2022,Regular Season,2022-06-15,IND,PHO,80,93,-13.0,1.3076923076923077,13,master_odds.csv,1.3076923076923077,14.307692307692308,14.307692307692308,False,,
1022200088,2022,Regular Season,2022-06-16,NYL,WAS,77,65,12.0,-4.0,8,master_odds.csv,-4.0,-16.0,-16.0,True,,
1022200089,2022,Regular Season,2022-06-17,CON,SEA,82,71,11.0,7.5,8,master_odds.csv,7.5,-3.5,-3.5,True,,
1022200090,2022,Regular Season,2022-06-17,DAL,PHO,93,88,5.0,5.0,13,master_odds.csv,5.0,0.0,0.0,True,,
1022200091,2022,Regular Season,2022-06-17,CHI,ATL,106,100,6.0,7.5,8,master_odds.csv,7.5,1.5,1.5,False,,
1022200092,2022,Regular Season,2022-06-19,NYL,SEA,72,81,-9.0,-3.125,8,master_odds.csv,-3.125,5.875,5.875,True,,
1022200093,2022,Regular Season,2022-06-19,IND,CHI,89,87,2.0,-7.9375,8,master_odds.csv,-7.9375,-9.9375,-9.9375,False,,
1022200094,2022,Regular Season,2022-06-19,WAS,CON,71,63,8.0,-3.5625,8,master_odds.csv,-3.5625,-11.5625,-11.5625,True,,
1022200095,2022,Regular Season,2022-06-19,DAL,LAS,92,82,10.0,3.7857142857142856,7,master_odds.csv,3.7857142857142856,-6.214285714285714,-6.214285714285714,False,,
1022200096,2022,Regular Season,2022-06-19,LVA,MIN,96,95,1.0,15.307692307692308,13,master_odds.csv,15.307692307692308,14.307692307692308,14.307692307692308,False,,
