game_id,team_id,season,season_type,game_date,team_abbreviation,n_played,team_total_min,ot_game,top5_share,top7_share,starter_min_avg_raw,starter_min_avg_n40,starter_share,bench_share,max_min_n40,n_35plus_n40,n_30plus_n40,dressed_n,n_dnp,n_dnp_cd
1022100028,1611661321,2021,Regular Season,2021-05-27,DAL,10,200.00000000000006,0,0.7814999999999996,0.9349999999999997,25.413333333333334,25.413333333333327,0.6353333333333332,0.3646666666666668,34.58333333333332,0,3,12,2,2
1022100028,1611661330,2021,Regular Season,2021-05-27,ATL,10,200.00000000000003,0,0.7261666666666666,0.8709166666666667,27.623333333333335,27.62333333333333,0.6905833333333333,0.3094166666666667,35.71666666666666,1,2,11,1,1
1022100029,1611661322,2021,Regular Season,2021-05-28,WAS,10,200.0,0,0.8240833333333333,0.9684166666666667,32.96333333333333,32.96333333333333,0.8240833333333333,0.17591666666666672,36.86666666666667,3,4,12,2,1
1022100029,1611661323,2021,Regular Season,2021-05-28,CON,8,200.0,0,0.7907499999999998,0.9895833333333331,30.90333333333333,30.90333333333333,0.7725833333333333,0.2274166666666667,36.65,2,3,11,3,2
1022100030,1611661320,2021,Regular Season,2021-05-28,LAS,10,199.99999999999997,0,0.6432500000000001,0.8101666666666668,22.94,22.940000000000005,0.5735000000000001,0.4264999999999999,28.900000000000006,0,0,11,1,0
1022100030,1611661329,2021,Regular Season,2021-05-28,CHI,9,200.01666666666668,0,0.7502708107657694,0.9292558953420548,30.013333333333332,30.010832430630778,0.7502708107657694,0.2497291892342306,37.680193317223555,2,2,11,2,0
1022100031,1611661324,2021,Regular Season,2021-05-28,MIN,9,200.0,0,0.6750833333333333,0.8750833333333332,26.243333333333332,26.243333333333332,0.6560833333333334,0.34391666666666665,30.383333333333333,0,1,11,2,0
1022100031,1611661328,2021,Regular Season,2021-05-28,SEA,11,200.0,0,0.5712499999999999,0.7440833333333333,20.636666666666667,20.636666666666667,0.5159166666666667,0.4840833333333333,25.583333333333332,0,0,11,0,0
1022100032,1611661319,2021,Regular Season,2021-05-28,LVA,8,200.0,0,0.7866666666666666,0.9545,28.629999999999995,28.629999999999995,0.7157499999999999,0.2842500000000001,38.53333333333333,1,3,11,3,0
1022100032,1611661325,2021,Regular Season,2021-05-28,IND,10,199.99999999999997,0,0.6671666666666668,0.8302500000000002,25.080000000000002,25.08000000000001,0.6270000000000001,0.3729999999999999,30.716666666666672,0,2,12,2,0
1022100033,1611661313,2021,Regular Season,2021-05-29,NYL,9,224.98333333333335,1,0.8013186161937921,0.9429587376842729,34.529999999999994,30.695607082006067,0.7673901770501517,0.23260982294984833,36.491591969775534,2,4,12,3,1
1022100033,1611661330,2021,Regular Season,2021-05-29,ATL,9,224.99999999999997,1,0.7372592592592593,0.9076296296296297,28.89666666666667,25.68592592592593,0.6421481481481482,0.35785185185185175,37.83703703703704,1,2,11,2,1
1022100034,1611661317,2021,Regular Season,2021-05-29,PHO,10,199.99999999999997,0,0.7596666666666668,0.9205000000000001,30.386666666666667,30.386666666666674,0.7596666666666668,0.24033333333333318,36.00000000000001,2,3,12,2,0
1022100034,1611661321,2021,Regular Season,2021-05-29,DAL,11,200.00000000000003,0,0.7384999999999998,0.894083333333333,25.37333333333333,25.373333333333328,0.6343333333333332,0.3656666666666668,36.849999999999994,1,2,12,1,1
1022100035,1611661320,2021,Regular Season,2021-05-30,LAS,9,225.00000000000003,1,0.7447407407407407,0.9313333333333332,24.56,21.831111111111106,0.5457777777777777,0.4542222222222223,35.0074074074074,1,3,11,2,0
1022100035,1611661329,2021,Regular Season,2021-05-30,CHI,8,225.0,1,0.8243703703703703,0.9765185185185185,37.09666666666667,32.97481481481482,0.8243703703703704,0.17562962962962958,38.9037037037037,3,3,10,2,0
1022100036,1611661319,2021,Regular Season,2021-05-30,LVA,9,200.0,0,0.75125,0.9155,28.923333333333336,28.923333333333336,0.7230833333333334,0.2769166666666666,32.53333333333333,0,3,11,2,0
1022100036,1611661325,2021,Regular Season,2021-05-30,IND,10,200.00000000000003,0,0.6133333333333333,0.7873333333333332,23.176666666666666,23.176666666666662,0.5794166666666666,0.4205833333333334,33.16666666666666,0,1,12,2,0
1022100037,1611661323,2021,Regular Season,2021-05-30,CON,8,225.0,1,0.8275555555555555,0.9640740740740739,37.239999999999995,33.10222222222222,0.8275555555555555,0.1724444444444445,36.888888888888886,1,4,11,3,2
1022100037,1611661324,2021,Regular Season,2021-05-30,MIN,10,225.00000000000003,1,0.7592592592592592,0.9402222222222222,32.39333333333333,28.794074074074068,0.7198518518518517,0.28014814814814826,36.5037037037037,1,3,12,2,0
1022100038,1611661319,2021,Regular Season,2021-06-01,LVA,8,200.00000000000003,0,0.8029166666666667,0.9853333333333335,32.11666666666666,32.11666666666665,0.8029166666666665,0.1970833333333335,37.06666666666666,2,4,11,3,1
1022100038,1611661323,2021,Regular Season,2021-06-01,CON,10,199.99999999999997,0,0.8381666666666668,0.9496666666666668,33.526666666666664,33.52666666666667,0.8381666666666667,0.16183333333333327,35.78333333333334,2,4,11,1,0
1022100039,1611661317,2021,Regular Season,2021-06-01,PHO,9,200.0,0,0.7851666666666667,0.9665833333333333,31.406666666666666,31.406666666666666,0.7851666666666667,0.21483333333333332,35.9,2,3,12,3,1
1022100039,1611661329,2021,Regular Season,2021-06-01,CHI,7,200.0,0,0.7821666666666667,1.0,31.28666666666667,31.28666666666667,0.7821666666666667,0.21783333333333332,33.6,0,3,11,4,2
1022100040,1611661320,2021,Regular Season,2021-06-01,LAS,8,200.0,0,0.6895833333333334,0.9076666666666668,26.97,26.97,0.67425,0.32575,32.833333333333336,0,1,12,4,1
