player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
1641690,Kadi Sissoko,658,646,1304,336.3,-0.046,-0.019,-0.065,11000,0.35,0.086,-0.051,-0.087
1629568,Kennedy Burke,1780,1789,3569,907.6,-0.509,0.443,-0.066,11000,-3.175,-2.177,-1.225,-0.39
1628897,Linnae Harper,154,160,314,77.8,-0.035,-0.031,-0.066,11000,-1.3,-0.684,-0.352,-0.144
1641672,Kayana Traylor,67,70,137,34.8,-0.022,-0.046,-0.068,11000,-1.129,-0.625,-0.339,-0.145
1630441,Arella Guirantes,658,654,1312,338.4,-0.036,-0.032,-0.068,11000,-1.074,-0.6,-0.328,-0.143
1630444,Jasmine Walker,598,599,1197,300.7,-0.036,-0.035,-0.071,11000,-1.495,-0.768,-0.389,-0.156
1642305,Jessika Carter,10,9,19,4.3,-0.057,-0.017,-0.074,11000,-1.64,-0.815,-0.407,-0.163
203406,Layshia Clarendon,3129,3112,6241,1575.2,-0.061,-0.015,-0.076,11000,2.725,1.565,0.712,0.102
202259,Epiphanny Prince,1813,1810,3623,936.1,-0.094,0.016,-0.078,11000,-1.592,-0.889,-0.464,-0.183
1630043,Bernadett Hatar,296,293,589,153.5,-0.059,-0.021,-0.08,11000,-1.826,-0.925,-0.46,-0.179
204333,Natasha Cloud,9080,9062,18142,4598.6,0.108,-0.188,-0.08,11000,2.33,1.542,0.879,0.218
203823,Chiney Ogwumike,1649,1654,3303,824.8,-0.075,-0.008,-0.083,11000,-1.364,-0.835,-0.457,-0.185
201911,Kristi Toliver,1670,1679,3349,842.1,-0.086,-0.003,-0.089,11000,-1.574,-0.899,-0.476,-0.194
1628268,Alaina Coates,238,242,480,121.0,-0.046,-0.043,-0.089,11000,-1.664,-0.908,-0.476,-0.195
1629485,Kristine Anigwe,569,576,1145,290.6,-0.067,-0.023,-0.09,11000,-1.444,-0.816,-0.448,-0.193
1641653,Ashley Joens,251,250,501,127.5,-0.025,-0.067,-0.092,11000,-0.901,-0.56,-0.345,-0.174
1628508,Cecilia Zandalasini,1146,1154,2300,591.9,-0.07,-0.029,-0.099,11000,-0.413,-0.613,-0.544,-0.278
203403,Tianna Hawkins,3382,3389,6771,1703.9,-0.048,-0.053,-0.101,11000,-1.903,-1.044,-0.519,-0.201
1641675,Dulcy Fankam Mendjiadeu,997,997,1994,505.9,-0.019,-0.085,-0.104,11000,-0.597,-0.475,-0.351,-0.197
1630387,Iliana Rupert,906,897,1803,444.6,-0.038,-0.069,-0.107,11000,-2.415,-1.231,-0.604,-0.235
1641687,Victaria Saxton,149,149,298,78.2,-0.105,-0.003,-0.108,11000,-2.262,-1.182,-0.599,-0.238
1628242,Emma Cannon,1891,1901,3792,953.2,-0.05,-0.062,-0.112,11000,-1.403,-0.871,-0.503,-0.227
204320,Amanda Zahui B,1888,1902,3790,967.4,-0.174,0.061,-0.113,11000,-1.434,-0.916,-0.532,-0.235
1627643,Cyesha Goree,236,236,472,116.4,-0.087,-0.03,-0.117,11000,-2.255,-1.191,-0.618,-0.254
204297,Cayla George,638,636,1274,321.3,-0.094,-0.032,-0.126,11000,-2.837,-1.637,-0.844,-0.313
1628920,Mercedes Russell,4294,4291,8585,2172.5,-0.732,0.594,-0.138,11000,-1.72,-1.297,-0.861,-0.379
1631083,Emily Engstler,2374,2375,4749,1194.7,-0.271,0.132,-0.139,11000,-1.489,-0.873,-0.485,-0.236
203389,Yvonne Turner,703,707,1410,356.2,-0.101,-0.051,-0.152,11000,-1.41,-0.981,-0.624,-0.305
1629476,Asia (AD) Durr,1586,1576,3162,769.5,-0.149,-0.01,-0.159,11000,-1.888,-1.167,-0.669,-0.31
1641656,Laeticia Amihere,497,500,997,242.4,-0.279,0.119,-0.16,11000,-0.949,-0.73,-0.519,-0.289
1641658,Grace Berger,1220,1236,2456,628.0,0.004,-0.165,-0.161,11000,-0.693,-0.649,-0.481,-0.275
1630139,Jocelyn Willoughby,655,657,1312,334.6,-0.173,0.01,-0.163,11000,-3.369,-1.83,-0.946,-0.376
1631089,Destanni Henderson,1807,1811,3618,893.8,-0.082,-0.088,-0.17,11000,-0.114,-0.412,-0.425,-0.286
1631032,Lorela Cubaj,666,684,1350,349.2,-0.239,0.067,-0.172,11000,-0.068,-0.331,-0.377,-0.274
100940,Diana Taurasi,7036,7043,14079,3533.8,0.183,-0.355,-0.172,11000,1.312,0.928,0.489,0.01
1641665,Leigha Brown,261,258,519,135.8,-0.11,-0.07,-0.18,11000,-3.577,-1.888,-0.974,-0.396
1642286,Caitlin Clark,3014,3012,6026,1492.3,0.533,-0.718,-0.185,11000,1.845,1.189,0.586,0.022
1642299,Nika Muhl,110,112,222,56.9,-0.123,-0.08,-0.203,11000,-3.17,-1.819,-1.011,-0.438
1631263,Nikolina Milic,1757,1761,3518,879.7,-0.066,-0.146,-0.212,11000,-2.436,-1.584,-0.955,-0.442
1630996,Rae Burrell,1890,1910,3800,944.3,0.018,-0.235,-0.217,11000,1.963,1.173,0.5,-0.059
1629482,Sophie Cunningham,7033,7030,14063,3622.9,0.267,-0.487,-0.22,11000,2.69,1.579,0.66,-0.032
1641651,Jordan Horston,3425,3445,6870,1712.6,-0.265,0.042,-0.223,11000,-3.944,-2.812,-1.708,-0.669
204365,Erica Wheeler,6586,6638,13224,3391.9,-0.231,-0.003,-0.234,11000,-0.037,-0.248,-0.31,-0.287
1629484,Megan Gustafson,2807,2811,5618,1422.3,0.21,-0.451,-0.241,11000,-1.313,-1.315,-1.045,-0.551
1631056,Amy Atwell,176,174,350,92.0,-0.033,-0.211,-0.244,11000,-4.772,-2.552,-1.315,-0.534
1631006,Kierstan Bell,1315,1325,2640,660.1,-0.137,-0.119,-0.256,11000,-5.397,-3.147,-1.657,-0.633
1628882,Lexie Brown,3527,3529,7056,1778.6,-0.299,0.038,-0.261,11000,-0.017,-0.262,-0.352,-0.337
203827,Natasha Howard,7536,7542,15078,3803.3,0.958,-1.222,-0.264,11000,0.402,0.321,0.126,-0.158
1631031,Queen Egbo,2480,2475,4955,1236.0,-0.225,-0.041,-0.266,11000,-2.405,-1.694,-1.075,-0.524
1628273,Kaela Davis,294,292,586,153.6,-0.12,-0.151,-0.271,11000,-2.697,-1.703,-1.047,-0.522
1641654,Stephanie Soares,349,343,692,175.4,-0.167,-0.111,-0.278,11000,-2.728,-1.794,-1.093,-0.532
1641657,Dorka Juhasz,3087,3084,6171,1578.4,-0.341,0.054,-0.287,11000,-3.022,-2.506,-1.735,-0.778
