stratum,base,null,delta,mu_null,sd_null,mu_null_delta0,sd_null_delta0,rel_drift_mu,rel_drift_sd,reps,draws
DECISION,B_COMPLETE,N_C_entity_swap_opp_team_season,0.01,0.0006039804160997,0.0008672538215739,0.0004259281153509,0.0005514240365527,0.4180336876846864,0.5727530250505295,6,300
DECISION,B_COMPLETE,N_D_within_date_opp_swap,0.0003,0.0001382887454949,0.0001771741093689,0.0001114581355247,0.0001586946919242,0.2407236568588704,0.1164463487760617,6,300
DECISION,B_COMPLETE,N_D_within_date_opp_swap,0.001,0.0001651635561996,0.0002025849265398,0.0001114581355247,0.0001586946919242,0.4818438817584448,0.2765702751831405,6,300
DECISION,B_COMPLETE,N_D_within_date_opp_swap,0.003,0.0002242048638207,0.0002536348449655,0.0001114581355247,0.0001586946919242,1.0115612266896423,0.5982566391485872,6,300
DECISION,B_COMPLETE,N_D_within_date_opp_swap,0.01,0.0003978250540166,0.0003774457770271,0.0001114581355247,0.0001586946919242,2.569277847180283,1.3784398359541563,6,300
POOLED,B_SINGLE,N_A_within_player_cyclic,0.0003,0.0015987561165868,0.0005638361080948,0.0021318417824382,0.0006830703436879,-0.2500587380559045,-0.1745563055033595,6,300
POOLED,B_SINGLE,N_A_within_player_cyclic,0.001,0.0012625466673245,0.0005003046176759,0.0021318417824382,0.0006830703436879,-0.407767181539842,-0.2675650139122892,6,300
POOLED,B_SINGLE,N_A_within_player_cyclic,0.003,0.0008045270626105,0.0003977783777323,0.0021318417824382,0.0006830703436879,-0.6226140845732275,-0.4176611802749827,6,300
POOLED,B_SINGLE,N_A_within_player_cyclic,0.01,0.0002222441414349,0.0002007082064165,0.0021318417824382,0.0006830703436879,-0.8957501709246044,-0.7061675883438864,6,300
POOLED,B_SINGLE,N_B_entity_swap_team_season,0.0003,8.732951956585412e-05,0.0001089547697405,9.864026136752398e-05,0.0001233688220593,-0.1146665838559282,-0.1168370750254473,6,300
POOLED,B_SINGLE,N_B_entity_swap_team_season,0.001,7.74566814971328e-05,9.904983132907204e-05,9.864026136752398e-05,0.0001233688220593,-0.2147559178849215,-0.1971242841125956,6,300
POOLED,B_SINGLE,N_B_entity_swap_team_season,0.003,7.013032904755255e-05,9.091789072596912e-05,9.864026136752398e-05,0.0001233688220593,-0.2890293671642476,-0.263039970647983,6,300
POOLED,B_SINGLE,N_B_entity_swap_team_season,0.01,8.290932859330682e-05,0.0001104583038485,9.864026136752398e-05,0.0001233688220593,-0.159477809123044,-0.1046497647888773,6,300
POOLED,B_SINGLE,N_C_entity_swap_opp_team_season,0.0003,0.000115049164214,0.0001455636212948,0.0001043976501612,0.0001433749145565,0.102028293131104,0.0152656184320732,6,300
POOLED,B_SINGLE,N_C_entity_swap_opp_team_season,0.001,0.0001269444809236,0.0001677178167111,0.0001043976501612,0.0001433749145565,0.2159706729759159,0.1697849462018422,6,300
POOLED,B_SINGLE,N_C_entity_swap_opp_team_season,0.003,0.0001627127840517,0.0002157503437997,0.0001043976501612,0.0001433749145565,0.5585866520988312,0.5047984123802138,6,300
POOLED,B_SINGLE,N_C_entity_swap_opp_team_season,0.01,0.0002938366597393,0.0003896520437353,0.0001043976501612,0.0001433749145565,1.814590743043884,1.7177142175852624,6,300
POOLED,B_SINGLE,N_D_within_date_opp_swap,0.0003,4.312468723299171e-05,6.016319872948113e-05,3.5022296094336046e-05,4.881309390355379e-05,0.2313495128026747,0.2325217255917679,6,300
POOLED,B_SINGLE,N_D_within_date_opp_swap,0.001,6.617875878732911e-05,8.428826329836986e-05,3.5022296094336046e-05,4.881309390355379e-05,0.8896179339318596,0.7267551912384175,6,300
POOLED,B_SINGLE,N_D_within_date_opp_swap,0.003,0.0001320963284554,0.0001321715340376,3.5022296094336046e-05,4.881309390355379e-05,2.7717780724501297,1.70770654896053,6,300
POOLED,B_SINGLE,N_D_within_date_opp_swap,0.01,0.0003605159183015,0.0002435574851478,3.5022296094336046e-05,4.881309390355379e-05,9.293897274195077,3.989593276530223,6,300
POOLED,B_COMPLETE,N_A_within_player_cyclic,0.0003,0.0002924472583929368,0.00023767103161342085,0.0004905477148070328,0.0003286545565898581,-0.40383524463470993,-0.2768363412346643,6,300
POOLED,B_COMPLETE,N_A_within_player_cyclic,0.001,0.00018947725279751034,0.00018575859177778962,0.0004905477148070328,0.0003286545565898581,-0.6137434808517146,-0.43479076114071463,6,300
POOLED,B_COMPLETE,N_A_within_player_cyclic,0.003,8.414460414394888e-05,0.0001097620730634291,0.0004905477148070328,0.0003286545565898581,-0.8284680539648444,-0.666026011620445,6,300
POOLED,B_COMPLETE,N_A_within_player_cyclic,0.01,9.91454721155977e-05,0.00012260650985935679,0.0004905477148070328,0.0003286545565898581,-0.7978882193863676,-0.6269441351079071,6,300
POOLED,B_COMPLETE,N_B_entity_swap_team_season,0.0003,6.993315527633752e-05,9.414011197618808e-05,7.935600704601014e-05,0.00010094969339194427,-0.1187415057842982,-0.06745519661280709,6,300
POOLED,B_COMPLETE,N_B_entity_swap_team_season,0.001,6.369814501811519e-05,8.815169590061452e-05,7.935600704601014e-05,0.00010094969339194427,-0.19731161648313045,-0.1267759916975738,6,300
POOLED,B_COMPLETE,N_B_entity_swap_team_season,0.003,6.101879986833578e-05,8.583260803554231e-05,7.935600704601014e-05,0.00010094969339194427,-0.2310752249296333,-0.1497487000550741,6,300
POOLED,B_COMPLETE,N_B_entity_swap_team_season,0.01,8.357662845519213e-05,0.00011784228372726401,7.935600704601014e-05,0.00010094969339194427,0.053185909501909504,0.16733671760381755,6,300
POOLED,B_COMPLETE,N_C_entity_swap_opp_team_season,0.0003,0.00012048397258332917,0.00014984664566413915,0.0001066684311852092,0.00014986187838837416,0.12951855806458745,-0.00010164509079171575,6,300
POOLED,B_COMPLETE,N_C_entity_swap_opp_team_season,0.001,0.00013525782576687996,0.000174651090871668,0.0001066684311852092,0.00014986187838837416,0.26802114050061143,0.16541373129630355,6,300
POOLED,B_COMPLETE,N_C_entity_swap_opp_team_season,0.003,0.00017621674219028604,0.00022811331450141515,0.0001066684311852092,0.00014986187838837416,0.6520046299764134,0.522157048574079,6,300
POOLED,B_COMPLETE,N_C_entity_swap_opp_team_season,0.01,0.0003172410611123187,0.0004132801532477823,0.0001066684311852092,0.00014986187838837416,1.9740857495268742,1.7577403786221546,6,300
POOLED,B_COMPLETE,N_D_within_date_opp_swap,0.0003,4.86769073774238e-05,6.56990254206732e-05,3.550992501585241e-05,4.909163640964099e-05,0.3707972448743094,0.3382936529646977,6,300
POOLED,B_COMPLETE,N_D_within_date_opp_swap,0.001,7.669814661959365e-05,9.182593105030721e-05,3.550992501585241e-05,4.909163640964099e-05,1.1599073100085093,0.8705005122272464,6,300
POOLED,B_COMPLETE,N_D_within_date_opp_swap,0.003,0.00015045071768741563,0.0001426750344663858,3.550992501585241e-05,4.909163640964099e-05,3.236863852014644,1.9063002356622645,6,300
POOLED,B_COMPLETE,N_D_within_date_opp_swap,0.01,0.0003965882451433441,0.0002553373106894873,3.550992501585241e-05,4.909163640964099e-05,10.16837743155747,4.201238527859344,6,300
