catalog_number,name,channel,observed_improvement,null_q05,null_q50,null_q95,null_q99,null_max,null_sd
44,self_creation_index,paint,-0.000559,-0.003625,-8e-05,0.002177,0.003724,0.006393,0.001793
44,self_creation_index,np2,0.002887,-0.004697,-8.4e-05,0.003308,0.005032,0.007701,0.002378
45,garbage_cleaned_rates,fg3,0.00081,-0.003455,-9.9e-05,0.002069,0.004046,0.007666,0.001726
45,garbage_cleaned_rates,paint,2.6e-05,-0.002607,-7.7e-05,0.001459,0.002962,0.005681,0.001297
45,garbage_cleaned_rates,ft,0.002026,-0.001962,-5.4e-05,0.001082,0.002044,0.004192,0.000964
45,garbage_cleaned_rates,np2,0.000325,-0.003244,-1.6e-05,0.002459,0.004279,0.006449,0.001649
46,early_foul_tendency,fg3,-0.000933,-0.003361,-8.3e-05,0.00243,0.004088,0.009872,0.001796
46,early_foul_tendency,paint,0.001622,-0.003503,-7.3e-05,0.002067,0.003485,0.006481,0.001695
46,early_foul_tendency,ft,0.000975,-0.002401,-5e-05,0.001741,0.003315,0.006508,0.001324
46,early_foul_tendency,np2,0.000419,-0.002252,-3e-05,0.001719,0.002882,0.004698,0.001198
47,post_absence_ramp,fg3,0.000606,-0.002815,-1.8e-05,0.002328,0.003741,0.007572,0.001561
47,post_absence_ramp,paint,0.000337,-0.002213,-5.5e-05,0.001348,0.002458,0.004874,0.001093
47,post_absence_ramp,ft,0.000285,-0.00158,-1.8e-05,0.001156,0.001933,0.004444,0.000818
47,post_absence_ramp,np2,0.000723,-0.001914,1e-06,0.001668,0.002725,0.00578,0.00108
48,structural_break_score,fg3,-0.000431,-0.002411,-4.1e-05,0.00152,0.002859,0.004985,0.001189
48,structural_break_score,paint,0.001397,-0.002364,-7e-05,0.001486,0.002688,0.004924,0.001214
48,structural_break_score,ft,6.5e-05,-0.001556,-4e-05,0.000938,0.00171,0.003178,0.000817
48,structural_break_score,np2,-2.8e-05,-0.00107,-1.3e-05,0.000801,0.001477,0.003264,0.000575
49,star_onoff_split,fg3,-4.8e-05,-0.004998,-5.3e-05,0.003632,0.006097,0.009729,0.002608
49,star_onoff_split,paint,-0.008521,-0.004415,-0.000179,0.001668,0.003003,0.006552,0.001856
49,star_onoff_split,ft,0.000897,-0.001741,-3.5e-05,0.001094,0.002,0.004562,0.000893
49,star_onoff_split,np2,0.000446,-0.002003,-2.8e-05,0.001638,0.002703,0.005154,0.001109
50,usage_absorption_elasticity,fg3,0.000197,-0.002937,-5e-05,0.001988,0.00365,0.007205,0.001556
50,usage_absorption_elasticity,paint,-0.000466,-0.002588,-6.9e-05,0.001405,0.002696,0.006433,0.001263
50,usage_absorption_elasticity,ft,0.000478,-0.001611,-4.5e-05,0.000858,0.001703,0.002891,0.000773
50,usage_absorption_elasticity,np2,0.001377,-0.001657,-2.2e-05,0.001268,0.002547,0.00475,0.000954
51,lineup_familiarity,fg3,-0.000741,-0.002933,-4.7e-05,0.001788,0.003346,0.00676,0.001486
51,lineup_familiarity,paint,-0.001139,-0.002554,-5.4e-05,0.001361,0.002404,0.004871,0.00128
51,lineup_familiarity,ft,0.000683,-0.001541,-4.1e-05,0.000788,0.001676,0.003995,0.00077
51,lineup_familiarity,np2,0.001678,-0.001499,-1.8e-05,0.001163,0.002395,0.004204,0.000844
52,onfloor_pace_diff,fg3,0.000129,-0.002726,-8.5e-05,0.001418,0.002757,0.005728,0.001299
52,onfloor_pace_diff,paint,0.001486,-0.002175,-4.2e-05,0.001485,0.002555,0.006462,0.001126
52,onfloor_pace_diff,ft,-0.000476,-0.001416,-2.1e-05,0.001024,0.001833,0.004398,0.000749
52,onfloor_pace_diff,np2,0.001518,-0.002118,-4.6e-05,0.001898,0.002976,0.005076,0.001224
53,gravity_x_paint,paint,-0.000288,-0.005592,-0.000191,0.002141,0.004422,0.011104,0.002505
54,starter_unit_share,fg3,0.006488,-0.004114,3.6e-05,0.003878,0.006312,0.00991,0.002499
54,starter_unit_share,paint,-0.002236,-0.00338,-5.8e-05,0.00211,0.003933,0.007255,0.00173
54,starter_unit_share,ft,-0.000327,-0.002522,-2.4e-05,0.001888,0.003157,0.005048,0.001329
54,starter_unit_share,np2,0.000144,-0.003205,7.7e-05,0.002922,0.004751,0.007747,0.001881
55,closing_lineup_membership,fg3,-0.001053,-0.003748,-6.2e-05,0.002282,0.004281,0.008416,0.001847
55,closing_lineup_membership,paint,0.001888,-0.002782,-5.7e-05,0.001592,0.003192,0.007088,0.001403
55,closing_lineup_membership,ft,0.003078,-0.001654,-5.9e-05,0.000854,0.001905,0.003051,0.000853
55,closing_lineup_membership,np2,0.00913,-0.002117,-3.8e-05,0.001495,0.003014,0.004039,0.001128
56,best_pair_lift,fg3,0.003108,-0.00536,-0.000183,0.003269,0.005797,0.011717,0.002619
56,best_pair_lift,paint,-0.001238,-0.003271,-4.8e-05,0.002426,0.004051,0.007141,0.001761
56,best_pair_lift,ft,0.000263,-0.002733,-2.9e-05,0.001746,0.002826,0.005581,0.001415
56,best_pair_lift,np2,-0.006249,-0.004082,-0.000127,0.002797,0.004501,0.008285,0.002083
57,competition_quality,fg3,0.002745,-0.003753,0.000251,0.00418,0.007221,0.01287,0.002434
57,competition_quality,paint,-0.000902,-0.003528,-8.8e-05,0.001957,0.0042,0.00761,0.001747
57,competition_quality,ft,-0.000478,-0.002178,5e-06,0.001774,0.002803,0.004059,0.001185
57,competition_quality,np2,-0.000345,-0.00343,0.000142,0.003411,0.00494,0.008733,0.002055
58,stint_pm_stability,fg3,0.000987,-0.004149,-0.00011,0.002013,0.003406,0.006633,0.001898
58,stint_pm_stability,paint,-0.001315,-0.003112,-0.000125,0.001646,0.003172,0.007937,0.001636
58,stint_pm_stability,ft,0.000366,-0.002071,-5.8e-05,0.001036,0.001897,0.003436,0.000959
58,stint_pm_stability,np2,0.002589,-0.002154,-6e-05,0.001371,0.002576,0.004057,0.001091
59,system_dependence,fg3,0.000691,-0.004252,-8.2e-05,0.002741,0.004803,0.005917,0.002097
60,second_unit_anchor,fg3,-0.001038,-0.00359,-0.000119,0.002112,0.004284,0.009863,0.001848
60,second_unit_anchor,paint,0.002058,-0.002542,-8.3e-05,0.001506,0.002562,0.007273,0.001335
60,second_unit_anchor,ft,0.002222,-0.001789,-4.4e-05,0.000955,0.001925,0.003619,0.000855
60,second_unit_anchor,np2,0.006487,-0.002082,-2.8e-05,0.001596,0.002792,0.007866,0.001127
61,shot_diet_xpts,fg3,0.005622,-0.002468,-1.6e-05,0.001985,0.003696,0.007394,0.001386
61,shot_diet_xpts,paint,0.000271,-0.002465,-5.6e-05,0.001481,0.002801,0.007365,0.001252
61,shot_diet_xpts,np2,-0.005762,-0.001711,-3e-05,0.001015,0.001839,0.003531,0.000886
62,zone_mix_drift,fg3,0.003403,-0.003113,-5.2e-05,0.001846,0.003391,0.00573,0.001563
62,zone_mix_drift,paint,0.002677,-0.002685,-7.4e-05,0.001334,0.002559,0.005531,0.001303
62,zone_mix_drift,np2,0.005328,-0.001672,-2.4e-05,0.001284,0.002446,0.005967,0.000937
63,rim_vs_floater_trend,paint,2e-06,-0.002574,-8e-05,0.001323,0.002646,0.005669,0.00123
64,corner3_mix,fg3,-0.004641,-0.008995,3.7e-05,0.006738,0.009792,0.015585,0.004746
65,early_clock_share,fg3,0.003813,-0.003349,-6.3e-05,0.001934,0.004003,0.009373,0.001686
65,early_clock_share,paint,0.00264,-0.002437,-8e-05,0.001204,0.002601,0.004945,0.00118
65,early_clock_share,ft,0.000684,-0.001447,-2.8e-05,0.000823,0.001615,0.00265,0.000723
65,early_clock_share,np2,-0.001096,-0.001803,-2.6e-05,0.001269,0.002498,0.005168,0.000962
66,late_clock_share,fg3,-0.000358,-0.003094,-6e-05,0.001849,0.003856,0.007615,0.001589
66,late_clock_share,paint,-0.000374,-0.002672,-9.5e-05,0.001383,0.002722,0.005658,0.00131
