path,class,guard,rows_2021_2024,id_col,name_col,status,ids_with_multiple_names,names_with_multiple_ids,rows_exposed_duplication,rows_exposed_drop,rows_with_ambiguous_spelling
exploration/E1_I0035_availability_sum/_player_frame_repaired.parquet,ID_AND_NAME,GUARDED(20084->20084),20084,player_id,player_name,OK,12.0,0.0,951.0,0.0,759
exploration/E1_I0035_availability_sum/_population_frame.parquet,ID_AND_NAME,GUARDED(20084->20084),20084,player_id,player_name,OK,12.0,0.0,951.0,0.0,759
exploration/E1_I0043_opponent_defence/INDEPENDENCE.csv,NAME_ONLY,NO_SEASON_COLUMN_STRUCTURE_ONLY,6,,name,OK,,,,,0
exploration/E1_I0045_roster_currency/COVERAGE_COST.csv,ID_AND_NAME,GUARDED(168->168),168,player_id,player_name,OK,0.0,0.0,0.0,0.0,9
exploration/E1_I0045_roster_currency/top_removed_players_R3.csv,NAME_ONLY,NO_SEASON_COLUMN_STRUCTURE_ONLY,10,,player_name,OK,,,,,2
exploration/E1_I0045_roster_currency/_PF.parquet,ID_AND_NAME,GUARDED(20084->20084),20084,player_id,player_name,OK,12.0,0.0,951.0,0.0,759
exploration/E1_I0045_roster_currency/_pf_all_seasons.parquet,ID_AND_NAME,GUARDED(26574->26574),26574,player_id,player_name,OK,12.0,0.0,1167.0,0.0,960
exploration/E1_I0045_roster_currency/_PF_arms.parquet,ID_AND_NAME,GUARDED(20084->20084),20084,player_id,player_name,OK,12.0,0.0,951.0,0.0,759
exploration/E1_I0048_shipped_roster_path/SHIPPED_DAMAGE.csv,ID_AND_NAME,NO_SEASON_COLUMN_STRUCTURE_ONLY,9,player_id,player_name,OK,0.0,0.0,0.0,0.0,0
exploration/E1_I0049_benchmark_constants/CENSUS.csv,NAME_ONLY,NO_SEASON_COLUMN_STRUCTURE_ONLY,9,,name,OK,,,,,0
exploration/MEASURE_F1_m13_fitpool/cf_A_POOLED_PUBLISHED/translation_rows.parquet,ID_AND_NAME,GUARDED(5889->1726),1726,player_id,player_name,OK,0.0,0.0,0.0,0.0,50
exploration/MEASURE_F1_m13_fitpool/cf_B_POOLED_2022_2024/translation_rows.parquet,ID_AND_NAME,GUARDED(5889->1726),1726,player_id,player_name,OK,0.0,0.0,0.0,0.0,50
exploration/MEASURE_F1_m13_fitpool/cf_C_TIME_ORDERED/translation_rows.parquet,ID_AND_NAME,GUARDED(5889->1726),1726,player_id,player_name,OK,0.0,0.0,0.0,0.0,50
exploration/MEASURE_F1_m13_fitpool/cf_D_TIME_ORDERED_2022_2024/translation_rows.parquet,ID_AND_NAME,GUARDED(5889->1726),1726,player_id,player_name,OK,0.0,0.0,0.0,0.0,50
exploration/MEASURE_F1_m13_fitpool/repro_out/translation_rows.parquet,ID_AND_NAME,GUARDED(5889->1726),1726,player_id,player_name,OK,0.0,0.0,0.0,0.0,50
