path,bytes,n_cols,class,id_cols,name_cols
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_b2b.csv,11555,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_rest.csv,11783,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_travel.csv,12179,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_rest_dif.csv,11776,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/r1_placebo_per100poss.csv,22686,3,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/r1_placebo_per36min.csv,21929,3,NO_PLAYER_IDENTITY,,
exploration/E0_I0012_layer3_noncollinear/r4_symmetry_features_reb.csv,1666840,13,ID_ONLY,player_id,
exploration/E0_I0013_possession_volume/maxt_null_draws.csv,7798,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/noop_diagnostic.csv,4812,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_exp_gposs.csv,9206,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_opp_fgaA48.csv,9209,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_opp_missA48.csv,9192,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_opp_missO48.csv,9194,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_opp_orebA100.csv,9184,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_opp_pace48.csv,9191,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_own_orebR100.csv,9189,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_own_pace48.csv,9175,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_ast_ppm.csv,9165,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_exp_gposs.csv,9196,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_opp_fgaA48.csv,9179,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_opp_missA48.csv,9197,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_opp_missO48.csv,9217,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_opp_orebA100.csv,9191,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_opp_pace48.csv,9175,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_own_orebR100.csv,9190,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_own_pace48.csv,9193,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_pts_ppm.csv,9182,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_exp_gposs.csv,9196,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_opp_fgaA48.csv,9184,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_opp_missA48.csv,9223,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_opp_missO48.csv,9193,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_opp_orebA100.csv,9186,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_opp_pace48.csv,9206,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_own_orebR100.csv,9177,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_own_pace48.csv,9179,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_reb_ppm.csv,9209,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_survivor_2021_2024.csv,4675,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_survivor_2022_2024.csv,4675,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_survivor_2023_2024.csv,4671,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0013_possession_volume/placebo_draws_survivor_2024.csv,4623,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/abstention_composite_minutes.csv,647,5,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/abstention_curves.csv,24736,13,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/abstention_games_prior_within_nonfallback.csv,645,5,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/abstention_per_season.csv,5981,9,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/analysis_frame.parquet,4747250,101,ID_ONLY,player_id,
exploration/E0_I0014_residual_heterogeneity/complete_case_robustness.csv,2225,6,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/depth_quintile_table.csv,1012,12,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/family_summary.csv,770,6,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/lead_correlations.csv,1052,11,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/maxt_null_draws_whole_screen.csv,93618,5,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/maxt_null_draws__fga_absres.csv,19633,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/maxt_null_draws__fga_sqres.csv,19620,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/maxt_null_draws__minutes_absres.csv,19820,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/maxt_null_draws__minutes_sqres.csv,19791,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/maxt_null_draws__pts_absres.csv,19629,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/maxt_null_draws__pts_sqres.csv,19610,1,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/noop_placebo_draws.csv,8876,3,NO_PLAYER_IDENTITY,,
exploration/E0_I0014_residual_heterogeneity/screen_results.csv,157293,35,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/abstention_curves_best.csv,5266,8,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/abstention_rate_screen.csv,100846,12,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/blend_sweep.csv,303,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/blockflip_draws.csv,433882,10,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/ceiling_oracle_ladder.csv,2287,8,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/coldstart_splice.csv,861,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/component_skill.csv,1979,13,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/component_skill_by_depth.csv,485,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/component_skill_per_season.csv,936,5,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/decomp_frame.parquet,6378419,121,ID_ONLY,player_id,
exploration/E0_I0015_points_skill_decomposition/grouping_levels.csv,3310,5,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/hybrid_2x2.csv,1557,11,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/hybrid_by_depth.csv,1268,11,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/hybrid_by_depth_contrasts.csv,2473,9,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/hybrid_contrasts.csv,2502,13,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/hybrid_fga_chain.csv,650,5,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/hybrid_per_season.csv,1117,8,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/hybrid_sensitivity.csv,742,8,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/maxt_null_draws.csv,17068,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/noop_placebo_draws.csv,13413,3,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/points_skill_depth_by_volume.csv,1325,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0015_points_skill_decomposition/shrinkage_sweep.csv,475,3,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/family_attrition.csv,602,10,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/grouping_levels.csv,19447,10,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/kill_keep_log.csv,31632,18,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/leakage_probes.csv,4536,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/maxt_null_draws.csv,24870,3,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/noop_placebo_draws.csv,5305,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/screen_frame.parquet,3404498,67,ID_ONLY,player_id,
exploration/E0_I0016_efficiency_predictors/screen_results.csv,87664,38,NO_PLAYER_IDENTITY,,
exploration/E0_I0016_efficiency_predictors/screen_results_SUPERSEDED.csv,139653,30,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/candidate_coverage.csv,4575,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/family_attrition.csv,654,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/grouping_levels.csv,3644,6,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/interaction_with_main_effects.csv,1668,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/k1_full_reference_base.csv,21994,12,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/k3_decision_stratum.csv,9679,6,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/k4_per_season.csv,14220,6,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/leakage_probes.csv,16149,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/maxt_null_draws.csv,13855,2,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/s00_column_constancy.csv,1216,6,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/s04_volume_offset.csv,2995,15,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/screen_frame.parquet,3960962,63,ID_AND_NAME,player_id,player_name
exploration/E0_I0017_shot_quality_efficiency/screen_results.csv,31059,16,NO_PLAYER_IDENTITY,,
exploration/E0_I0017_shot_quality_efficiency/var_share_between.csv,2226,3,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/abstention_availability.csv,5727,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/abstention_minutes.csv,5492,6,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/abstention_p_active_within_depth_quintiles.csv,717,8,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/analysis_frame.parquet,2772117,98,ID_ONLY,player_id,
exploration/E0_I0019_availability_forecast/calibration_coarse_v15.csv,687,7,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/calibration_curves.csv,8211,8,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/decile_tables.csv,57939,12,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/decomposition_vs_components.csv,526,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/family_summary.csv,422,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/grouping_levels.csv,7762,9,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/headline_metrics.csv,1494,11,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/leadlag_profile.csv,2466,4,NO_PLAYER_IDENTITY,,
exploration/E0_I0019_availability_forecast/leads.csv,3006,17,NO_PLAYER_IDENTITY,,
