OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID,SOURCE
100698,Jeffrey,Smith,53,1022100060,v2
1628480,Robert,Hussey,85,1022100060,v2
203440,Tiara,Cruse,5,1022100060,v2
1628484,Dannica,Mosher,14,1022100061,v2
100697,Eric,Brewton,55,1022100061,v2
1628171,Brandon,Schwab,47,1022100061,v2
1629174,Blanca,Burns,8,1022100062,v2
100274,Roy,Gulbeyan,42,1022100062,v2
200667,Angelica,Suffren,86,1022100062,v2
202299,Billy,Smith,7,1022100063,v2
1627526,Matt,Kallio,17,1022100063,v2
1628952,Kevin,Fahy,43,1022100063,v2
101286,Kurt,Walker,18,1022100064,v2
203438,Tiffany,Bird,2,1022100064,v2
1628167,Toni,Patillo,76,1022100064,v2
1628480,Robert,Hussey,85,1022100065,v2
203891,Fatou,Cissoko-Stephens,15,1022100065,v2
203800,Isaac,Barnett,16,1022100065,v2
1628171,Brandon,Schwab,47,1022100066,v2
1628484,Dannica,Mosher,14,1022100066,v2
100697,Eric,Brewton,55,1022100066,v2
203440,Tiara,Cruse,5,1022100067,v2
203054,Che,Flores,13,1022100067,v2
1628167,Toni,Patillo,76,1022100067,v2
1628702,Randy,Richardson,11,1022100068,v2
1628487,Danielle,Scott,4,1022100068,v2
1627526,Matt,Kallio,17,1022100068,v2
200667,Angelica,Suffren,86,1022100069,v2
100274,Roy,Gulbeyan,42,1022100069,v2
202047,Kevin,Sparrock,50,1022100069,v2
1627519,John,Conley,3,1022100070,v2
202299,Billy,Smith,7,1022100070,v2
203891,Fatou,Cissoko-Stephens,15,1022100070,v2
203440,Tiara,Cruse,5,1022100071,v2
100308,Michael,Price,39,1022100071,v2
1628952,Kevin,Fahy,43,1022100071,v2
202297,Tim,Greene,9,1022100072,v2
100697,Eric,Brewton,55,1022100072,v2
1628168,Jenna,Reneau,77,1022100072,v2
100698,Jeffrey,Smith,53,1022100073,v2
1629174,Blanca,Burns,8,1022100073,v2
203800,Isaac,Barnett,16,1022100073,v2
1627526,Matt,Kallio,17,1022100074,v2
1628167,Toni,Patillo,76,1022100074,v2
203054,Che,Flores,13,1022100074,v2
203440,Tiara,Cruse,5,1022100075,v2
202299,Billy,Smith,7,1022100075,v2
200667,Angelica,Suffren,86,1022100075,v2
100274,Roy,Gulbeyan,42,1022100076,v2
203800,Isaac,Barnett,16,1022100076,v2
1628168,Jenna,Reneau,77,1022100076,v2
202047,Kevin,Sparrock,50,1022100077,v2
100698,Jeffrey,Smith,53,1022100077,v2
202297,Tim,Greene,9,1022100077,v2
100697,Eric,Brewton,55,1022100078,v2
1628480,Robert,Hussey,85,1022100078,v2
203054,Che,Flores,13,1022100078,v2
1627519,John,Conley,3,1022100079,v2
203800,Isaac,Barnett,16,1022100079,v2
100274,Roy,Gulbeyan,42,1022100079,v2
202299,Billy,Smith,7,1022100080,v2
200667,Angelica,Suffren,86,1022100080,v2
1629174,Blanca,Burns,8,1022100080,v2
100697,Eric,Brewton,55,1022100081,v2
1628480,Robert,Hussey,85,1022100081,v2
1627526,Matt,Kallio,17,1022100081,v2
202047,Kevin,Sparrock,50,1022100082,v2
203440,Tiara,Cruse,5,1022100082,v2
203891,Fatou,Cissoko-Stephens,15,1022100082,v2
100697,Eric,Brewton,55,1022100083,v2
1628167,Toni,Patillo,76,1022100083,v2
202299,Billy,Smith,7,1022100083,v2
100698,Jeffrey,Smith,53,1022100084,v2
1628479,Ashley,Gloss,10,1022100084,v2
100274,Roy,Gulbeyan,42,1022100084,v2
1628702,Randy,Richardson,11,1022100085,v2
100308,Michael,Price,39,1022100085,v2
1628952,Kevin,Fahy,43,1022100085,v2
203891,Fatou,Cissoko-Stephens,15,1022100086,v2
200667,Angelica,Suffren,86,1022100086,v2
1629174,Blanca,Burns,8,1022100086,v2
100308,Michael,Price,39,1022100087,v2
1628484,Dannica,Mosher,14,1022100087,v2
1627545,Karleena,Tobin,12,1022100087,v2
100698,Jeffrey,Smith,53,1022100088,v2
202299,Billy,Smith,7,1022100088,v2
1627519,John,Conley,3,1022100088,v2
1628702,Randy,Richardson,11,1022100089,v2
1628480,Robert,Hussey,85,1022100089,v2
203440,Tiara,Cruse,5,1022100089,v2
1628479,Ashley,Gloss,10,1022100090,v2
202297,Tim,Greene,9,1022100090,v2
203891,Fatou,Cissoko-Stephens,15,1022100090,v2
1628952,Kevin,Fahy,43,1022100091,v2
100274,Roy,Gulbeyan,42,1022100091,v2
1628167,Toni,Patillo,76,1022100091,v2
1628479,Ashley,Gloss,10,1022100092,v2
1628168,Jenna,Reneau,77,1022100092,v2
100697,Eric,Brewton,55,1022100092,v2
1629174,Blanca,Burns,8,1022100093,v2
202297,Tim,Greene,9,1022100093,v2
203054,Che,Flores,13,1022100093,v2
100274,Roy,Gulbeyan,42,1022100094,v2
203438,Tiffany,Bird,2,1022100094,v2
1628167,Toni,Patillo,76,1022100094,v2
203800,Isaac,Barnett,16,1022100095,v2
1627519,John,Conley,3,1022100095,v2
1628484,Dannica,Mosher,14,1022100095,v2
100308,Michael,Price,39,1022100096,v2
1628171,Brandon,Schwab,47,1022100096,v2
200667,Angelica,Suffren,86,1022100096,v2
1628480,Robert,Hussey,85,1022100097,v2
100697,Eric,Brewton,55,1022100097,v2
203891,Fatou,Cissoko-Stephens,15,1022100097,v2
203054,Che,Flores,13,1022100098,v2
1628952,Kevin,Fahy,43,1022100098,v2
203438,Tiffany,Bird,2,1022100098,v2
200667,Angelica,Suffren,86,1022100099,v2
1627519,John,Conley,3,1022100099,v2
101286,Kurt,Walker,18,1022100099,v2
203800,Isaac,Barnett,16,1022100100,v2
202297,Tim,Greene,9,1022100100,v2
1628171,Brandon,Schwab,47,1022100100,v2
100274,Roy,Gulbeyan,42,1022100101,v2
1628487,Danielle,Scott,4,1022100101,v2
1628484,Dannica,Mosher,14,1022100101,v2
202047,Kevin,Sparrock,50,1022100102,v2
100308,Michael,Price,39,1022100102,v2
100698,Jeffrey,Smith,53,1022100102,v2
203440,Tiara,Cruse,5,1022100103,v2
100697,Eric,Brewton,55,1022100103,v2
1628479,Ashley,Gloss,10,1022100103,v2
1627545,Karleena,Tobin,12,1022100104,v2
100274,Roy,Gulbeyan,42,1022100104,v2
203800,Isaac,Barnett,16,1022100104,v2
101286,Kurt,Walker,18,1022100105,v2
1628171,Brandon,Schwab,47,1022100105,v2
202297,Tim,Greene,9,1022100105,v2
1628952,Kevin,Fahy,43,1022100106,v2
100308,Michael,Price,39,1022100106,v2
1628484,Dannica,Mosher,14,1022100106,v2
1628168,Jenna,Reneau,77,1022100107,v2
100308,Michael,Price,39,1022100107,v2
1628702,Randy,Richardson,11,1022100107,v2
203438,Tiffany,Bird,2,1022100108,v2
100698,Jeffrey,Smith,53,1022100108,v2
1628487,Danielle,Scott,4,1022100108,v2
1628479,Ashley,Gloss,10,1022100109,v2
