era,timing,bet_type,threshold,execution,cond_dim,cond_level,n_bets,wins,losses,pushes,hit_rate,roi,n_cons,roi_cons,n_best,roi_best,roi_ci90_low,roi_ci90_high,n_dates,mean_clv_pts,pct_clv_positive,clv_measurable,n_perm_ge,n_perm_nonempty,perm_roi_mean,perm_roi_q95,p_perm,p_perm_phipson_smyth,eligible,small_n_flag,q_bh,starred
extension,near-tip,spread,3.0,best_book,side,fav,19,10,9,0,0.5263157894736842,-0.0028985486621004807,19,0.004784688995215289,19,-0.0028985486621004807,-0.3690935767898052,0.3574248521004746,17,,,False,97,200,-0.011242148,0.23919302,0.485,0.48756218905472637,False,True,,False
extension,near-tip,spread,3.0,best_book,side,dog,162,87,72,3,0.5471698113207547,0.043629445265065174,162,0.019640852974186312,162,0.043629445265065174,-0.08010995719214589,0.17374373007577723,99,,,False,110,200,0.047208697,0.09836931,0.55,0.5522388059701493,True,False,0.7849315068493151,False
extension,near-tip,spread,3.0,best_book,rest_sign,home_more,53,31,21,1,0.5961538461538461,0.13064908243728648,53,0.09948542024013722,53,0.13064908243728648,-0.10818864076275052,0.35945053135953375,47,,,False,94,200,0.12829636,0.2410547,0.47,0.472636815920398,True,False,0.7268825910931174,False
extension,near-tip,spread,3.0,best_book,rest_sign,equal,82,39,42,1,0.48148148148148145,-0.08206663447286529,82,-0.09201773835920178,82,-0.08206663447286529,-0.24217333936189522,0.07784295406314401,62,,,False,164,200,-0.028853798,0.064917,0.82,0.8208955223880597,True,False,0.9258325123152709,False
extension,near-tip,spread,3.0,best_book,rest_sign,away_more,46,27,18,1,0.6,0.14821652969477003,46,0.12055335968379448,46,0.14821652969477003,-0.09931050137329986,0.38332276432618395,38,,,False,22,200,0.050278593,0.1729029,0.11,0.11442786069651742,True,False,0.35914529914529914,False
extension,near-tip,spread,3.0,best_book,phase,early,18,7,11,0,0.3888888888888889,-0.2559054843342607,18,-0.25757575757575757,18,-0.2559054843342607,-0.5525949359282692,0.052003862029591,11,,,False,102,200,-0.23960462,0.0239231,0.51,0.5124378109452736,False,True,,False
extension,near-tip,spread,3.0,best_book,phase,mid,89,49,38,2,0.5632183908045977,0.07225928802056694,89,0.04085801838610828,89,0.07225928802056694,-0.10338146244533507,0.2552920286416756,58,,,False,125,200,0.08371721,0.14705771,0.625,0.6268656716417911,True,False,0.8270785219399538,False
extension,near-tip,spread,3.0,best_book,phase,late,74,41,32,1,0.5616438356164384,0.07010972692630921,74,0.057739557739557745,74,0.07010972692630921,-0.10610769948273971,0.24790819119500485,41,,,False,68,200,0.03669837,0.14138713,0.34,0.34328358208955223,True,False,0.6494000000000001,False
extension,near-tip,spread,3.0,best_book,weekend,weekend,59,31,25,3,0.5535714285714286,0.05067069556520014,59,0.003081664098613252,59,0.05067069556520014,-0.18432789603855584,0.29737383815152046,36,,,False,73,200,0.024736207,0.13918594,0.365,0.3681592039800995,True,False,0.6546009389671361,False
extension,near-tip,spread,3.0,best_book,weekend,weekday,122,66,56,0,0.5409836065573771,0.03297808745912986,122,0.02533532041728764,122,0.03297808745912986,-0.09659798659248299,0.16047960611545575,72,,,False,120,200,0.046637673,0.12185924,0.6,0.6019900497512438,True,False,0.8098939929328622,False
extension,near-tip,total,0.5,consensus,none,all,338,158,180,0,0.46745562130177515,-0.10758472296933834,338,-0.10758472296933834,338,-0.08462576913885995,-0.19210550319245975,-0.024235647206893224,133,,,False,77,200,-0.11753475,-0.061457127,0.385,0.3880597014925373,True,False,0.6736030534351145,False
extension,near-tip,total,0.5,consensus,line_terc,small,115,59,56,0,0.5130434782608696,-0.02055335968379444,115,-0.02055335968379444,115,-0.003723695925695725,-0.16065830721003135,0.12727988546886182,84,,,False,99,200,-0.01998142,0.08632239,0.495,0.4975124378109453,True,False,0.7454270696452037,False
extension,near-tip,total,0.5,consensus,line_terc,mid,116,54,62,0,0.46551724137931033,-0.11128526645768028,116,-0.11128526645768028,116,-0.09431876002743839,-0.25227272727272726,0.041322314049586785,81,,,False,45,200,-0.15173963,-0.061239365,0.225,0.22885572139303484,True,False,0.5294661190965093,False
