arm,target,scheme,model,decile,n,mean_predicted,mean_realised,median_realised
A4_CLEAN_DEC,minutes,WF,VALL,10,295,6.105640472225617,5.748163971328165,4.910447491193015
A4_CLEAN_DEC,minutes,WF,VLEV,1,294,3.1734654489685044,3.7723994984690563,2.5116909404469467
A4_CLEAN_DEC,minutes,WF,VLEV,2,295,3.5976322779415253,3.6982182859018473,2.793950895819769
A4_CLEAN_DEC,minutes,WF,VLEV,3,294,3.8012014180806926,3.7194977887525966,2.692450388108041
A4_CLEAN_DEC,minutes,WF,VLEV,4,295,3.9721411535570144,3.8467795334191557,2.976126346696958
A4_CLEAN_DEC,minutes,WF,VLEV,5,294,4.155660855236387,4.087136467241422,3.266101190638823
A4_CLEAN_DEC,minutes,WF,VLEV,6,295,4.333493266306586,4.045989679726052,3.399013089822489
A4_CLEAN_DEC,minutes,WF,VLEV,7,294,4.523508714781694,4.7515857170685,3.8903470869724917
A4_CLEAN_DEC,minutes,WF,VLEV,8,295,4.722149514701896,4.745694254304162,4.186144142914689
A4_CLEAN_DEC,minutes,WF,VLEV,9,294,4.955463112901755,5.001301837056745,4.317591472853753
A4_CLEAN_DEC,minutes,WF,VLEV,10,295,5.267258605764301,5.10869247471502,4.480052174312181
A4_CLEAN_DEC,minutes,GKF,V0,1,354,4.271515549089643,4.5292148382009065,3.683991436542529
A4_CLEAN_DEC,minutes,GKF,V0,2,355,4.271515549089643,4.54400120969292,3.4004010753567933
A4_CLEAN_DEC,minutes,GKF,V0,3,355,4.318743735786194,4.070274484441756,3.092650865737216
A4_CLEAN_DEC,minutes,GKF,V0,4,355,4.318877148742963,4.656598975526877,4.0530127163247585
A4_CLEAN_DEC,minutes,GKF,V0,5,355,4.32691631736406,4.16205289398672,3.4899475302865213
A4_CLEAN_DEC,minutes,GKF,V0,6,355,4.326939026879939,4.472969943274333,3.491603566421464
A4_CLEAN_DEC,minutes,GKF,V0,7,355,4.348395505555486,4.364844349654227,3.376906469948665
A4_CLEAN_DEC,minutes,GKF,V0,8,355,4.348395505555486,4.1058437746184175,3.2259993506276103
A4_CLEAN_DEC,minutes,GKF,V0,9,355,4.363166590981836,4.433566264566775,3.6032390262420364
A4_CLEAN_DEC,minutes,GKF,V0,10,355,4.363166590981836,3.9189947849864093,3.196246681771413
A4_CLEAN_DEC,minutes,GKF,VSD,1,354,4.248264702685482,4.508349459428596,3.440212902832071
A4_CLEAN_DEC,minutes,GKF,VSD,2,355,4.2543340046548215,4.6115473643938865,3.8348266177058505
A4_CLEAN_DEC,minutes,GKF,VSD,3,355,4.2667751354094445,4.154499208610956,3.4790310972678427
A4_CLEAN_DEC,minutes,GKF,VSD,4,355,4.291698168048069,4.765423448083516,3.746901916818853
A4_CLEAN_DEC,minutes,GKF,VSD,5,355,4.298561536225706,4.298552865762816,3.7009364888030447
