arm,target,response,scheme,model,features,n_features,n_scored,n_blocks,mean_realised,sd_realised,decile1_mean_realised,decile10_mean_realised,top_minus_bottom_decile_spread,top_over_bottom_decile_ratio,ratio_boot_lo,ratio_boot_hi,spearman_vhat_vs_realised,calibration_slope,calibration_intercept,oof_r2_of_vhat_on_absres,r2_boot_lo,r2_boot_hi,mean_abs_calibration_error,mean_predicted,n_boot_used
A4_CLEAN_DEC,minutes,absres_minutes,WF,VALL,pl_games_prior;pl_minutes_prior;pl_career_games_prior;pl_prior_season_games;pl_is_rookie_window;pl_min_mean5;pl_fga_mean5;pl_pts_mean5;pl_usg_mean5;pl_start_frac5;pl_min_sd5;pl_min_cv5;pl_min_rng5;pl_fga_sd5;pl_pts_sd5;pl_usg_sd5;pl_min_trend5;pl_abs_min_trend5;pl_start_switch5;pl_rest_days;pl_teamgames_since_appear;pl_dnp_frac5;tm_rest_days;tm_b2b;tm_3in4;tm_games_prior7d;opp_rest_days;tm_rest_diff;tm_roster_churn_prior;tm_newfaces_prior;tm_five_tenure_prior;tm_five_changed_prior;tm_prior_meetings;tm_first_meeting;tm_is_home;tm_game_idx;opp_game_idx;tm_poss_mean_prior;opp_poss_mean_prior;pts__pred_point;pts__pred_sd;pts__pred_width;pts__pred_iqr;pts__pred_cv;pts__is_fallback;pts__fallback_level;pts__is_cold_start;pts__n_prior_games;minutes__pred_point;minutes__pred_sd;minutes__pred_width;minutes__pred_iqr;minutes__pred_cv;fga__pred_point;fga__pred_sd;fga__pred_width;fga__pred_iqr;fga__pred_cv,58,2945,174,4.277748815621224,3.7255364840090723,3.0341001287445737,5.748163971328165,2.7140638425835917,1.8945201962423686,1.5935094688256008,2.3144447084870152,0.2286302622295435,0.7718584521959249,1.1165877113882672,0.04142363009171768,0.01044140363106259,0.07170181431380404,2.643929026236951,4.095519191685344,2000
A4_CLEAN_DEC,minutes,absres_minutes,WF,VLEV,pl_min_mean5,1,2945,174,4.277748815621224,3.7255364840090723,3.7723994984690563,5.10869247471502,1.3362929762459634,1.3542289136631123,1.141200697951601,1.6687900149850765,0.17840925019398524,0.8356029189861632,0.7260893611740487,0.018378184830828315,0.000384462486011894,0.03477473397063213,2.7019760227261136,4.250415327361948,2000
A4_CLEAN_DEC,minutes,absres_minutes,GKF,V0,,0,3549,174,4.325778845981633,3.7267582945424493,4.5292148382009065,3.9189947849864093,-0.6102200532144972,0.8652702344636651,0.7621053369970299,1.0995079876301197,-0.027243830752136714,-3.998593482803621,21.622808313515126,-0.000635574879694456,-0.004199391500244459,-2.9480397949966087e-05,2.7781046951781123,4.325778437323338,2000
A4_CLEAN_DEC,minutes,absres_minutes,GKF,VSD,minutes__pred_sd,1,3549,174,4.325778845981633,3.7267582945424493,4.508349459428596,3.940821583072354,-0.5675278763562424,0.8741162632880343,0.729741903900287,1.0716422911271588,-0.0510068950096236,-2.6569627235555178,15.829838454345175,-0.002488783036950881,-0.006477717104395942,-0.0006904323780992384,2.7815329420222867,4.3297783240891565,2000
A4_CLEAN_DEC,minutes,absres_minutes,GKF,VSIG,pl_abs_min_trend5;pl_dnp_frac5;pl_min_rng5;pl_min_sd5;pl_start_switch5;pts__pred_cv;pts__pred_width,7,3549,174,4.325778845981633,3.7267582945424493,3.07615097368334,5.867310390765243,2.791159417081903,1.9073544962391127,1.60746218927825,2.2734921887445956,0.22112253623540404,0.9531692110643304,0.20165846708224508,0.04400321924359596,0.02426740511882945,0.062396304674981175,2.6893881171860925,4.326745273585056,2000
A4_CLEAN_DEC,minutes,absres_minutes,GKF,VALL,pl_games_prior;pl_minutes_prior;pl_career_games_prior;pl_prior_season_games;pl_is_rookie_window;pl_min_mean5;pl_fga_mean5;pl_pts_mean5;pl_usg_mean5;pl_start_frac5;pl_min_sd5;pl_min_cv5;pl_min_rng5;pl_fga_sd5;pl_pts_sd5;pl_usg_sd5;pl_min_trend5;pl_abs_min_trend5;pl_start_switch5;pl_rest_days;pl_teamgames_since_appear;pl_dnp_frac5;tm_rest_days;tm_b2b;tm_3in4;tm_games_prior7d;opp_rest_days;tm_rest_diff;tm_roster_churn_prior;tm_newfaces_prior;tm_five_tenure_prior;tm_five_changed_prior;tm_prior_meetings;tm_first_meeting;tm_is_home;tm_game_idx;opp_game_idx;tm_poss_mean_prior;opp_poss_mean_prior;pts__pred_point;pts__pred_sd;pts__pred_width;pts__pred_iqr;pts__pred_cv;pts__is_fallback;pts__fallback_level;pts__is_cold_start;pts__n_prior_games;minutes__pred_point;minutes__pred_sd;minutes__pred_width;minutes__pred_iqr;minutes__pred_cv;fga__pred_point;fga__pred_sd;fga__pred_width;fga__pred_iqr;fga__pred_cv,58,3549,174,4.325778845981633,3.7267582945424493,2.6655781985987437,5.849732832773384,3.1841546341746403,2.194545572082074,1.8231387387211782,2.521709590798435,0.23111802506868592,0.8590158419937444,0.5983146545509972,0.056277231585918575,0.030269290931855854,0.08317582629596648,2.67500033531363,4.339226367210326,2000
A4_CLEAN_DEC,minutes,absres_minutes,GKF,VLEV,pl_min_mean5,1,3549,174,4.325778845981633,3.7267582945424493,3.830004389998168,5.15280419776655,1.3227998077683822,1.345378144010173,1.1079056776181144,1.635089906664974,0.17405419408254258,0.9333972806079798,0.2841014060344188,0.018578353245941925,0.0036308332361948805,0.03185879536761595,2.726602577468555,4.330072011046162,2000
A4_CLEAN_DEC,fga,absres_fga,WF,V0,,0,2945,174,2.9345943728006847,2.2746583017303825,3.0889340413619464,2.802280873903506,-0.28665316745844027,0.9071999713752219,0.7924182986942896,1.041173177604873,-0.03654726180820748,-5.354256612938447,18.59623555236715,-0.0004751072220881003,-0.0034073990264227973,-0.00012549290221015606,1.7928671529696794,2.9250822871881854,2000
A4_CLEAN_DEC,fga,absres_fga,WF,VSD,fga__pred_sd,1,2945,174,2.9345943728006847,2.2746583017303825,2.9304748267575382,2.765123841980912,-0.16535098477662613,0.9435753608026789,0.822724422375633,1.0867625696539363,-0.01665509712247804,-0.6998383634046065,4.957405795675788,-0.0023190626010600734,-0.006330335369674667,-0.00021700879951627941,1.7893118468304445,2.8903980242443876,2000
A4_CLEAN_DEC,fga,absres_fga,WF,VSIG,pts__pred_cv,1,2945,174,2.9345943728006847,2.2746583017303825,2.344698696071441,3.354756020472516,1.010057324401075,1.4307834205279482,1.265123638177822,1.6653867159023004,0.129265794909675,1.0092364130596916,-0.03029249210109499,0.018961640152248993,0.007024987308096547,0.031155129238156925,1.7774514488450346,2.9377525687100032,2000
A4_CLEAN_DEC,fga,absres_fga,WF,VALL,pl_games_prior;pl_minutes_prior;pl_career_games_prior;pl_prior_season_games;pl_is_rookie_window;pl_min_mean5;pl_fga_mean5;pl_pts_mean5;pl_usg_mean5;pl_start_frac5;pl_min_sd5;pl_min_cv5;pl_min_rng5;pl_fga_sd5;pl_pts_sd5;pl_usg_sd5;pl_min_trend5;pl_abs_min_trend5;pl_start_switch5;pl_rest_days;pl_teamgames_since_appear;pl_dnp_frac5;tm_rest_days;tm_b2b;tm_3in4;tm_games_prior7d;opp_rest_days;tm_rest_diff;tm_roster_churn_prior;tm_newfaces_prior;tm_five_tenure_prior;tm_five_changed_prior;tm_prior_meetings;tm_first_meeting;tm_is_home;tm_game_idx;opp_game_idx;tm_poss_mean_prior;opp_poss_mean_prior;pts__pred_point;pts__pred_sd;pts__pred_width;pts__pred_iqr;pts__pred_cv;pts__is_fallback;pts__fallback_level;pts__is_cold_start;pts__n_prior_games;minutes__pred_point;minutes__pred_sd;minutes__pred_width;minutes__pred_iqr;minutes__pred_cv;fga__pred_point;fga__pred_sd;fga__pred_width;fga__pred_iqr;fga__pred_cv,58,2945,174,2.9345943728006847,2.2746583017303825,2.5430485013461523,3.6418729835484402,1.098824482202288,1.4320894712077374,1.2555067446966992,1.7297818438919024,0.11491323163374756,0.3310146851927192,1.9785873797552367,-0.031348306398643944,-0.14637697018020607,0.02871557866045393,1.784936371889774,2.8881105153653617,2000
A4_CLEAN_DEC,fga,absres_fga,WF,VLEV,pl_fga_mean5,1,2945,174,2.9345943728006847,2.2746583017303825,2.1548713387399365,3.4971039584541503,1.3422326197142138,1.6228829515636354,1.3718129235416308,1.8640220323704249,0.1412709200334486,0.9938184118409487,0.0076230895487421225,0.027708345909762344,0.013381959179886141,0.04143313081686167,1.7677638227338377,2.9451771554825834,2000
A4_CLEAN_DEC,fga,absres_fga,GKF,V0,,0,3549,174,2.9325658784882913,2.273802126022659,3.1383915228990964,2.657368619758544,-0.4810229031405524,0.8467294792154529,0.7650659704646979,1.050118348965187,-0.04907658092422052,-4.001960819627334,14.668646646873636,-0.0016467341870576302,-0.004642764953928641,-0.0006327421089978758,1.7974821500518399,2.932582625703508,2000
A4_CLEAN_DEC,fga,absres_fga,GKF,VSD,fga__pred_sd,1,3549,174,2.9325658784882913,2.273802126022659,3.1112093294008596,2.7756565795398114,-0.3355527498610482,0.8921471639050185,0.7513482841452985,1.0411301388990006,-0.058677050415677966,-3.697500096578173,13.78546101396518,-0.002771070667227926,-0.00614025443492795,-0.001383628995440495,1.7986536889965554,2.935198066802117,2000
A4_CLEAN_DEC,fga,absres_fga,GKF,VSIG,pts__pred_cv,1,3549,174,2.9325658784882913,2.273802126022659,2.2375438841377475,3.3254687513976977,1.0879248672599502,1.4862138682384722,1.3062345603631431,1.6963909371865555,0.1203713417520712,0.9617422406761367,0.11166302084803159,0.018121186389061128,0.0062235531694283,0.030764570899520362,1.780060717992672,2.9331173554954524,2000
A4_CLEAN_DEC,fga,absres_fga,GKF,VALL,pl_games_prior;pl_minutes_prior;pl_career_games_prior;pl_prior_season_games;pl_is_rookie_window;pl_min_mean5;pl_fga_mean5;pl_pts_mean5;pl_usg_mean5;pl_start_frac5;pl_min_sd5;pl_min_cv5;pl_min_rng5;pl_fga_sd5;pl_pts_sd5;pl_usg_sd5;pl_min_trend5;pl_abs_min_trend5;pl_start_switch5;pl_rest_days;pl_teamgames_since_appear;pl_dnp_frac5;tm_rest_days;tm_b2b;tm_3in4;tm_games_prior7d;opp_rest_days;tm_rest_diff;tm_roster_churn_prior;tm_newfaces_prior;tm_five_tenure_prior;tm_five_changed_prior;tm_prior_meetings;tm_first_meeting;tm_is_home;tm_game_idx;opp_game_idx;tm_poss_mean_prior;opp_poss_mean_prior;pts__pred_point;pts__pred_sd;pts__pred_width;pts__pred_iqr;pts__pred_cv;pts__is_fallback;pts__fallback_level;pts__is_cold_start;pts__n_prior_games;minutes__pred_point;minutes__pred_sd;minutes__pred_width;minutes__pred_iqr;minutes__pred_cv;fga__pred_point;fga__pred_sd;fga__pred_width;fga__pred_iqr;fga__pred_cv,58,3549,174,2.9325658784882913,2.273802126022659,2.33606089643323,3.536896179993917,1.200835283560687,1.5140427997378663,1.3389566341162509,1.8093513074409575,0.12480689500289167,0.9003598619788566,0.29541430773785987,0.024837878378626277,0.010745951445197193,0.039224934305491045,1.7730621908041397,2.9289972622217597,2000
A4_CLEAN_DEC,fga,absres_fga,GKF,VLEV,pl_fga_mean5,1,3549,174,2.9325658784882913,2.273802126022659,2.191965949638001,3.4673462701114115,1.2753803204734107,1.5818431261142707,1.380383780306658,1.9014857460529824,0.13882741589366387,0.9846803187053844,0.045530568800529816,0.026863462128695725,0.013643245704698983,0.040059809026228466,1.7695444185567175,2.9319518780303353,2000
