date,team_abbr_in_file,master_abbr,team_id,notes,action,person,role_raw,role_class,is_coaching_identity
2022-11-15,WAS,WAS,1611661322,The Washington Mystics hired Eric Thibault as Head Coach.,hire,Eric Thibault,Head Coach,head_coach,True
2022-11-21,CON,CON,1611661323,The Connecticut Sun hired Stephanie White as Head Coach.,hire,Stephanie White,Head Coach,head_coach,True
2023-06-25,PHO,PHO,1611661317,The Phoenix Mercury fired Vanessa Nygaard as Head Coach.,fire,Vanessa Nygaard,Head Coach,head_coach,True
2023-06-25,PHO,PHO,1611661317,The Phoenix Mercury hired Nikki Blue as Interim Head Coach.,hire,Nikki Blue,Interim Head Coach,interim_head_coach,True
2023-07-01,CHI,CHI,1611661329,James Wade resigns as Head Coach for Chicago Sky.,resign,James Wade,Head Coach,head_coach,True
2023-07-01,CHI,CHI,1611661329,James Wade resigns as GM for Chicago Sky.,resign,James Wade,GM,general_manager,False
2023-07-01,CHI,CHI,1611661329,The Chicago Sky hired Emre Vatansever as Interim Head Coach & GM.,hire,Emre Vatansever,Interim Head Coach & GM,interim_head_coach,True
2024-09-24,LAS,LAS,1611661320,Curt Miller resigns as Head Coach for Los Angeles Sparks.,resign,Curt Miller,Head Coach,head_coach,True
2024-09-26,CHI,CHI,1611661329,The Chicago Sky fired Teresa Weatherspoon as Head Coach.,fire,Teresa Weatherspoon,Head Coach,head_coach,True
2024-10-02,ATL,ATL,1611661330,The Atlanta Dream fired Tanisha Wright as Head Coach.,fire,Tanisha Wright,Head Coach,head_coach,True
2024-10-10,GSV,GSV,1611661331,The Golden State Valkyries hired Natalie Nakase as Head Coach.,hire,Natalie Nakase,Head Coach,head_coach,True
2024-10-18,DAL,DAL,1611661321,The Dallas Wings fired Latricia Trammell as Head Coach.,fire,Latricia Trammell,Head Coach,head_coach,True
2024-10-23,WAS,WAS,1611661322,The Washington Mystics fired Eric Thibault as Head Coach.,fire,Eric Thibault,Head Coach,head_coach,True
2024-10-27,IND,IND,1611661325,The Indiana Fever fired Christie Sides as Head Coach.,fire,Christie Sides,Head Coach,head_coach,True
2024-10-28,CON,CON,1611661323,The Connecticut Sun fired Stephanie White as Head Coach.,fire,Stephanie White,Head Coach,head_coach,True
2024-11-01,IND,IND,1611661325,The Indiana Fever hired Stephanie White as Head Coach.,hire,Stephanie White,Head Coach,head_coach,True
2024-11-03,CHI,CHI,1611661329,The Chicago Sky hired Tyler Marsh as Head Coach.,hire,Tyler Marsh,Head Coach,head_coach,True
2024-11-13,ATL,ATL,1611661330,The Atlanta Dream hired Karl Smesko as Head Coach.,hire,Karl Smesko,Head Coach,head_coach,True
2024-11-19,LAS,LAS,1611661320,The Los Angeles Sparks hired Lynne Roberts as Head Coach.,hire,Lynne Roberts,Head Coach,head_coach,True
2024-12-04,CON,CON,1611661323,The Connecticut Sun hired Rachid Meziane as Head Coach.,hire,Rachid Meziane,Head Coach,head_coach,True
2024-12-23,DAL,DAL,1611661321,The Dallas Wings hired Chris Koclanes as Head Coach.,hire,Chris Koclanes,Head Coach,head_coach,True
2024-12-23,WAS,WAS,1611661322,The Washington Mystics hired Sydney Johnson as Head Coach.,hire,Sydney Johnson,Head Coach,head_coach,True
2025-09-21,NYL,NYL,1611661313,The New York Liberty fired Sandy Brondello as Head Coach.,fire,Sandy Brondello,Head Coach,head_coach,True
2025-09-21,SEA,SEA,1611661328,The Seattle Storm fired Noelle Quinn as Head Coach.,fire,Noelle Quinn,Head Coach,head_coach,True
2025-09-30,DAL,DAL,1611661321,The Dallas Wings fired Chris Koclanes as Head Coach.,fire,Chris Koclanes,Head Coach,head_coach,True
2025-10-17,POR,PDX,1611661327,The Portland Fire hired Alex Sarama as Head Coach.,hire,Alex Sarama,Head Coach,head_coach,True
2025-10-28,DAL,DAL,1611661321,The Dallas Wings hired Jose Fernandez as Head Coach.,hire,Jose Fernandez,Head Coach,head_coach,True
2025-10-28,SEA,SEA,1611661328,The Seattle Storm hired Sonia Raman as Head Coach.,hire,Sonia Raman,Head Coach,head_coach,True
2025-11-04,TOR,TOR,1611661332,The Toronto Tempo hired Sandy Brondello as Head Coach.,hire,Sandy Brondello,Head Coach,head_coach,True
2025-12-03,NYL,NYL,1611661313,The New York Liberty hired Chris DeMarco as Head Coach.,hire,Chris DeMarco,Head Coach,head_coach,True
