stratum,target,base,candidate,level,n,dr2,beta,sd_candidate,sd_candidate_resid,sd_y,r2_base,p_row_level_NAIVE,p_entity_swap,p_cyclic_shift,p_correct_level,null_sd_row,null_sd_swap,null_sd_cyclic,inflation_swap_over_row,inflation_cyclic_over_row,CEILING_dr2_D089form,CEILING_dr2_residualised,d_target_per_sd_signal,family,fw_p,fw_t
DECISION,y_dreb,B_SINGLE,G02_placebo_noop,row,5111,0.0,0.0,6.78023942638784,9.211482769992285e-14,2.787198641156965,0.3512357278468816,1.0,,,1.0,0.00017035280371188358,0.00017035280371188358,0.00017035280371188358,1.0,1.0,0.0,0.0,0.0,G,1.0,-0.7193849163098971
DECISION,y_dreb,B_SINGLE,R01_opp_allowed_miss_pg,opp_team_season,5111,8.350136547328419e-05,0.013600594627048327,1.8728486110166511,1.8726508579008545,2.787198641156965,0.3512357278468814,0.37603993344425957,0.4908485856905158,0.9500831946755408,0.9500831946755408,0.00016097459369142483,0.0002485446209957583,0.0001321621380850363,1.543999057840134,0.8210124035994174,8.351900199853325e-05,8.350136547328418e-05,0.025471854756267988,R,1.0,-1.4686994945558736
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,opp_team_season,5111,0.000796341504071062,-1.935820371565972,0.04063286629971969,0.04063053503585573,2.787198641156965,0.3512357278468814,0.0066555740432612314,0.03161397670549085,0.8552412645590682,0.8552412645590682,0.000169194051649129,0.00022323884726360772,0.00017774541416831156,1.319424915283403,1.050541744439788,0.000796432890287364,0.0007963415040710619,0.07865793033811383,R,1.0,-1.062680936506345
DECISION,y_dreb,B_SINGLE,R03_opp_allowed_atb3_share,opp_team_season,5111,0.00011670392844833476,1.2291520964603242,0.024496688651666914,0.024496556133895248,2.787198641156965,0.3512357278468814,0.3277870216306156,0.4226289517470882,0.7903494176372712,0.7903494176372712,0.0001718671751290162,0.0002436444133562692,0.00011145113036681692,1.4176320357472083,0.6484724630119363,0.00011670519110634179,0.00011670392844833474,0.03011015621253222,R,1.0,-0.8782362426565573
DECISION,y_dreb,B_SINGLE,R04_opp_allowed_mid_share,opp_team_season,5111,8.061709520996693e-07,-0.11824452207797465,0.021165492307823896,0.021164132125492754,2.787198641156965,0.3512357278468814,0.9450915141430949,0.9384359400998337,0.8036605657237936,0.9384359400998337,0.00021965007172680386,0.00020555832754959633,1.7209986105416602e-05,0.9358445728406839,0.07835183467102173,8.062745778675277e-07,8.061709520996696e-07,0.002502703522483685,R,1.0,-0.7308185048512917
DECISION,y_dreb,B_SINGLE,R05_opp_allowed_long_miss_pg,opp_team_season,5111,0.00022161729201747505,0.03464960535207866,1.1974940290698133,1.1974887747137677,2.787198641156965,0.3512357278468814,0.17637271214642264,0.2928452579034942,0.8419301164725458,0.8419301164725458,0.0001611860040441686,0.0002438811174693258,0.00016111831537474495,1.5130415256308287,0.9995800586420326,0.00022161923685192758,0.00022161729201747494,0.04149269551873964,R,1.0,-0.9793034830575593
DECISION,y_dreb,B_SINGLE,R06_own_atb3_share,team_season,5111,0.00012066034698015594,-0.6467700805721134,0.04742396294596651,0.04733695141991863,2.7871986411569645,0.3512357278468813,0.30449251247920134,0.5307820299500832,0.05823627287853577,0.5307820299500832,0.00015641547612887702,0.000340419406358153,2.9703086689942873e-05,2.176379312221431,0.18989864318457403,0.00012110433374873274,0.00012066034698015599,0.030672400335611676,R,1.0,-0.41513633611366074
DECISION,y_dreb,B_SINGLE,R07_own_miss_pg,team_season,5111,0.0001955339079092093,-0.020987968434907342,1.8569963058276184,1.856985699483313,2.7871986411569645,0.3512357278468813,0.2079866888519135,0.259567387687188,0.018302828618968387,0.259567387687188,0.0001976159366536596,0.00017746423791350298,5.2485456493708736e-05,0.898025943244272,0.2655932379871488,0.0001955361415353206,0.0001955339079092093,0.038974579850449595,R,1.0,0.29270516153761555
DECISION,y_dreb,B_SINGLE,R08_player_ra_share,player_season,5111,0.002291117372008613,0.8903286393186265,0.1607438643675129,0.14984465188863963,2.7871986411569645,0.3512357278468813,0.0016638935108153079,0.004991680532445923,0.7870216306156406,0.7870216306156406,0.00015273052128752252,0.00033617843323609345,0.00015472816823487032,2.2011214942638837,1.013079552996399,0.002636535683780002,0.0022911173720086137,0.1431148660411456,R,1.0,-0.7477071610719319
DECISION,y_dreb,B_SINGLE,R09_opp_allowed_paint_share,opp_team_season,5111,0.00010515068695757796,-0.8395851253144785,0.03404277277032171,0.03404154346484666,2.787198641156965,0.3512357278468814,0.3793677204658902,0.4525790349417637,0.8735440931780366,0.8735440931780366,0.00018213631513585866,0.0002687148156723139,8.230388410885207e-05,1.4753500172213039,0.4518806919282416,0.00010515828148097381,0.00010515068695757797,0.028581805642422867,R,1.0,-1.166647428538673
DECISION,y_dreb,B_SINGLE,R10_opp_allowed_oreb_pg,opp_team_season,5111,0.0003185999395676259,-0.05722253077524481,0.8694231467953196,0.8694081454200765,2.787198641156965,0.3512357278468814,0.10981697171381032,0.14143094841930118,0.1281198003327787,0.14143094841930118,0.00018129950118673212,0.0001887507211257132,0.00012927455681312048,1.0410989544384162,0.713044194644376,0.0003186109343541481,0.000318599939567626,0.04975059277420537,R,1.0,0.9409254073602943
DECISION,y_oreb,B_COMPLETE,A01_c04_prevgame,team_season,5111,0.00022976799233737056,-0.0023509396462538567,9.41168358822967,8.88149077885283,1.377471380881575,0.28327601515470424,0.22961730449251247,0.21797004991680533,0.23460898502495842,0.23460898502495842,0.00020843427111894984,0.0001964188617039529,0.00021752207064770258,0.9423539643912974,1.0436003133264322,0.0002580194394516924,0.0002297679923373705,0.022126300085565886,A,0.9900166389351082,0.31158815270598417
DECISION,y_oreb,B_COMPLETE,G01_noise,row,5111,2.3685896021675028e-08,-0.00021217968080892183,1.0003967819812156,0.9991339169809648,1.377471380881575,0.283276015154704,0.9916805324459235,,,0.9916805324459235,0.00018982972233703117,0.00018982972233703117,0.00018982972233703117,1.0,1.0,2.3745809897911535e-08,2.3685896021675038e-08,0.00021226386988304688,G,1.0,-0.7042427319829268
DECISION,y_oreb,B_COMPLETE,G02_placebo_noop,row,5111,0.0,0.0,3.065925828369064,8.298330403462677e-12,1.377471380881575,0.283276015154704,1.0,,,1.0,0.00020010215201304136,0.00020010215201304136,0.00020010215201304136,1.0,1.0,0.0,0.0,0.0,G,1.0,-0.6594198940771732
DECISION,y_oreb,B_COMPLETE,R01_opp_allowed_miss_pg,opp_team_season,5111,0.00030671155904023293,0.01291700294572679,1.8728486110166511,1.8676087398331573,1.377471380881575,0.2832760151547039,0.1713810316139767,0.2911813643926789,0.9883527454242929,0.9883527454242929,0.00019709416542387694,0.000343128013917889,0.00027203030017593384,1.74093440655611,1.3802047340716397,0.00030843502879349734,0.00030671155904023293,0.02419159102540241,R,1.0,-1.7774828355348062
