subset,target,n,rung,kind,mae,rmse,r2,sd_y
"DECISION (>=8 prior, >=24 trail-5 min)",y_ast,5111,H2   trailing-5 prior mean,honest,1.6145959694775975,2.0843999487035476,0.32167562399021676,2.5310739392985626
"DECISION (>=8 prior, >=24 trail-5 min)",y_ast,5111,H3   prior rate(floored) x prior minutes,honest,1.5290729943154253,1.9823929666619213,0.3864431448259922,2.5310739392985626
"DECISION (>=8 prior, >=24 trail-5 min)",y_ast,3552,H4   walk-forward OLS on B_COMPLETE,honest,1.5274113941661112,1.9768918789453045,0.40989082586525527,2.573818253173559
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,5111,REF  expanding prior mean,honest,4.986270187428811,6.341364554725671,0.3006597428363509,7.583696544741256
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,5111,H1   EWMA prior (hl=5),honest,5.002766151121679,6.343991320694235,0.3000802512646261,7.583696544741256
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,5111,H2   trailing-5 prior mean,honest,5.237174721189591,6.6353906677185135,0.23430452142538016,7.583696544741256
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,5111,H3   prior rate(floored) x prior minutes,honest,4.984363202908947,6.33871572355511,0.30124385919453023,7.583696544741256
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,3552,H4   walk-forward OLS on B_COMPLETE,honest,5.0361486866851495,6.371653311234696,0.3222429456071717,7.740629066588402
ALL incl 2021 (power sensitivity),y_oreb,18212,REF  expanding prior mean,honest,0.7815498147127962,1.0927813903024877,0.207075890072158,1.2272397187400361
ALL incl 2021 (power sensitivity),y_oreb,18212,H1   EWMA prior (hl=5),honest,0.7805193629350258,1.0940369546456519,0.20525276390513658,1.2272397187400361
ALL incl 2021 (power sensitivity),y_oreb,18212,H2   trailing-5 prior mean,honest,0.7979841450397613,1.132959018191188,0.14769812528379866,1.2272397187400361
ALL incl 2021 (power sensitivity),y_oreb,18208,H3   prior rate(floored) x prior minutes,honest,0.7825894529094178,1.0940224933755933,0.2052512099054885,1.2272223043459756
ALL incl 2021 (power sensitivity),y_oreb,14324,H4   walk-forward OLS on B_COMPLETE,honest,0.780476831512842,1.0630713243602774,0.2463476688403745,1.2245937548453834
ALL incl 2021 (power sensitivity),y_dreb,18212,REF  expanding prior mean,honest,1.545857664859609,2.0494001295786926,0.386293893160941,2.6161248164889233
ALL incl 2021 (power sensitivity),y_dreb,18212,H1   EWMA prior (hl=5),honest,1.5365370199019859,2.040197523602901,0.39179307824149623,2.6161248164889233
ALL incl 2021 (power sensitivity),y_dreb,18212,H2   trailing-5 prior mean,honest,1.5854295420103712,2.111810243951776,0.34834653230816004,2.6161248164889233
ALL incl 2021 (power sensitivity),y_dreb,18208,H3   prior rate(floored) x prior minutes,honest,1.5491140714622795,2.0496567798785614,0.38612786523060183,2.6160986076397363
ALL incl 2021 (power sensitivity),y_dreb,14324,H4   walk-forward OLS on B_COMPLETE,honest,1.502239923074221,1.9890950416964661,0.418581037975688,2.608711779829889
ALL incl 2021 (power sensitivity),y_reb,18212,REF  expanding prior mean,honest,1.859610485561309,2.4608426998012063,0.43675608059579907,3.2790460936743395
ALL incl 2021 (power sensitivity),y_reb,18212,H1   EWMA prior (hl=5),honest,1.8415493270583447,2.4398908941911244,0.44630625614677055,3.2790460936743395
ALL incl 2021 (power sensitivity),y_reb,18212,H2   trailing-5 prior mean,honest,1.8959876256908288,2.5231987330783108,0.4078500187057751,3.2790460936743395
ALL incl 2021 (power sensitivity),y_reb,18208,H3   prior rate(floored) x prior minutes,honest,1.8607230492918532,2.4609678791491207,0.43670054797372515,3.279051269724894
ALL incl 2021 (power sensitivity),y_reb,14324,H4   walk-forward OLS on B_COMPLETE,honest,1.8019661436132404,2.386434835144952,0.46981022448739584,3.277548039483567
ALL incl 2021 (power sensitivity),y_ast,18212,REF  expanding prior mean,honest,1.2472905262869876,1.6909197428863076,0.43865778123824084,2.2569454641223903
ALL incl 2021 (power sensitivity),y_ast,18212,H1   EWMA prior (hl=5),honest,1.2396807587394592,1.6861396209127077,0.4418270523397997,2.2569454641223903
ALL incl 2021 (power sensitivity),y_ast,18212,H2   trailing-5 prior mean,honest,1.2766639277654097,1.7419813126903487,0.40424362186425067,2.2569454641223903
ALL incl 2021 (power sensitivity),y_ast,18208,H3   prior rate(floored) x prior minutes,honest,1.2499317912565826,1.692024794269964,0.4379575362562431,2.257013124755258
ALL incl 2021 (power sensitivity),y_ast,14324,H4   walk-forward OLS on B_COMPLETE,honest,1.2328593599964648,1.6688566985821152,0.4610887425833258,2.273398549722224
ALL incl 2021 (power sensitivity),y_pts,18212,REF  expanding prior mean,honest,4.191965757806984,5.497339043828273,0.46278473864041736,7.500501034849229
ALL incl 2021 (power sensitivity),y_pts,18212,H1   EWMA prior (hl=5),honest,4.162598917208949,5.4721471099986925,0.46769710883694837,7.500501034849229
ALL incl 2021 (power sensitivity),y_pts,18212,H2   trailing-5 prior mean,honest,4.286259870436344,5.650947318503747,0.4323432403797498,7.500501034849229
ALL incl 2021 (power sensitivity),y_pts,18208,H3   prior rate(floored) x prior minutes,honest,4.196283318669488,5.488549105073252,0.4644807273074657,7.500356869761778
ALL incl 2021 (power sensitivity),y_pts,14324,H4   walk-forward OLS on B_COMPLETE,honest,4.129120344323913,5.384893955464762,0.49310439275915285,7.563678343533043
