num,impl_name,family,module,catalog_number,name,best_channel,best_improvement,best_p,any_survives,n_tests,run,status,tested,implemented
38,hot_hand_3p_dev,D,fam_d.py,38,hot_hand_3p_dev,fg3,0.00119,0.04478,False,1,run1 pooled,not confirmed,True,True
39,role_expansion,D,fam_d.py,39,role_expansion,paint,0.00037,0.1791,False,4,run1 pooled,not confirmed,True,True
40,usage_eff_divergence,D,fam_d.py,40,usage_eff_divergence,fg3,0.00025,0.18905,False,4,run1 pooled,not confirmed,True,True
41,ftpct_leading_indicator,D,fam_d.py,41,ftpct_leading_indicator,fg3,0.00104,0.06965,False,1,run1 pooled,not confirmed,True,True
42,rim_rate_trend,D,fam_d.py,42,rim_rate_trend,paint,-3e-05,0.43284,False,1,run1 pooled,not confirmed,True,True
43,shot_distance_drift,D,fam_d.py,43,shot_distance_drift,paint,0.00138,0.04975,False,4,run1 pooled,not confirmed,True,True
44,self_creation_index,D,fam_d.py,44,self_creation_index,fg3,0.01388,0.00498,True,3,run1 pooled,CONFIRMED,True,True
45,garbage_cleaned_rates,D,fam_d.py,45,garbage_cleaned_rates,ft,0.00315,0.00498,True,4,run1 pooled,CONFIRMED,True,True
46,early_foul_tendency,D,fam_d.py,46,early_foul_tendency,ft,0.00145,0.0398,False,4,run1 pooled,not confirmed,True,True
47,post_absence_ramp,D,fam_d.py,47,post_absence_ramp,np2,0.00126,0.08955,False,4,run1 pooled,not confirmed,True,True
48,structural_break_score,D,fam_d.py,48,structural_break_score,fg3,0.00202,0.02488,False,4,run1 pooled,not confirmed,True,True
49,star_onoff_split,E,fam_e.py,49,star_onoff_split,ft,0.00024,0.22388,False,4,run1 pooled,not confirmed,True,True
50,usage_absorption_elasticity,E,fam_e.py,50,usage_absorption_elasticity,np2,0.00013,0.30846,False,4,run1 pooled,not confirmed,True,True
51,lineup_familiarity,E,fam_e.py,51,lineup_familiarity,np2,0.00157,0.05473,False,4,run1 pooled,not confirmed,True,True
52,onfloor_pace_diff,E,fam_e.py,52,onfloor_pace_diff,fg3,0.00275,0.02488,False,4,run1 pooled,not confirmed,True,True
53,gravity_x_paint,E,fam_e.py,53,gravity_x_paint,paint,-0.00072,0.74129,False,1,run1 pooled,not confirmed,True,True
54,starter_unit_share,E,fam_e.py,54,starter_unit_share,fg3,0.00274,0.04975,False,4,run1 pooled,not confirmed,True,True
55,closing_lineup_membership,E,fam_e.py,55,closing_lineup_membership,np2,0.00808,0.00498,True,4,run1 pooled,CONFIRMED,True,True
56,best_pair_lift,E,fam_e.py,56,best_pair_lift,fg3,0.00093,0.21891,False,4,run1 pooled,not confirmed,True,True
57,competition_quality,E,fam_e.py,57,competition_quality,fg3,0.00142,0.27861,False,4,run1 pooled,not confirmed,True,True
58,stint_pm_stability,E,fam_e.py,58,stint_pm_stability,np2,0.00294,0.00498,True,4,run1 pooled,CONFIRMED,True,True
59,system_dependence,E,fam_e.py,59,system_dependence,fg3,-0.00175,0.8209,False,1,run1 pooled,not confirmed,True,True
60,second_unit_anchor,E,fam_e.py,60,second_unit_anchor,np2,0.00906,0.00498,True,4,run1 pooled,CONFIRMED,True,True
61,shot_diet_xpts,F,fam_f.py,61,shot_diet_xpts,fg3,0.01461,0.00498,True,3,run1 pooled,CONFIRMED,True,True
62,zone_mix_drift,F,fam_f.py,62,zone_mix_drift,np2,0.0053,0.00498,True,3,run1 pooled,CONFIRMED,True,True
63,rim_vs_floater_trend,F,fam_f.py,63,rim_vs_floater_trend,paint,-0.00013,0.49751,False,1,run1 pooled,not confirmed,True,True
64,corner3_mix,F,fam_f.py,64,corner3_mix,fg3,-0.00412,0.81095,False,1,run1 pooled,not confirmed,True,True
65,early_clock_share,F,fam_f.py,65,early_clock_share,fg3,0.01153,0.00498,True,4,run1 pooled,CONFIRMED,True,True
66,late_clock_share,F,fam_f.py,66,late_clock_share,ft,0.00107,0.0199,False,4,run1 pooled,not confirmed,True,True
67,3ppct_by_rest,F,fam_f.py,67,3ppct_by_rest,fg3,0.00322,0.00498,False,1,run1 pooled,not confirmed,True,True
68,court_side_asymmetry,F,fam_f.py,68,court_side_asymmetry,fg3,9e-05,0.35821,False,4,run1 pooled,not confirmed,True,True
69,midrange_reliance,F,fam_f.py,69,midrange_reliance,np2,0.01458,0.00498,True,1,run1 pooled,CONFIRMED,True,True
70,zone_conversion_vs_league,F,fam_f.py,70,zone_conversion_vs_league,fg3,0.01296,0.00498,False,3,run1 pooled,not confirmed,True,True
71,clutch_ft_split,F,fam_f.py,71,clutch_ft_split,ft,0.00097,0.11443,False,1,run1 pooled,not confirmed,True,True
73,ftr_x_crew_fta,G,fam_g.py,73,ftr_x_crew_fta,ft,0.00057,0.0398,False,1,run1 pooled,not confirmed,True,True
74,star_whistle_proxy,G,fam_g.py,74,star_whistle_proxy,ft,0.00226,0.00498,True,1,run1 pooled,CONFIRMED,True,True
75,foulprone_x_crewpf,G,fam_g.py,75,foulprone_x_crewpf,np2,5e-05,0.36318,False,4,run1 pooled,not confirmed,True,True
76,crewpace_x_transition,G,fam_g.py,76,crewpace_x_transition,paint,9e-05,0.24876,False,4,run1 pooled,not confirmed,True,True
77,tech_x_techcrew,G,fam_g.py,77,tech_x_techcrew,fg3,0.00022,0.19403,False,4,run1 pooled,not confirmed,True,True
78,personal_ref_history,G,fam_g.py,78,personal_ref_history,ft,0.00068,0.0796,False,4,run1 pooled,not confirmed,True,True
79,rolling_7day_minutes,H,fam_h.py,79,rolling_7day_minutes,np2,0.00066,0.42289,False,4,run1 pooled,not confirmed,True,True
80,minutes_load_x_age_pooled,H,bios_features.py,80,minutes_load_x_age_pooled,ft,0.00027,0.31343,False,4,run2 bios,not confirmed,True,True
81,3in5_x_benchdepth,H,fam_h.py,81,3in5_x_benchdepth,paint,0.00015,0.32338,False,4,run1 pooled,not confirmed,True,True
82,season_phase_linear,H,fam_h.py,82,season_phase_linear,np2,0.00202,0.18408,False,4,run1 pooled,not confirmed,True,True
83,post_break_flag,H,fam_h.py,83,post_break_flag,ft,0.00176,0.02488,False,4,run1 pooled,not confirmed,True,True
84,rest_differential,H,fam_h.py,84,rest_differential,np2,0.00011,0.27861,False,4,run1 pooled,not confirmed,True,True
85,games_in_14_days,H,fam_h.py,85,games_in_14_days,np2,0.00221,0.30846,False,4,run1 pooled,not confirmed,True,True
86,venue_elevation,H,bios_features.py,86,venue_elevation,fg3,0.00398,0.00995,False,4,run2 bios,not confirmed,True,True
87,prev_season_anchor,I,fam_i.py,87,prev_season_anchor,fg3,0.05346,0.00498,False,4,run1 pooled,FLAGGED,True,True
88,career_trajectory_slope,I,fam_i.py,88,career_trajectory_slope,paint,0.00101,0.04975,False,4,run1 pooled,not confirmed,True,True
89,team_change_reset,I,fam_i.py,89,team_change_reset,ft,0.00099,0.08955,False,4,run1 pooled,not confirmed,True,True
92,two_season_blend,I,fam_i.py,92,two_season_blend,fg3,0.05018,0.00498,False,4,run1 pooled,FLAGGED,True,True
93,possession_denominated_rates,J,fam_j.py,93,possession_denominated_rates,fg3,0.00662,0.00498,False,4,run1 pooled,not confirmed,True,True
94,blowout_x_min_elasticity,J,fam_j.py,94,blowout_x_min_elasticity,ft,0.00024,0.1791,False,4,run1 pooled,not confirmed,True,True
95,team_3pvolume_spillover,J,fam_j.py,95,team_3pvolume_spillover,fg3,0.00814,0.00498,False,1,run1 pooled,not confirmed,True,True
96,opp_def_profile_drift,J,fam_j.py,96,opp_def_profile_drift,ft,0.00023,0.14925,False,4,run1 pooled,not confirmed,True,True
97,desperation_context,J,fam_j.py,97,desperation_context,ft,0.00036,0.28358,False,4,run1 pooled,not confirmed,True,True
98,season_series_meeting_no,J,fam_j.py,98,season_series_meeting_no,np2,0.00385,0.0398,False,4,run1 pooled,not confirmed,True,True
100,h2h_micro_update,J,fam_j.py,100,h2h_micro_update,np2,0.00037,0.08955,False,4,run1 pooled,not confirmed,True,True
