season,tau,pool_rows,pool_kept,pool_sum_p,pool_appeared_kept,pool_appeared_total
2023,0.54,11322,9948,8375.820073445433,7994,8287
2024,0.54,18736,15404,13191.62752443608,12562,13161
2022,0.55,4993,4993,3994.3999999999996,3799,3799
2023,0.55,11322,9942,8372.538459231315,7992,8287
2024,0.55,18736,15387,13182.364015717028,12559,13161
2022,0.56,4993,4993,3994.3999999999996,3799,3799
2023,0.56,11322,9939,8370.868691069509,7991,8287
2024,0.56,18736,15373,13174.595195531727,12557,13161
2022,0.57,4993,4993,3994.3999999999996,3799,3799
2023,0.57,11322,9933,8367.476301852663,7990,8287
2024,0.57,18736,15354,13163.868217659929,12553,13161
2022,0.58,4993,4993,3994.3999999999996,3799,3799
2023,0.58,11322,9925,8362.874879596597,7988,8287
2024,0.58,18736,15335,13152.923833313893,12548,13161
2022,0.59,4993,4993,3994.3999999999996,3799,3799
2023,0.59,11322,9921,8360.532175563354,7987,8287
2024,0.59,18736,15314,13140.640881187324,12542,13161
2022,0.6,4993,4993,3994.3999999999996,3799,3799
2023,0.6,11322,9912,8355.168974509083,7984,8287
2024,0.6,18736,15288,13125.145048556747,12532,13161
2022,0.61,4993,4993,3994.3999999999996,3799,3799
2023,0.61,11322,9901,8348.514354789406,7980,8287
2024,0.61,18736,15269,13113.646396051578,12524,13161
2022,0.62,4993,4993,3994.3999999999996,3799,3799
2023,0.62,11322,9890,8341.739827963782,7977,8287
2024,0.62,18736,15233,13091.50823724072,12513,13161
2022,0.63,4993,4993,3994.3999999999996,3799,3799
2023,0.63,11322,9874,8331.743254545489,7971,8287
2024,0.63,18736,15199,13070.250628008313,12501,13161
2022,0.64,4993,4993,3994.3999999999996,3799,3799
2023,0.64,11322,9861,8323.471046417097,7966,8287
2024,0.64,18736,15166,13049.301667436737,12487,13161
2022,0.65,4993,4993,3994.3999999999996,3799,3799
2023,0.65,11322,9840,8309.914992292484,7959,8287
2024,0.65,18736,15130,13026.06729185785,12471,13161
2022,0.66,4993,4993,3994.3999999999996,3799,3799
2023,0.66,11322,9828,8302.075250189926,7951,8287
2024,0.66,18736,15102,13007.747087171985,12456,13161
2022,0.67,4993,4993,3994.3999999999996,3799,3799
2023,0.67,11322,9818,8295.422683569908,7947,8287
2024,0.67,18736,15078,12991.798900896449,12448,13161
2022,0.68,4993,4993,3994.3999999999996,3799,3799
2023,0.68,11322,9807,8287.998999084451,7943,8287
2024,0.68,18736,15048,12971.523370475019,12431,13161
2022,0.69,4993,4993,3994.3999999999996,3799,3799
2023,0.69,11322,9788,8274.980044669335,7930,8287
2024,0.69,18736,15008,12944.123687272438,12408,13161
2022,0.7,4993,4993,3994.3999999999996,3799,3799
2023,0.7,11322,9763,8257.606883436789,7918,8287
2024,0.7,18736,14961,12911.453509214434,12385,13161
2022,0.71,4993,4993,3994.3999999999996,3799,3799
2023,0.71,11322,9752,8249.853971186945,7912,8287
2024,0.71,18736,14926,12886.771012229667,12366,13161
2022,0.72,4993,4993,3994.3999999999996,3799,3799
2023,0.72,11322,9729,8233.406128828148,7895,8287
2024,0.72,18736,14882,12855.28848900419,12336,13161
2022,0.73,4993,4993,3994.3999999999996,3799,3799
2023,0.73,11322,9709,8218.91115665662,7881,8287
2024,0.73,18736,14828,12816.142310728515,12302,13161
2022,0.74,4993,4993,3994.3999999999996,3799,3799
2023,0.74,11322,9681,8198.318311144621,7862,8287
2024,0.74,18736,14759,12765.426274661735,12259,13161
2022,0.75,4993,4993,3994.3999999999996,3799,3799
2023,0.75,11322,9637,8165.550511057166,7831,8287
2024,0.75,18736,14688,12712.511109088382,12204,13161
2022,0.76,4993,4993,3994.3999999999996,3799,3799
2023,0.76,11322,9595,8133.882980000426,7801,8287
2024,0.76,18736,14596,12643.054261778954,12139,13161
2022,0.77,4993,4993,3994.3999999999996,3799,3799
2023,0.77,11322,9548,8097.928905603589,7768,8287
2024,0.77,18736,14511,12578.00708244359,12079,13161
2022,0.78,4993,4993,3994.3999999999996,3799,3799
2023,0.78,11322,9503,8063.072196632319,7735,8287
2024,0.78,18736,14410,12499.764646843845,11999,13161
2022,0.79,4993,4993,3994.3999999999996,3799,3799
2023,0.79,11322,9457,8026.968061681599,7700,8287
2024,0.79,18736,14326,12433.827686796976,11932,13161
2022,0.8,4993,4993,3994.3999999999996,3799,3799
2023,0.8,11322,9416,7994.39087639326,7671,8287
2024,0.8,18736,14241,12366.268207961304,11864,13161
2022,0.81,4993,0,0.0,0,3799
2023,0.81,11322,3726,3442.1653457231514,3529,8287
2024,0.81,18736,7752,7174.538612598802,7396,13161
2022,0.82,4993,0,0.0,0,3799
2023,0.82,11322,3665,3392.4447094909965,3483,8287
2024,0.82,18736,7644,7086.492847414198,7306,13161
2022,0.83,4993,0,0.0,0,3799
2023,0.83,11322,3596,3335.5333997891225,3425,8287
2024,0.83,18736,7520,6984.187597956558,7201,13161
2022,0.84,4993,0,0.0,0,3799
2023,0.84,11322,3513,3266.244470076425,3361,8287
2024,0.84,18736,7349,6841.397597216416,7061,13161
2022,0.85,4993,0,0.0,0,3799
2023,0.85,11322,3442,3206.206074227076,3298,8287
2024,0.85,18736,7214,6727.3052067275075,6943,13161
2022,0.86,4993,0,0.0,0,3799
2023,0.86,11322,3333,3112.976011411826,3203,8287
2024,0.86,18736,7023,6563.951146894836,6776,13161
2022,0.87,4993,0,0.0,0,3799
2023,0.87,11322,3234,3027.2734168954594,3110,8287
2024,0.87,18736,6836,6402.1031104579815,6604,13161
2022,0.88,4993,0,0.0,0,3799
2023,0.88,11322,3122,2929.259005055147,3010,8287
2024,0.88,18736,6622,6214.79502423649,6405,13161
2022,0.89,4993,0,0.0,0,3799
2023,0.89,11322,3015,2834.49883656923,2912,8287
2024,0.89,18736,6351,5974.822832198639,6149,13161
2022,0.9,4993,0,0.0,0,3799
2023,0.9,11322,2896,2727.946710807981,2799,8287
2024,0.9,18736,6014,5673.114105594632,5824,13161
