catalog_number,channel,alpha,inner_mae
41,fg3,0.35,3.264874498545971
41,fg3,0.4,3.265089444989727
41,fg3,0.45,3.265291184322916
41,fg3,0.5,3.2654780930808376
44,fg3,0.05,3.2629131455281914
44,fg3,0.1,3.2624837783568665
44,fg3,0.15,3.262273992872999
44,fg3,0.2,3.262258736297922
44,fg3,0.25,3.262380958229715
44,fg3,0.3,3.2625868000394203
44,fg3,0.35,3.262844922150299
44,fg3,0.4,3.2631324253733447
44,fg3,0.45,3.263436649876782
44,fg3,0.5,3.263746212549766
44,paint,0.05,3.5889975931405793
44,paint,0.1,3.5886716288971012
44,paint,0.15,3.5883874261917534
44,paint,0.2,3.588194983745074
44,paint,0.25,3.5881024972207864
44,paint,0.3,3.5880924005710058
44,paint,0.35,3.588134860628678
44,paint,0.4,3.588204621136715
44,paint,0.45,3.5882947168674426
44,paint,0.5,3.588390061972822
44,np2,0.05,1.7586647679202596
44,np2,0.1,1.7587578378816542
44,np2,0.15,1.758901118047449
44,np2,0.2,1.7590424802581157
44,np2,0.25,1.759185577134101
44,np2,0.3,1.7593543157064992
44,np2,0.35,1.7595585697254015
44,np2,0.4,1.7597969434737164
44,np2,0.45,1.7600614673873098
44,np2,0.5,1.7603458242890149
45,fg3,0.05,3.2685061124065915
45,fg3,0.1,3.268362851318228
45,fg3,0.15,3.2671489991569587
45,fg3,0.2,3.2664644566995675
45,fg3,0.25,3.2662737639311867
45,fg3,0.3,3.266304003967496
45,fg3,0.35,3.266453859892757
45,fg3,0.4,3.2666423909890967
45,fg3,0.45,3.266815994671356
45,fg3,0.5,3.2669637394123363
45,paint,0.05,3.588178513410474
45,paint,0.1,3.5884171144152894
45,paint,0.15,3.5881161123951557
45,paint,0.2,3.5876606365233594
45,paint,0.25,3.587248805994682
45,paint,0.3,3.5869409166503003
45,paint,0.35,3.5867228792029557
45,paint,0.4,3.5865925538650223
45,paint,0.45,3.586502911829141
45,paint,0.5,3.5864293978477515
45,ft,0.05,2.077149175958191
45,ft,0.1,2.07879937539221
45,ft,0.15,2.0799288595203556
45,ft,0.2,2.0804213819788973
45,ft,0.25,2.0806057097495536
45,ft,0.3,2.0806555721924607
45,ft,0.35,2.080644689464385
45,ft,0.4,2.080608661404412
45,ft,0.45,2.0805636097275717
45,ft,0.5,2.080516560345812
45,np2,0.05,1.7664310465558792
45,np2,0.1,1.7667449461307483
45,np2,0.15,1.7668519653107342
45,np2,0.2,1.7668607450573102
45,np2,0.25,1.7668376554997378
45,np2,0.3,1.766805848992955
45,np2,0.35,1.7667756685799187
45,np2,0.4,1.7667486952006357
45,np2,0.45,1.7667244506046431
45,np2,0.5,1.7667031012873775
46,fg3,0.05,3.264416876926012
46,fg3,0.1,3.2647896794027234
46,fg3,0.15,3.265061814097997
46,fg3,0.2,3.265257167252148
46,fg3,0.25,3.2653736415921717
46,fg3,0.3,3.2654532186977296
46,fg3,0.35,3.2655083020771194
46,fg3,0.4,3.2655506150368026
46,fg3,0.45,3.265585426171891
46,fg3,0.5,3.2656145777637398
46,paint,0.05,3.5842216455535394
46,paint,0.1,3.5838533687990473
46,paint,0.15,3.5836512222510906
46,paint,0.2,3.5836198915090236
46,paint,0.25,3.5836979021598245
46,paint,0.3,3.5838663372300914
46,paint,0.35,3.5840658429097374
46,paint,0.4,3.584288805321295
46,paint,0.45,3.584500243169862
46,paint,0.5,3.584695734293591
46,ft,0.05,2.078258411325804
46,ft,0.1,2.078136715659593
46,ft,0.15,2.078054032653227
46,ft,0.2,2.078044607992135
46,ft,0.25,2.078090611342707
46,ft,0.3,2.078171449355724
46,ft,0.35,2.0783114588969482
46,ft,0.4,2.0784847009244456
46,ft,0.45,2.0786683006288107
46,ft,0.5,2.0788607154783727
46,np2,0.05,1.767152575266146
46,np2,0.1,1.7669263973005354
46,np2,0.15,1.7667838104696363
46,np2,0.2,1.7667052371847671
46,np2,0.25,1.766663309963332
46,np2,0.3,1.7666406858765267
46,np2,0.35,1.7666232702820714
46,np2,0.4,1.766609242136014
46,np2,0.45,1.7665992884959563
46,np2,0.5,1.7665941726443422
52,fg3,0.05,3.265367561031324
52,fg3,0.1,3.265507410507528
52,fg3,0.15,3.2656567682614948
52,fg3,0.2,3.265801154579394
52,fg3,0.25,3.2659078563432273
52,fg3,0.3,3.26598310370265
52,fg3,0.35,3.2660268842927764
52,fg3,0.4,3.2660638684140864
52,fg3,0.45,3.2661124191733144
52,fg3,0.5,3.266184256874189
52,paint,0.05,3.586154449609307
52,paint,0.1,3.586120817052396
52,paint,0.15,3.586098309436142
52,paint,0.2,3.5860735908822714
52,paint,0.25,3.586049228483138
52,paint,0.3,3.586031119257885
52,paint,0.35,3.5860216046907447
52,paint,0.4,3.58601735067635
52,paint,0.45,3.5860162983979085
52,paint,0.5,3.5860178349931164
52,ft,0.05,2.0799531366448107
52,ft,0.1,2.079896007835004
52,ft,0.15,2.0798744146141854
52,ft,0.2,2.079836322008102
52,ft,0.25,2.079811201067717
52,ft,0.3,2.079822586155897
52,ft,0.35,2.0798441633194025
52,ft,0.4,2.0798718582546614
52,ft,0.45,2.079913693094112
52,ft,0.5,2.079957311620371
52,np2,0.05,1.7666227600022726
52,np2,0.1,1.766719321102496
52,np2,0.15,1.766831982869542
52,np2,0.2,1.766932269255645
52,np2,0.25,1.7670074004347376
52,np2,0.3,1.767057224543101
52,np2,0.35,1.767089262393032
52,np2,0.4,1.7671098617170626
52,np2,0.45,1.7671249363800188
52,np2,0.5,1.7671389062162308
53,paint,0.05,3.5879103461616673
53,paint,0.1,3.5878929205679397
53,paint,0.15,3.587818399994429
53,paint,0.2,3.5876913923244493
53,paint,0.25,3.58752076576722
53,paint,0.3,3.5873331368262718
53,paint,0.35,3.5871534282974697
53,paint,0.4,3.586989356948084
53,paint,0.45,3.5868597849930084
53,paint,0.5,3.5867542062755393
54,fg3,0.05,3.266921322612759
54,fg3,0.1,3.266534697653088
54,fg3,0.15,3.266206341204885
54,fg3,0.2,3.265955198628569
54,fg3,0.25,3.265765853347997
54,fg3,0.3,3.2656279531585732
54,fg3,0.35,3.265536881071354
54,fg3,0.4,3.2654903826826285
54,fg3,0.45,3.265476699822065
54,fg3,0.5,3.265484806975532
54,paint,0.05,3.5830477495149666
54,paint,0.1,3.583473373925082
54,paint,0.15,3.583791722727057
54,paint,0.2,3.584033798517213
54,paint,0.25,3.5842145855029917
54,paint,0.3,3.584357044206058
54,paint,0.35,3.5844695188725004
54,paint,0.4,3.584556672190331
54,paint,0.45,3.5846282983845774
54,paint,0.5,3.5846932164568837
54,ft,0.05,2.0770529738123766
54,ft,0.1,2.077247781213971
54,ft,0.15,2.07751263387253
54,ft,0.2,2.077835813327186
54,ft,0.25,2.0781679094922105
54,ft,0.3,2.0784767838395077
54,ft,0.35,2.0787531252951807
54,ft,0.4,2.078991308455174
54,ft,0.45,2.079189419286532
54,ft,0.5,2.0793532113434154
54,np2,0.05,1.7683093381375627
54,np2,0.1,1.7682854972933602
54,np2,0.15,1.768224320177323
54,np2,0.2,1.7681428805767334
54,np2,0.25,1.768060640522151
54,np2,0.3,1.7679844129501194
54,np2,0.35,1.7679165433595898
54,np2,0.4,1.767858098202268
54,np2,0.45,1.7678083105520648
54,np2,0.5,1.7677658575984816
57,fg3,0.05,3.2671620958640286
