catalog_number,name,channel,alpha_chosen,delta_mae_min15,p_value_min15,sign_min15,agrees_with_primary
19,career_h2h_franchise,ft,,-0.00063,0.1393,-,True
19,career_h2h_franchise,np2,,-0.00206,0.0199,-,True
21,opp_toforce_x_toprone,fg3,0.05,0.00028,0.59204,+,True
21,opp_toforce_x_toprone,paint,0.05,0.00172,0.90547,+,True
21,opp_toforce_x_toprone,ft,0.05,0.00031,0.73632,+,False
21,opp_toforce_x_toprone,np2,0.05,0.00091,0.94527,+,True
22,opp_dreb_x_secondchance,paint,0.15,-0.00135,0.0398,-,True
22,opp_dreb_x_secondchance,np2,0.25,0.00096,0.9602,+,True
23,opp_rotation_x_minshare,fg3,0.05,-0.00013,0.34328,-,False
23,opp_rotation_x_minshare,paint,0.5,9e-05,0.46269,+,False
23,opp_rotation_x_minshare,ft,0.5,-0.00032,0.16915,-,True
23,opp_rotation_x_minshare,np2,0.15,0.00096,0.9005,+,True
24,opp_3pvar_x_shooter,fg3,0.5,0.00108,0.83582,+,True
25,opp_transdef_x_transshare,fg3,0.25,1e-05,0.46766,+,True
25,opp_transdef_x_transshare,paint,0.5,-0.00011,0.29353,-,False
25,opp_transdef_x_transshare,ft,0.2,-0.00033,0.10448,-,True
25,opp_transdef_x_transshare,np2,0.05,-9e-05,0.29353,-,True
26,zone_displacement_vs_opp,fg3,,-0.00251,0.02488,-,True
26,zone_displacement_vs_opp,paint,,-0.00125,0.06965,-,True
26,zone_displacement_vs_opp,np2,,-0.00333,0.00995,-,True
36,fast_slow_ewma_gap,fg3,,-0.00334,0.00995,-,False
36,fast_slow_ewma_gap,paint,,-0.00031,0.18905,-,True
36,fast_slow_ewma_gap,ft,,-0.00019,0.25871,-,True
36,fast_slow_ewma_gap,np2,,0.0,0.46766,+,True
37,rate_volatility,fg3,,-0.0023,0.0199,-,True
37,rate_volatility,paint,,0.00197,0.9403,+,True
37,rate_volatility,ft,,0.00019,0.70149,+,True
37,rate_volatility,np2,,0.002,0.93532,+,False
38,hot_hand_3p_dev,fg3,,-0.00156,0.02488,-,True
39,role_expansion,fg3,,7e-05,0.53234,+,True
39,role_expansion,paint,,0.00014,0.59701,+,False
39,role_expansion,ft,,4e-05,0.55721,+,True
39,role_expansion,np2,,1e-05,0.50746,+,False
40,usage_eff_divergence,fg3,,-0.00064,0.1791,-,True
40,usage_eff_divergence,paint,,-0.00053,0.14925,-,True
40,usage_eff_divergence,ft,,0.00026,0.73134,+,True
40,usage_eff_divergence,np2,,-0.00028,0.1194,-,False
41,ftpct_leading_indicator,fg3,0.05,-0.00184,0.04478,-,True
42,rim_rate_trend,paint,,0.00017,0.50249,+,True
43,shot_distance_drift,fg3,,0.00161,0.92537,+,True
43,shot_distance_drift,paint,,-0.00046,0.14428,-,True
43,shot_distance_drift,ft,,-0.00069,0.09453,-,True
43,shot_distance_drift,np2,,0.00017,0.74129,+,False
44,self_creation_index,fg3,0.2,-0.00766,0.00995,-,True
44,self_creation_index,paint,0.3,0.00249,0.9204,+,True
44,self_creation_index,np2,0.05,-0.0075,0.00498,-,True
45,garbage_cleaned_rates,fg3,0.25,-0.00332,0.00498,-,True
45,garbage_cleaned_rates,paint,0.5,0.00034,0.70647,+,True
45,garbage_cleaned_rates,ft,0.05,-0.00143,0.00995,-,True
45,garbage_cleaned_rates,np2,0.05,0.00101,0.80597,+,False
46,early_foul_tendency,fg3,0.05,-0.00433,0.01493,-,False
46,early_foul_tendency,paint,0.2,0.0004,0.68159,+,False
46,early_foul_tendency,ft,0.2,0.00064,0.87065,+,False
46,early_foul_tendency,np2,0.5,0.00017,0.72139,+,False
47,post_absence_ramp,fg3,,0.00055,0.71642,+,True
47,post_absence_ramp,paint,,0.00083,0.85075,+,False
47,post_absence_ramp,ft,,0.00047,0.8209,+,False
47,post_absence_ramp,np2,,-0.00182,0.0199,-,True
48,structural_break_score,fg3,,-0.00361,0.00995,-,True
48,structural_break_score,paint,,-0.00224,0.02488,-,True
48,structural_break_score,ft,,0.00048,0.81095,+,True
48,structural_break_score,np2,,-9e-05,0.35323,-,True
49,star_onoff_split,fg3,,0.00165,0.8806,+,False
49,star_onoff_split,paint,,0.00331,0.93035,+,True
49,star_onoff_split,ft,,-0.00043,0.11443,-,True
49,star_onoff_split,np2,,0.00328,0.99502,+,True
50,usage_absorption_elasticity,fg3,,-0.00156,0.03483,-,False
50,usage_absorption_elasticity,paint,,-5e-05,0.33831,-,False
50,usage_absorption_elasticity,ft,,0.00104,0.90547,+,True
50,usage_absorption_elasticity,np2,,0.00042,0.80597,+,False
51,lineup_familiarity,fg3,,0.00138,0.77114,+,True
51,lineup_familiarity,paint,,0.00126,0.86567,+,True
51,lineup_familiarity,ft,,0.00103,0.87065,+,True
51,lineup_familiarity,np2,,-0.00054,0.24876,-,True
52,onfloor_pace_diff,fg3,0.05,-0.00135,0.16915,-,True
52,onfloor_pace_diff,paint,0.45,-0.0007,0.13433,-,True
52,onfloor_pace_diff,ft,0.25,-0.00253,0.00498,-,False
52,onfloor_pace_diff,np2,0.05,-0.00154,0.10448,-,True
53,gravity_x_paint,paint,0.5,-0.00102,0.0995,-,False
54,starter_unit_share,fg3,0.45,-0.00801,0.00498,-,True
54,starter_unit_share,paint,0.05,0.00335,0.97512,+,True
54,starter_unit_share,ft,0.05,0.00341,0.98507,+,True
54,starter_unit_share,np2,0.5,0.00044,0.68657,+,False
55,closing_lineup_membership,fg3,,-0.00125,0.08955,-,False
55,closing_lineup_membership,paint,,0.00157,0.9204,+,False
55,closing_lineup_membership,ft,,-0.00024,0.199,-,True
55,closing_lineup_membership,np2,,-0.00248,0.01493,-,True
56,best_pair_lift,fg3,,-0.00063,0.38806,-,True
56,best_pair_lift,paint,,0.00171,0.85075,+,True
56,best_pair_lift,ft,,-0.00021,0.31841,-,True
56,best_pair_lift,np2,,0.00451,0.99005,+,True
57,competition_quality,fg3,0.45,-0.00808,0.00498,-,True
57,competition_quality,paint,0.05,0.00494,0.98507,+,True
57,competition_quality,ft,0.05,0.0035,0.99005,+,True
57,competition_quality,np2,0.45,0.00247,0.91045,+,True
58,stint_pm_stability,fg3,,-0.00174,0.06468,-,True
58,stint_pm_stability,paint,,0.00012,0.57214,+,True
58,stint_pm_stability,ft,,0.00063,0.77114,+,False
58,stint_pm_stability,np2,,8e-05,0.58706,+,False
59,system_dependence,fg3,0.05,0.00271,0.9204,+,True
60,second_unit_anchor,fg3,,-0.0045,0.00498,-,False
60,second_unit_anchor,paint,,8e-05,0.50249,+,False
60,second_unit_anchor,ft,,-9e-05,0.31343,-,True
60,second_unit_anchor,np2,,-0.00307,0.00498,-,True
61,shot_diet_xpts,fg3,0.05,-0.01023,0.00498,-,True
61,shot_diet_xpts,paint,0.3,-4e-05,0.41791,-,True
61,shot_diet_xpts,np2,0.2,-0.00067,0.22388,-,False
62,zone_mix_drift,fg3,,-0.00792,0.00498,-,True
62,zone_mix_drift,paint,,0.00079,0.78109,+,False
62,zone_mix_drift,np2,,-0.00199,0.00498,-,True
63,rim_vs_floater_trend,paint,,3e-05,0.40299,+,True
64,corner3_mix,fg3,0.05,0.0062,0.92537,+,True
65,early_clock_share,fg3,0.05,-0.01497,0.00498,-,True
65,early_clock_share,paint,0.1,-0.00657,0.00498,-,True
65,early_clock_share,ft,0.15,-0.00013,0.34328,-,True
65,early_clock_share,np2,0.1,0.00087,0.91045,+,True
66,late_clock_share,fg3,0.5,4e-05,0.37811,+,True
66,late_clock_share,paint,0.3,-0.00061,0.12935,-,True
66,late_clock_share,ft,0.05,-0.00029,0.18408,-,True
66,late_clock_share,np2,0.5,0.00058,0.85075,+,True
67,3ppct_by_rest,fg3,,-0.00274,0.02488,-,True
68,court_side_asymmetry,fg3,,-0.00031,0.23881,-,True
68,court_side_asymmetry,paint,,0.00066,0.77612,+,True
68,court_side_asymmetry,ft,,0.00295,0.99502,+,True
68,court_side_asymmetry,np2,,0.00063,0.9005,+,True
69,midrange_reliance,np2,0.15,-0.01122,0.00498,-,True
70,zone_conversion_vs_league,fg3,,-0.01811,0.00498,-,True
70,zone_conversion_vs_league,paint,,-0.00718,0.00498,-,True
70,zone_conversion_vs_league,np2,,0.00011,0.60199,+,False
71,clutch_ft_split,ft,,-0.00056,0.14925,-,True
73,ftr_x_crew_fta,ft,0.05,-0.00034,0.0995,-,True
74,star_whistle_proxy,ft,0.05,-0.00151,0.01493,-,True
75,foulprone_x_crewpf,fg3,0.45,-0.00013,0.36816,-,True
75,foulprone_x_crewpf,paint,0.3,0.00072,0.89055,+,True
75,foulprone_x_crewpf,ft,0.5,6e-05,0.60697,+,False
75,foulprone_x_crewpf,np2,0.5,4e-05,0.55721,+,False
76,crewpace_x_transition,fg3,0.05,-0.00038,0.1194,-,False
76,crewpace_x_transition,paint,0.3,9e-05,0.58706,+,False
76,crewpace_x_transition,ft,0.05,8e-05,0.66169,+,False
76,crewpace_x_transition,np2,0.3,-7e-05,0.28856,-,False
77,tech_x_techcrew,fg3,,-4e-05,0.38806,-,True
77,tech_x_techcrew,paint,,0.00011,0.62687,+,False
77,tech_x_techcrew,ft,,1e-05,0.55721,+,True
77,tech_x_techcrew,np2,,0.00083,0.9801,+,True
78,personal_ref_history,fg3,,0.00074,0.74129,+,True
78,personal_ref_history,paint,,0.0001,0.53234,+,True
78,personal_ref_history,ft,,-0.00021,0.30348,-,True
78,personal_ref_history,np2,,-9e-05,0.37313,-,True
79,rolling_7day_minutes,fg3,,-0.0071,0.00498,-,False
79,rolling_7day_minutes,paint,,-0.00149,0.14925,-,False
79,rolling_7day_minutes,ft,,0.00201,0.8408,+,True
79,rolling_7day_minutes,np2,,0.00044,0.59701,+,False
81,3in5_x_benchdepth,fg3,,-0.00041,0.1791,-,False
81,3in5_x_benchdepth,paint,,0.00055,0.67662,+,False
81,3in5_x_benchdepth,ft,,-0.00063,0.12438,-,False
81,3in5_x_benchdepth,np2,,0.00256,1.0,+,True
82,season_phase_linear,fg3,,0.00636,0.98507,+,True
82,season_phase_linear,paint,,-0.00051,0.26866,-,True
82,season_phase_linear,ft,,-0.00014,0.40796,-,True
82,season_phase_linear,np2,,-0.00153,0.18408,-,True
83,post_break_flag,fg3,,-0.0001,0.32836,-,False
83,post_break_flag,paint,,-0.00044,0.199,-,True
83,post_break_flag,ft,,-0.00102,0.0796,-,True
83,post_break_flag,np2,,8e-05,0.52239,+,False
84,rest_differential,fg3,,0.00102,0.87562,+,True
84,rest_differential,paint,,0.0003,0.70149,+,False
84,rest_differential,ft,,-0.0,0.44776,-,False
84,rest_differential,np2,,-0.00028,0.15423,-,True
85,games_in_14_days,fg3,,0.00455,0.8607,+,True
85,games_in_14_days,paint,,-9e-05,0.37811,-,False
85,games_in_14_days,ft,,0.00219,0.8209,+,True
85,games_in_14_days,np2,,-0.00256,0.16418,-,True
87,prev_season_anchor,fg3,,-0.05216,0.00498,-,True
87,prev_season_anchor,paint,,-0.02334,0.00498,-,True
87,prev_season_anchor,ft,,-0.01893,0.00498,-,True
87,prev_season_anchor,np2,,-0.02708,0.00498,-,True
88,career_trajectory_slope,fg3,,0.00023,0.47761,+,False
88,career_trajectory_slope,paint,,-0.00079,0.16915,-,True
88,career_trajectory_slope,ft,,0.00063,0.70149,+,False
88,career_trajectory_slope,np2,,-0.00096,0.24378,-,True
89,team_change_reset,fg3,,0.00138,0.79602,+,False
89,team_change_reset,paint,,0.00017,0.49751,+,True
89,team_change_reset,ft,,-0.00241,0.0199,-,True
89,team_change_reset,np2,,0.00139,0.90547,+,True
92,two_season_blend,fg3,0.9,-0.0486,0.00498,-,True
92,two_season_blend,paint,0.9,-0.02185,0.00498,-,True
92,two_season_blend,ft,0.8,-0.01772,0.00498,-,True
92,two_season_blend,np2,0.9,-0.0267,0.00498,-,True
93,possession_denominated_rates,fg3,0.1,-0.0115,0.00498,-,True
93,possession_denominated_rates,paint,0.05,-3e-05,0.39303,-,False
93,possession_denominated_rates,ft,0.05,0.00098,0.92537,+,False
93,possession_denominated_rates,np2,0.5,-1e-05,0.46269,-,False
94,blowout_x_min_elasticity,fg3,,-4e-05,0.41294,-,False
94,blowout_x_min_elasticity,paint,,0.00048,0.70149,+,True
94,blowout_x_min_elasticity,ft,,6e-05,0.57214,+,False
94,blowout_x_min_elasticity,np2,,-0.00014,0.30846,-,False
95,team_3pvolume_spillover,fg3,0.5,-0.00747,0.00498,-,True
96,opp_def_profile_drift,fg3,,0.00024,0.66169,+,True
96,opp_def_profile_drift,paint,,0.00029,0.63682,+,False
96,opp_def_profile_drift,ft,,-0.00053,0.08955,-,True
96,opp_def_profile_drift,np2,,-1e-05,0.47264,-,False
97,desperation_context,fg3,,0.003,0.95025,+,True
97,desperation_context,paint,,0.00181,0.89552,+,True
97,desperation_context,ft,,-0.00035,0.18408,-,True
97,desperation_context,np2,,0.00026,0.64179,+,False
98,season_series_meeting_no,fg3,,0.00157,0.71642,+,True
98,season_series_meeting_no,paint,,-0.00216,0.04478,-,True
98,season_series_meeting_no,ft,,0.00015,0.54726,+,True
98,season_series_meeting_no,np2,,-0.00258,0.08955,-,True
100,h2h_micro_update,fg3,,3e-05,0.43781,+,False
100,h2h_micro_update,paint,,0.00057,0.70647,+,False
100,h2h_micro_update,ft,,0.00027,0.801,+,True
100,h2h_micro_update,np2,,-0.00092,0.02488,-,True
