channel,alpha,w,inner_mae,fold_maes
paint,0.45,0.8,3.659414,3.570737;3.695336;3.712171
paint,0.45,0.9,3.661121,3.575748;3.695410;3.712205
paint,0.45,0.92,3.661574,3.576767;3.695586;3.712370
paint,0.45,0.94,3.662053,3.577796;3.695787;3.712576
paint,0.45,0.95,3.662293,3.578300;3.695892;3.712687
paint,0.45,0.96,3.662532,3.578796;3.695999;3.712802
paint,0.45,0.98,3.66306,3.579801;3.696286;3.713092
paint,0.45,0.99,3.663353,3.580312;3.696497;3.713250
paint,0.45,1.0,3.663653,3.580816;3.696715;3.713427
paint,0.5,0.1,3.695265,3.585321;3.751336;3.749138
paint,0.5,0.2,3.68781,3.580128;3.740987;3.742317
paint,0.5,0.3,3.681169,3.576366;3.731370;3.735770
paint,0.5,0.4,3.675523,3.574250;3.722592;3.729729
paint,0.5,0.5,3.671361,3.573589;3.715416;3.725076
paint,0.5,0.6,3.668584,3.574047;3.710236;3.721470
paint,0.5,0.7,3.667918,3.576534;3.707065;3.720156
paint,0.5,0.8,3.669346,3.581356;3.706449;3.720232
paint,0.5,0.9,3.671999,3.587331;3.707538;3.721129
paint,0.5,0.92,3.672578,3.588497;3.707860;3.721378
paint,0.5,0.94,3.673222,3.589653;3.708272;3.721741
paint,0.5,0.95,3.673557,3.590234;3.708492;3.721945
paint,0.5,0.96,3.673901,3.590811;3.708739;3.722154
paint,0.5,0.98,3.674587,3.591950;3.709242;3.722570
paint,0.5,0.99,3.674939,3.592508;3.709522;3.722788
paint,0.5,1.0,3.675291,3.593063;3.709807;3.723003
ft,0.05,0.1,2.085207,2.093216;2.068620;2.093787
ft,0.05,0.2,2.082552,2.088491;2.064195;2.094971
ft,0.05,0.3,2.079824,2.083655;2.059330;2.096486
ft,0.05,0.4,2.077519,2.079182;2.055447;2.097927
ft,0.05,0.5,2.075898,2.075826;2.052886;2.098983
ft,0.05,0.6,2.074958,2.073360;2.051725;2.099788
ft,0.05,0.7,2.074413,2.071583;2.051344;2.100311
ft,0.05,0.8,2.07417,2.070369;2.051326;2.100816
ft,0.05,0.9,2.074102,2.069592;2.051661;2.101052
ft,0.05,0.92,2.074112,2.069490;2.051748;2.101097
ft,0.05,0.94,2.074126,2.069408;2.051837;2.101134
ft,0.05,0.95,2.074134,2.069372;2.051882;2.101150
ft,0.05,0.96,2.074143,2.069339;2.051926;2.101164
ft,0.05,0.98,2.074162,2.069284;2.052014;2.101187
ft,0.05,0.99,2.074172,2.069258;2.052059;2.101198
ft,0.05,1.0,2.074183,2.069235;2.052105;2.101210
ft,0.1,0.1,2.087032,2.093390;2.071155;2.096551
ft,0.1,0.2,2.083851,2.088157;2.066121;2.097276
ft,0.1,0.3,2.081013,2.083195;2.061279;2.098564
ft,0.1,0.4,2.078832,2.078962;2.057508;2.100026
ft,0.1,0.5,2.077442,2.075620;2.055385;2.101322
ft,0.1,0.6,2.07686,2.073412;2.054819;2.102348
ft,0.1,0.7,2.07671,2.071902;2.054994;2.103234
ft,0.1,0.8,2.076904,2.071017;2.055753;2.103941
ft,0.1,0.9,2.07732,2.070639;2.056793;2.104530
ft,0.1,0.92,2.077419,2.070599;2.057013;2.104646
ft,0.1,0.94,2.077517,2.070567;2.057231;2.104752
ft,0.1,0.95,2.077567,2.070554;2.057345;2.104801
ft,0.1,0.96,2.077616,2.070543;2.057458;2.104847
ft,0.1,0.98,2.077725,2.070524;2.057695;2.104956
ft,0.1,0.99,2.077781,2.070517;2.057812;2.105013
ft,0.1,1.0,2.077837,2.070514;2.057929;2.105069
ft,0.15,0.1,2.089711,2.094643;2.073277;2.101212
ft,0.15,0.2,2.086007,2.088818;2.067859;2.101344
ft,0.15,0.3,2.082907,2.083580;2.062841;2.102299
ft,0.15,0.4,2.080849,2.079441;2.059247;2.103858
ft,0.15,0.5,2.079805,2.076206;2.057732;2.105476
ft,0.15,0.6,2.079649,2.074221;2.057697;2.107028
ft,0.15,0.7,2.080202,2.073224;2.058762;2.108619
ft,0.15,0.8,2.081243,2.072952;2.060596;2.110180
ft,0.15,0.9,2.082375,2.073161;2.062633;2.111331
ft,0.15,0.92,2.0826,2.073238;2.063028;2.111535
ft,0.15,0.94,2.082826,2.073330;2.063415;2.111733
ft,0.15,0.95,2.082944,2.073378;2.063607;2.111846
ft,0.15,0.96,2.083061,2.073427;2.063800;2.111955
ft,0.15,0.98,2.083291,2.073526;2.064183;2.112163
ft,0.15,0.99,2.083408,2.073576;2.064374;2.112275
ft,0.15,1.0,2.083527,2.073629;2.064564;2.112388
ft,0.2,0.1,2.092308,2.096026;2.074947;2.105952
ft,0.2,0.2,2.088157,2.089686;2.069216;2.105570
ft,0.2,0.3,2.084884,2.084240;2.064108;2.106304
ft,0.2,0.4,2.082938,2.080022;2.060772;2.108021
ft,0.2,0.5,2.082379,2.077174;2.059766;2.110199
ft,0.2,0.6,2.082898,2.075644;2.060406;2.112644
ft,0.2,0.7,2.08433,2.075216;2.062465;2.115308
ft,0.2,0.8,2.086186,2.075640;2.065199;2.117719
ft,0.2,0.9,2.088065,2.076402;2.068124;2.119667
ft,0.2,0.92,2.088442,2.076584;2.068701;2.120041
ft,0.2,0.94,2.088816,2.076780;2.069267;2.120402
ft,0.2,0.95,2.089005,2.076881;2.069546;2.120588
ft,0.2,0.96,2.089195,2.076989;2.069821;2.120773
ft,0.2,0.98,2.089571,2.077215;2.070365;2.121133
ft,0.2,0.99,2.08977,2.077343;2.070652;2.121313
ft,0.2,1.0,2.089968,2.077472;2.070937;2.121495
ft,0.25,0.1,2.094552,2.097372;2.076199;2.110086
ft,0.25,0.2,2.090083,2.090561;2.070245;2.109443
ft,0.25,0.3,2.08671,2.084881;2.065114;2.110135
ft,0.25,0.4,2.084942,2.080798;2.061929;2.112100
ft,0.25,0.5,2.084852,2.078314;2.061349;2.114893
ft,0.25,0.6,2.086122,2.077236;2.062890;2.118239
ft,0.25,0.7,2.088353,2.077456;2.065769;2.121835
ft,0.25,0.8,2.090978,2.078372;2.069412;2.125150
ft,0.25,0.9,2.093661,2.079831;2.073136;2.128016
ft,0.25,0.92,2.094222,2.080190;2.073898;2.128578
ft,0.25,0.94,2.094794,2.080566;2.074682;2.129134
ft,0.25,0.95,2.09508,2.080757;2.075079;2.129403
ft,0.25,0.96,2.09537,2.080950;2.075483;2.129676
ft,0.25,0.98,2.095957,2.081342;2.076294;2.130234
ft,0.25,0.99,2.096249,2.081542;2.076693;2.130513
ft,0.25,1.0,2.096538,2.081741;2.077087;2.130785
ft,0.3,0.1,2.096438,2.098512;2.077151;2.113650
ft,0.3,0.2,2.091736,2.091309;2.071052;2.112848
