game_date,home,away,game_id,tip_utc,decision_time_label,cutoff_utc,tip_moved,completed,n_base_records,n_arm_records,arm_models,n_duplicate_records,duplicate_record_idxs,classification,reason
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-24h,2026-08-02T23:04:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-03 at T-24h
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-8h,2026-08-03T15:04:00+00:00,False,True,1,0,,0,,forecast_logged,
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-90m,2026-08-03T21:34:00+00:00,False,True,2,1,ridge_score_level_w2c1_v1,1,16,forecast_logged,"[+1 duplicate record(s), excluded]"
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-30m,2026-08-03T22:34:00+00:00,False,True,1,0,,0,,late_record,created 2026-08-03T22:45:08.958486+00:00 after cutoff
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-24h,2026-08-02T23:14:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-03 at T-24h
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-8h,2026-08-03T15:14:00+00:00,False,True,1,0,,0,,forecast_logged,
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-90m,2026-08-03T21:44:00+00:00,False,True,2,1,ridge_score_level_w2c1_v1,1,17,forecast_logged,"[+1 duplicate record(s), excluded]"
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-30m,2026-08-03T22:44:00+00:00,False,True,1,0,,0,,late_record,created 2026-08-03T22:45:08.976775+00:00 after cutoff
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-24h,2026-08-03T01:08:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-03 at T-24h
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-8h,2026-08-03T17:08:00+00:00,False,True,1,0,,0,,forecast_logged,
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-90m,2026-08-03T23:38:00+00:00,False,True,3,1,ridge_score_level_w2c1_v1,2,"18,21",forecast_logged,"[+2 duplicate record(s), excluded]"
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-30m,2026-08-04T00:38:00+00:00,False,True,0,0,,0,,missing_data_unavailable,job served 2 other game(s) on 2026-08-03 at T-30m
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:04:00+00:00,T-24h,2026-08-04T02:04:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-04 at T-24h
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:04:00+00:00,T-8h,2026-08-04T18:04:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:04:00+00:00,T-90m,2026-08-05T00:34:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:04:00+00:00,T-30m,2026-08-05T01:34:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-05,WAS,DAL,1022600228,2026-08-05T23:33:00+00:00,T-24h,2026-08-04T23:33:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-05 at T-24h
2026-08-05,WAS,DAL,1022600228,2026-08-05T23:33:00+00:00,T-8h,2026-08-05T15:33:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-05,WAS,DAL,1022600228,2026-08-05T23:33:00+00:00,T-90m,2026-08-05T22:03:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-05,WAS,DAL,1022600228,2026-08-05T23:33:00+00:00,T-30m,2026-08-05T23:03:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-05,NYL,SEA,1022600227,2026-08-05T23:08:00+00:00,T-24h,2026-08-04T23:08:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-05 at T-24h
2026-08-05,NYL,SEA,1022600227,2026-08-05T23:08:00+00:00,T-8h,2026-08-05T15:08:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-05,NYL,SEA,1022600227,2026-08-05T23:08:00+00:00,T-90m,2026-08-05T21:38:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-05,NYL,SEA,1022600227,2026-08-05T23:08:00+00:00,T-30m,2026-08-05T22:38:00+00:00,False,True,1,0,,0,,late_record,created 2026-08-05T22:45:07.299457+00:00 after cutoff
2026-08-05,ATL,PHX,1022600226,2026-08-05T23:03:00+00:00,T-24h,2026-08-04T23:03:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-05 at T-24h
2026-08-05,ATL,PHX,1022600226,2026-08-05T23:03:00+00:00,T-8h,2026-08-05T15:03:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
2026-08-05,ATL,PHX,1022600226,2026-08-05T23:03:00+00:00,T-90m,2026-08-05T21:33:00+00:00,False,True,1,1,ridge_score_level_w2c1_v1,0,,forecast_logged,
