protocol,axis,own_trait,channel,n_train,n_val,degenerate,note,nan_share_feature,nan_share_moderator,corr_fm,mae_noint_2024,mae_int_2024,delta_mae,improvement,beta_interaction,fold_deltas,fold_signs,p_value,null_q50,null_q95,q_value,bh_pass,survives
player_vs_archetype_v1,rot_height,transition_share,fg3,8687,3261,False,,0.0006,0.0,-0.0183,3.35327,3.35377,0.00049,-0.00049,0.0223,-0.00004;+0.00001;-0.00017,-+-,0.55224,-0.000282,0.001448,0.9950199999999999,False,False
player_vs_archetype_v1,rim_protect,fg3a_rate,fg3,8687,3261,False,,0.0,0.0,0.0031,3.31165,3.31224,0.00059,-0.00059,-0.0474,+0.00176;-0.00270;+0.00000,+-+,0.81592,-3.2e-05,0.001078,0.9950199999999999,False,False
player_vs_archetype_v1,opp_3pa,transition_share,paint,8687,3261,False,,0.0,0.0,0.0381,3.48021,3.48102,0.00082,-0.00082,-0.03988,-0.00102;+0.00005;+0.00003,-++,0.79104,-0.000106,0.000797,0.9950199999999999,False,False
player_vs_archetype_v1,pace,transition_share,paint,8687,3261,False,,0.0,0.0,-0.0039,3.47361,3.47449,0.00088,-0.00088,-0.04125,-0.00490;+0.00092;+0.00018,-++,0.96517,0.000122,0.001385,0.9950199999999999,False,False
player_vs_archetype_v1,pressure,height_inches,paint,8687,3261,False,,0.0,0.0,-0.0032,3.48208,3.48317,0.00109,-0.00109,0.06929,+0.01052;+0.00082;+0.00060,+++,0.73134,-0.000183,0.001381,0.9950199999999999,False,False
player_vs_archetype_v1,pace,height_inches,paint,8687,3261,False,,0.0,0.0,-0.0013,3.47995,3.48135,0.0014,-0.0014,0.13836,+0.00024;-0.00047;-0.00271,+--,0.8806,-5.3e-05,0.001083,0.9950199999999999,False,False
player_vs_archetype_v1,opp_3pa,height_inches,paint,8687,3261,False,,0.0,0.0,0.0034,3.48656,3.48797,0.00141,-0.00141,0.11583,-0.00308;+0.00503;+0.00058,-++,0.73632,-0.000207,0.002376,0.9950199999999999,False,False
player_vs_archetype_v1,pace,rim_share,paint,8687,3261,False,,0.0,0.0,0.0022,3.47215,3.4744,0.00225,-0.00225,0.10669,+0.00011;-0.00036;-0.00115,+--,0.95025,1.7e-05,0.001459,0.9950199999999999,False,False
player_vs_archetype_v1,rot_height,rim_share,paint,8687,3261,False,,0.0006,0.0,-0.0038,3.47648,3.48664,0.01016,-0.01016,-0.10241,-0.00354;-0.00036;-0.00152,---,0.99005,-0.000333,0.003412,0.9950199999999999,False,False
player_vs_archetype_v1,rot_height,height_inches,paint,8687,3261,False,,0.0006,0.0,-0.0006,3.48424,3.49468,0.01044,-0.01044,-0.19541,-0.00290;+0.00348;-0.00019,-+-,0.99502,-0.000322,0.001882,0.9950199999999999,False,False
player_vs_archetype_v1,rot_height,fg3a_rate,fg3,8687,3261,False,,0.0006,0.0,0.006,3.29655,3.31139,0.01484,-0.01484,-0.10087,-0.00911;+0.00127;+0.00275,-++,0.93035,0.001244,0.013505,0.9950199999999999,False,False
