screen,file,n_keys,keys,name_says_standardised,empirically_standardised,sample_stats
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L4_B_TEAM_COMPLETE.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.0023834945967715336, 0.0032734061044255433], [""z_null"", -9.458139577505494e-17, 0.9991677068886807]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L4_B_TEAM_PLUS_OPP.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.0009214788525623134, 0.0013366582760577213], [""z_null"", -2.66010175617342e-17, 0.9991677068886807]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_C1_LEVELUP_N_ESWAP.npz,2,draws|observed,False,False,"[[""draws"", 0.0007925289751117131, 0.0010369818022305428]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_C1_LEVELUP_N_ROW.npz,2,draws|observed,False,False,"[[""draws"", 0.0006190870293417099, 0.0008042122653745276]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L1_N_ESWAP.npz,2,draws|observed,False,False,"[[""draws"", 0.0022644414880682792, 0.0029648226897163498]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L1_N_ROW.npz,2,draws|observed,False,False,"[[""draws"", 0.0006001313927039477, 0.0008075401363534274]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L2_N_ESWAP.npz,2,draws|observed,False,False,"[[""draws"", 0.0021186728486007325, 0.002571631323674547]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L2_N_ROW.npz,2,draws|observed,False,False,"[[""draws"", 0.000612703727693733, 0.0008574375601673875]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L3_N_ESWAP.npz,2,draws|observed,False,False,"[[""draws"", 0.002241723566531652, 0.003104968269368789]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L3_N_ROW.npz,2,draws|observed,False,False,"[[""draws"", 0.0006458163211758015, 0.0008781036384625674]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L4_N_ESWAP.npz,2,draws|observed,False,False,"[[""draws"", 0.0023616084742265936, 0.003094886473720017]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/level_L4_N_ROW.npz,2,draws|observed,False,False,"[[""draws"", 0.0006444643158004336, 0.0009939445499110966]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/relevel_C1_B_TEAM_COMPLETE.npz,2,draws|observed,False,False,"[[""draws"", 0.0007636125088543893, 0.0011406675115086737]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/relevel_C1_B_TEAM_PLUS_OPP.npz,2,draws|observed,False,False,"[[""draws"", 0.0006927519174579096, 0.00097684033051844]]"
