screen,file,rows,numeric_cols,standardised_cols,RAW_RECOVERABLE,stats
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_opp_fgaA48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 8.297696576187768e-05, ""sd"": 0.00010670136450356407, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.347162594696264e-05, ""sd"": 7.377208337148068e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_opp_missA48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 9.015351709056915e-05, ""sd"": 0.0001111065938660458, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.651918277638483e-05, ""sd"": 7.984846819128403e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_opp_missO48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 8.78892731630293e-05, ""sd"": 0.00011602750404038601, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.6175762719814034e-05, ""sd"": 8.465244997359108e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_opp_orebA100.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 9.02649111747444e-05, ""sd"": 0.00012404127541822748, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 4.833935553587887e-05, ""sd"": 7.25763560825854e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_opp_pace48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 9.578100804663234e-05, ""sd"": 0.0001319086120140895, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.053935746595049e-05, ""sd"": 7.43287698706421e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_own_orebR100.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 7.300518364919834e-05, ""sd"": 8.675302251238994e-05, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.6080167954035145e-05, ""sd"": 6.849667894417785e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_own_pace48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 8.598461924613187e-05, ""sd"": 0.0001122391673753563, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.135509788815346e-05, ""sd"": 7.824713735274676e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_ppm.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.00011493584579972152, ""sd"": 0.00016198414468566487, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.949324681708978e-05, ""sd"": 0.00011438727406094557, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_exp_gposs.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.00010389625578120329, ""sd"": 0.00015028564697320627, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.620312392837378e-05, ""sd"": 6.890811398893312e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_opp_fgaA48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 7.23450208586247e-05, ""sd"": 9.123287225774232e-05, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.12770079792662e-05, ""sd"": 9.047680781176964e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_opp_missA48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 9.07741644290673e-05, ""sd"": 0.00014032048098126928, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.285571422648163e-05, ""sd"": 8.662487569877657e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_opp_missO48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 7.043720302609553e-05, ""sd"": 9.175701042398929e-05, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.760600785905064e-05, ""sd"": 8.887332423652562e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_opp_orebA100.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 7.278934006095415e-05, ""sd"": 0.00010968204849953925, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.0123108473193536e-05, ""sd"": 6.577203401706864e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_opp_pace48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 8.087438805213159e-05, ""sd"": 0.0001037799400945949, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.123766414740943e-05, ""sd"": 0.00010236802778889413, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_own_orebR100.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.0001185207255145843, ""sd"": 0.00015949157511119407, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.0038796016513484e-05, ""sd"": 9.532185389148087e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_own_pace48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.0001115354256054226, ""sd"": 0.00014407471617902302, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 4.803301232175959e-05, ""sd"": 6.584833511260483e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_pts_ppm.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.0001301038546168079, ""sd"": 0.00018487925664511547, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.569606818953825e-05, ""sd"": 9.022901610042681e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_exp_gposs.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.00011759727598357518, ""sd"": 0.00015234788334394776, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 6.256556097739752e-05, ""sd"": 8.089284491861506e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_opp_fgaA48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 7.130768395308346e-05, ""sd"": 8.331190947905381e-05, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.9137373592911184e-05, ""sd"": 8.355748517217255e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_opp_missA48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 7.703093842906566e-05, ""sd"": 8.696248903769894e-05, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.183430796563592e-05, ""sd"": 7.548999358510434e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_opp_missO48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 5.4656781620264354e-05, ""sd"": 7.793246218375557e-05, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.523130789174895e-05, ""sd"": 7.298877527123672e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_opp_orebA100.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 6.363242316063766e-05, ""sd"": 9.618207271568964e-05, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.9586195387481485e-05, ""sd"": 7.162423335066781e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_opp_pace48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 8.576081804986462e-05, ""sd"": 0.00011477079050801591, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 4.858130968122243e-05, ""sd"": 6.486920931664804e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_own_orebR100.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.00015724381898271804, ""sd"": 0.00020851779638759825, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 4.1559023873823863e-05, ""sd"": 5.452603279577899e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_reb_own_pace48.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 0.00014543566221687166, ""sd"": 0.0001996848570679191, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.4472968569055475e-05, ""sd"": 8.243769022593794e-05, ""n"": 200}}"
