game_id,era,season,game_date,status,n_events,n_dup_rows_dropped,n_conflicting_dup_keys,n_unattributed_pts,ot_periods,rec_home,rec_away,posted_home,posted_away,master_home,master_away,n_checkpoints,n_checkpoint_mismatch,first_mismatch_event,exact_vs_master,posted_matches_master
1022100118,v2,2021,2021-07-11,ok,344,0,0,0,0,82,75,82,75,82,75,81,0,,True,True
1022100119,v2,2021,2021-07-11,ok,348,0,0,0,0,61,86,61,86,61,86,79,0,,True,True
1022100120,v2,2021,2021-08-15,ok,461,0,0,0,1,87,85,87,85,87,85,95,0,,True,True
1022100121,v2,2021,2021-08-15,ok,312,0,0,0,0,59,80,59,80,59,80,68,0,,True,True
1022100122,v2,2021,2021-08-15,ok,384,0,0,0,0,84,83,84,83,84,83,88,0,,True,True
1022100123,v2,2021,2021-08-15,ok,405,0,0,0,0,92,81,92,81,92,81,88,0,,True,True
1022100124,v2,2021,2021-08-15,ok,366,0,0,0,0,88,78,88,78,88,78,90,0,,True,True
1022100125,v2,2021,2021-08-15,ok,408,0,0,0,0,75,70,75,70,75,70,81,0,,True,True
1022100126,v2,2021,2021-08-17,ok,345,0,0,0,0,72,60,72,60,72,60,70,0,,True,True
1022100127,v2,2021,2021-08-17,ok,375,0,0,0,0,76,80,76,80,76,80,81,0,,True,True
1022100128,v2,2021,2021-08-17,ok,369,0,0,0,0,93,83,93,83,93,83,101,0,,True,True
1022100129,v2,2021,2021-08-17,ok,387,0,0,0,0,84,80,84,80,84,80,90,0,,True,True
1022100130,v2,2021,2021-08-17,ok,449,0,0,0,1,85,80,85,80,85,80,85,0,,True,True
1022100131,v2,2021,2021-08-18,ok,345,0,0,0,0,83,79,83,79,83,79,79,0,,True,True
1022100132,v2,2021,2021-08-19,ok,348,0,0,0,0,82,71,82,71,82,71,88,0,,True,True
1022100133,v2,2021,2021-08-19,ok,409,0,0,0,0,77,64,77,64,77,64,78,0,,True,True
1022100134,v2,2021,2021-08-19,ok,364,0,0,0,0,66,64,66,64,66,64,66,0,,True,True
1022100135,v2,2021,2021-08-20,ok,370,0,0,0,0,83,99,83,99,83,99,96,0,,True,True
1022100136,v2,2021,2021-08-20,ok,373,0,0,0,0,81,83,81,83,81,83,91,0,,True,True
1022100137,v2,2021,2021-08-21,ok,372,0,0,0,0,69,84,69,84,69,84,80,0,,True,True
1022100138,v2,2021,2021-08-21,ok,400,0,0,0,0,95,101,95,101,95,101,113,0,,True,True
1022100139,v2,2021,2021-08-22,ok,391,0,0,0,0,83,86,83,86,83,86,87,0,,True,True
1022100140,v2,2021,2021-08-22,ok,392,0,0,0,0,78,85,78,85,78,85,89,0,,True,True
1022100141,v2,2021,2021-08-24,ok,365,0,0,0,0,76,70,76,70,76,70,77,0,,True,True
1022100142,v2,2021,2021-08-24,ok,359,0,0,0,0,79,86,79,86,79,86,83,0,,True,True
1022100143,v2,2021,2021-08-24,ok,345,0,0,0,0,76,62,76,62,76,62,74,0,,True,True
1022100144,v2,2021,2021-08-24,ok,375,0,0,0,0,78,68,78,68,78,68,80,0,,True,True
1022100145,v2,2021,2021-08-25,ok,348,0,0,0,0,79,106,79,106,79,106,89,0,,True,True
1022100146,v2,2021,2021-08-26,ok,380,0,0,0,0,71,78,71,78,71,78,81,0,,True,True
1022100147,v2,2021,2021-08-26,ok,352,0,0,0,0,76,72,76,72,76,72,86,0,,True,True
1022100148,v2,2021,2021-08-26,ok,361,0,0,0,0,77,82,77,82,77,82,84,0,,True,True
1022100149,v2,2021,2021-08-27,ok,364,0,0,0,0,64,80,64,80,64,80,74,0,,True,True
1022100150,v2,2021,2021-08-27,ok,383,0,0,0,0,69,73,69,73,69,73,78,0,,True,True
1022100151,v2,2021,2021-08-28,ok,384,1,0,0,0,71,87,71,87,71,87,89,0,,True,True
1022100152,v2,2021,2021-08-28,ok,357,0,0,0,0,76,61,76,61,76,61,76,0,,True,True
1022100153,v2,2021,2021-08-28,ok,391,0,0,0,0,76,75,76,75,76,75,88,0,,True,True
