rule,season,n,n_kept,mae_full,mae_kept,skill_full,skill_kept,skill_gain
dnp_frac5_minutes,2024,4769,3577,5.151749320921312,5.0923615596107705,0.04033422384046259,0.048916326820539924,0.008582102980077333
pred_width_minutes,2022,4362,3272,5.035327663130936,5.06874122413755,0.03202249376329014,0.014714381081561645,-0.017308112681728494
pred_width_minutes,2023,4748,3561,5.048011723847636,4.6702644360140315,0.033837599670867635,0.04362605013980214,0.009788450468934506
pred_width_minutes,2024,4769,3577,5.151749320921312,4.712289768787117,0.04033422384046259,0.06887512836713505,0.02854090452667246
pred_width_fga,2022,4362,3272,2.6344978887762407,2.5679545677084623,0.003621694400942066,0.0021350731506638576,-0.0014866212502782084
pred_width_fga,2023,4748,3561,2.6297493513868715,2.455173169135279,-0.0009007110048144806,0.012571674671412514,0.013472385676226994
pred_width_fga,2024,4769,3577,2.648165457398322,2.4798693251286426,0.0009232893589065094,0.031245177048241368,0.03032188768933486
games_prior_pts,2022,4362,3272,4.11097365778674,4.0372661766315945,0.00542626374426014,0.01600493768148814,0.010578673937228
games_prior_pts,2023,4748,3561,4.226803415354732,4.1327901540739935,-0.0038602477111771005,0.009748846651305598,0.013609094362482699
games_prior_pts,2024,4769,3577,4.228317122011194,4.116140435666417,-0.007474815776355781,0.01667006926523351,0.024144885041589292
min_cv5_pts,2022,4362,3272,4.11097365778674,4.499053181267614,0.00542626374426014,-0.00017781621174028928,-0.0056040799560004295
min_cv5_pts,2023,4748,3561,4.226803415354732,4.670025627535932,-0.0038602477111771005,-0.013451948164959093,-0.009591700453781993
min_cv5_pts,2024,4769,3577,4.228317122011194,4.6730983205114365,-0.007474815776355781,-0.020063897363924887,-0.012589081587569106
newfaces_minutes,2022,4362,3272,5.035327663130936,4.709468976731622,0.03202249376329014,0.045256436209119455,0.013233942445829316
newfaces_minutes,2023,4748,3561,5.048011723847636,4.683205574727801,0.033837599670867635,0.04912623685084583,0.015288637179978193
newfaces_minutes,2024,4769,3577,5.151749320921312,4.8387721640055394,0.04033422384046259,0.050475323210519285,0.010141099370056694
newfaces_fga,2022,4362,3272,2.6344978887762407,2.553231579154754,0.003621694400942066,0.009454783159527191,0.005833088758585125
newfaces_fga,2023,4748,3561,2.6297493513868715,2.5865139521452516,-0.0009007110048144806,0.006784505984838263,0.007685216989652743
newfaces_fga,2024,4769,3577,2.648165457398322,2.6055846308675514,0.0009232893589065094,0.007666399501090271,0.006743110142183761
newfaces_pts,2022,4362,3272,4.11097365778674,4.09405986641432,0.00542626374426014,0.009540195937669194,0.004113932193409053
newfaces_pts,2023,4748,3561,4.226803415354732,4.303451218055277,-0.0038602477111771005,-2.389621607434833e-05,0.003836351495102752
newfaces_pts,2024,4769,3577,4.228317122011194,4.268219912540159,-0.007474815776355781,0.002906925546535044,0.010381741322890825
