
====================================================================================================
EVERY CANDIDATE x |resid| DEPENDENT, GROUPED BY FAMILY
====================================================================================================

--- FAMILY: game_context ---
          candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
             pl_rest_days     fga_absres       WITHIN-block                  0.073148     0.019362     1.036747            0.463              0.290               1.240386                         1.0     2.703646     2.497409   0.923719
             pl_rest_days minutes_absres       WITHIN-block                  0.073148     0.207370     5.718463            0.002              0.000               1.817333                         1.0     4.856272     5.495189   1.131565
             pl_rest_days     pts_absres       WITHIN-block                  0.073148    -0.064257    -2.106086            0.612              0.039               1.443225                         1.0     4.448847     3.784814   0.850741
pl_teamgames_since_appear     fga_absres       WITHIN-block                  0.126140    -0.006024    -0.322529            0.884              0.733               1.349993                         1.0     2.739869     2.404035   0.877427
pl_teamgames_since_appear minutes_absres       WITHIN-block                  0.126140     0.192716     5.313493            0.020              0.000               1.835052                         1.0     4.662624     5.812809   1.246682
pl_teamgames_since_appear     pts_absres       WITHIN-block                  0.126140    -0.110517    -3.623451            0.374              0.002               1.390070                         1.0     4.509654     3.384883   0.750586

--- FAMILY: player_depth ---
            candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
pl_career_games_prior     fga_absres      BETWEEN-block                  0.929775     0.116044     6.222189            0.017              0.000               2.575701                         1.0     2.571165     2.760632   1.073689
pl_career_games_prior minutes_absres      BETWEEN-block                  0.929775    -0.576203   -16.016773            0.000              0.000               2.541597                         1.0     6.323135     4.281710   0.677150
pl_career_games_prior     pts_absres      BETWEEN-block                  0.929775     0.396035    13.057865            0.000              0.000               2.467432                         1.0     3.700147     4.765223   1.287847
       pl_games_prior     fga_absres       WITHIN-block                  0.173206    -0.129861    -6.965485            0.000              0.000               0.949590                         1.0     3.978900     2.691011   0.676320
       pl_games_prior minutes_absres       WITHIN-block                  0.173206    -0.549502   -15.261794            0.000              0.000               1.382397                         1.0     8.453518     4.761908   0.563305
       pl_games_prior     pts_absres       WITHIN-block                  0.173206    -0.074828    -2.452693            0.903              0.016               1.405701                         1.0     5.496114     4.399431   0.800462
  pl_is_rookie_window     fga_absres      BETWEEN-block                  1.000000    -0.118073    -6.331299            0.000              0.000               1.804715                         1.0     2.739861     2.485844   0.907288
  pl_is_rookie_window minutes_absres      BETWEEN-block                  1.000000     0.240687     6.639931            0.000              0.000               1.579495                         1.0     4.658804     5.795493   1.243987
  pl_is_rookie_window     pts_absres      BETWEEN-block                  1.000000    -0.306191   -10.070710            0.000              0.000               2.264876                         1.0     4.472367     3.614902   0.808275
     pl_minutes_prior     fga_absres       WITHIN-block                  0.401493     0.103548     5.550592            1.000              0.000               1.263281                         1.0     3.351340     3.082632   0.919821
     pl_minutes_prior minutes_absres       WITHIN-block                  0.401493    -0.627294   -17.466882            0.000              0.000               1.104411                         1.0     7.625838     4.352551   0.570764
     pl_minutes_prior     pts_absres       WITHIN-block                  0.401493     0.395141    13.028011            1.000              0.000               1.407134                         1.0     4.463303     5.171778   1.158733
pl_prior_season_games     fga_absres      BETWEEN-block                  1.000000     0.193223    10.386167            0.000              0.000               1.835789                         1.0     2.410163     2.879054   1.194547
pl_prior_season_games minutes_absres      BETWEEN-block                  1.000000    -0.417302   -11.549140            0.000              0.000               1.581142                         1.0     5.362980     4.261147   0.794548
pl_prior_season_games     pts_absres      BETWEEN-block                  1.000000     0.489243    16.183461            0.000              0.000               2.208443                         1.0     3.724667     4.992655   1.340430

--- FAMILY: prediction_side[fga] ---
      candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
   fga__pred_cv     fga_absres      BETWEEN-block                  0.557866    -0.439983   -24.044487            0.000                0.0               2.210937                       1.000     3.319017     1.420852   0.428094
   fga__pred_cv minutes_absres      BETWEEN-block                  0.557866    -0.227631    -6.278695            0.012                0.0               2.243358                       1.000     3.546476     4.243055   1.196415
   fga__pred_cv     pts_absres      BETWEEN-block                  0.557866    -0.829296   -27.930184            0.000                0.0               2.258875                       0.347     5.929828     1.938127   0.326844
  fga__pred_iqr     fga_absres      BETWEEN-block                  0.616790     0.368717    20.026093            0.000                0.0               2.273029                       1.000     1.442528     2.719565   1.885278
  fga__pred_iqr minutes_absres      BETWEEN-block                  0.616790     0.316023     8.728294            0.000                0.0               2.170582                       1.000     4.235778     5.779229   1.364384
  fga__pred_iqr     pts_absres      BETWEEN-block                  0.616790     0.675551    22.539968            0.000                0.0               2.205031                       1.000     1.972507     4.289332   2.174559
fga__pred_point     fga_absres      BETWEEN-block                  0.858792     0.533456    29.442454            0.000                0.0               1.865060                       0.020     1.418672     3.316177   2.337522
fga__pred_point minutes_absres      BETWEEN-block                  0.858792    -0.423964   -11.735325            0.000                0.0               1.884561                       1.000     4.246426     3.543907   0.834562
fga__pred_point     pts_absres      BETWEEN-block                  0.858792     1.126068    38.858201            0.000                0.0               2.102171                       0.000     1.937648     5.926552   3.058632
   fga__pred_sd     fga_absres      BETWEEN-block                  1.000000          NaN          NaN            0.000                0.0                    NaN                       0.000     2.746420     2.485501   0.904997
   fga__pred_sd minutes_absres      BETWEEN-block                  1.000000          NaN          NaN            0.000                0.0                    NaN                       0.000     4.638363     5.800266   1.250498
   fga__pred_sd     pts_absres      BETWEEN-block                  1.000000          NaN          NaN            0.000                0.0                    NaN                       0.000     4.500799     3.624312   0.805260
fga__pred_width     fga_absres      BETWEEN-block                  0.697074     0.555662    30.749775            0.000                0.0               2.562611                       0.000     1.418672     3.057020   2.154847
fga__pred_width minutes_absres      BETWEEN-block                  0.697074     0.217150     5.988834            0.414                0.0               2.411433                       1.000     4.246426     5.315672   1.251799
fga__pred_width     pts_absres      BETWEEN-block                  0.697074     1.043072    35.719282            0.000                0.0               2.854433                       0.000     1.937648     5.067875   2.615478

--- FAMILY: prediction_side[minutes] ---
          candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd   t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
   minutes__pred_cv     fga_absres      BETWEEN-block                  0.639204    -0.435393 -2.378341e+01            0.000                0.0               2.362956                       1.000     3.152425     1.547067   0.490755
   minutes__pred_cv minutes_absres      BETWEEN-block                  0.639204    -0.232609 -6.416403e+00            0.019                0.0               2.323602                       1.000     3.735634     4.228725   1.131997
   minutes__pred_cv     pts_absres      BETWEEN-block                  0.639204    -0.867455 -2.929296e+01            0.000                0.0               2.298540                       0.029     5.487399     2.115302   0.385484
  minutes__pred_iqr     fga_absres      BETWEEN-block                  0.960827     0.173621  9.325556e+00            0.000                0.0               1.611205                       1.000     2.619618     2.841285   1.084618
  minutes__pred_iqr minutes_absres      BETWEEN-block                  0.960827     0.263977  7.284787e+00            0.000                0.0               1.775358                       1.000     4.268869     5.462245   1.279553
  minutes__pred_iqr     pts_absres      BETWEEN-block                  0.960827     0.332085  1.092941e+01            0.000                0.0               1.636981                       1.000     4.189064     4.663961   1.113366
minutes__pred_point     fga_absres      BETWEEN-block                  0.791353     0.465681  2.551285e+01            0.000                0.0               1.857313                       0.981     1.543836     3.155138   2.043700
minutes__pred_point minutes_absres      BETWEEN-block                  0.791353    -0.288660 -7.968925e+00            0.000                0.0               1.996208                       1.000     4.222382     3.736344   0.884890
minutes__pred_point     pts_absres      BETWEEN-block                  0.791353     1.035081  3.542080e+01            0.000                0.0               1.994301                       0.000     2.108662     5.489672   2.603391
   minutes__pred_sd     fga_absres      BETWEEN-block                  1.000000    -2.338910 -2.277301e-13            1.000                1.0               1.000000                       1.000     2.746420     2.485501   0.904997
   minutes__pred_sd minutes_absres      BETWEEN-block                  1.000000    -1.299933 -6.510791e-14            1.000                1.0               1.000000                       1.000     4.638363     5.800266   1.250498
   minutes__pred_sd     pts_absres      BETWEEN-block                  1.000000    -1.100700 -6.559135e-14            1.000                1.0               1.000000                       1.000     4.500799     3.624312   0.805260
minutes__pred_width     fga_absres      BETWEEN-block                  0.727492     0.369224  2.005444e+01            0.000                0.0               2.327725                       1.000     1.569010     2.668263   1.700603
minutes__pred_width minutes_absres      BETWEEN-block                  0.727492     0.359684  9.942242e+00            0.000                0.0               2.299810                       1.000     4.229819     6.443222   1.523285
minutes__pred_width     pts_absres      BETWEEN-block                  0.727492     0.702057  2.345874e+01            0.000                0.0               2.335595                       1.000     2.135695     3.849777   1.802587

--- FAMILY: prediction_side[pts] ---
          candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd   t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
pts__fallback_level     fga_absres       WITHIN-block                  0.097591     0.521929  2.876785e+01            0.000              0.000               1.489645                       0.094     2.594187     3.837753   1.479366
pts__fallback_level minutes_absres       WITHIN-block                  0.097591     1.344557  3.901229e+01            0.000              0.000               1.639133                       0.000     4.318268     8.656756   2.004682
pts__fallback_level     pts_absres       WITHIN-block                  0.097591     0.529743  1.755174e+01            0.000              0.000               0.921899                       1.000     4.306358     5.181340   1.203184
 pts__is_cold_start     fga_absres       WITHIN-block                  0.132759     0.160186  8.599913e+00            0.000              0.000               1.485321                       1.000     2.736100     2.605791   0.952374
 pts__is_cold_start minutes_absres       WITHIN-block                  0.132759     0.492213  1.364805e+01            0.000              0.000               1.876821                       1.000     4.625577     6.142328   1.327905
 pts__is_cold_start     pts_absres       WITHIN-block                  0.132759     0.133511  4.378284e+00            0.000              0.000               0.848693                       1.000     4.486721     3.714486   0.827884
   pts__is_fallback     fga_absres       WITHIN-block                  0.081289     0.528916  2.917641e+01            0.000              0.000               1.469826                       0.043     2.594187     3.837753   1.479366
   pts__is_fallback minutes_absres       WITHIN-block                  0.081289     1.348308  3.913313e+01            0.000              0.000               1.623081                       0.000     4.318268     8.656756   2.004682
   pts__is_fallback     pts_absres       WITHIN-block                  0.081289     0.541904  1.796392e+01            0.000              0.000               0.924153                       1.000     4.306358     5.181340   1.203184
 pts__n_prior_games     fga_absres       WITHIN-block                  0.175658    -0.130079 -6.977254e+00            0.000              0.000               0.929978                       1.000     4.005540     2.694105   0.672595
 pts__n_prior_games minutes_absres       WITHIN-block                  0.175658    -0.554036 -1.538986e+01            0.000              0.000               1.380204                       1.000     8.559306     4.766776   0.556911
 pts__n_prior_games     pts_absres       WITHIN-block                  0.175658    -0.073983 -2.424992e+00            0.906              0.017               1.405196                       1.000     5.526616     4.391849   0.794672
       pts__pred_cv     fga_absres       WITHIN-block                  0.448299    -0.314057 -1.699010e+01            0.000              0.000               1.202346                       1.000     3.288356     1.520773   0.462472
       pts__pred_cv minutes_absres       WITHIN-block                  0.448299    -0.148680 -4.097662e+00            0.765              0.000               1.739076                       1.000     3.510521     4.538611   1.292860
       pts__pred_cv     pts_absres       WITHIN-block                  0.448299    -0.599233 -1.991602e+01            0.000              0.000               0.985613                       1.000     5.981876     2.050890   0.342851
      pts__pred_iqr     fga_absres      BETWEEN-block                  0.641782     0.435852  2.380951e+01            0.000              0.000               2.470024                       1.000     1.481739     2.856917   1.928084
      pts__pred_iqr minutes_absres      BETWEEN-block                  0.641782     0.243592  6.720328e+00            0.022              0.000               2.324047                       1.000     4.412356     4.361072   0.988377
      pts__pred_iqr     pts_absres      BETWEEN-block                  0.641782     0.837681  2.822872e+01            0.000              0.000               2.498223                       0.235     1.966237     5.025447   2.555871
    pts__pred_point     fga_absres      BETWEEN-block                  0.855035     0.499027  2.743541e+01            0.000              0.000               1.851219                       0.559     1.481739     3.296687   2.224877
    pts__pred_point minutes_absres      BETWEEN-block                  0.855035    -0.459911 -1.274152e+01            0.000              0.000               1.904280                       1.000     4.412356     3.513937   0.796386
    pts__pred_point     pts_absres      BETWEEN-block                  0.855035     1.102349  3.795371e+01            0.000              0.000               2.045077                       0.000     1.966237     5.982031   3.042376
       pts__pred_sd     fga_absres      BETWEEN-block                  1.000000     2.241456  9.712030e-14            1.000              1.000               1.000000                       1.000     2.746420     2.485501   0.904997
       pts__pred_sd minutes_absres      BETWEEN-block                  1.000000    -0.513005 -1.143424e-14            1.000              1.000               1.000000                       1.000     4.638363     5.800266   1.250498
       pts__pred_sd     pts_absres      BETWEEN-block                  1.000000    -3.567942 -9.461679e-14            1.000              1.000               1.000000                       1.000     4.500799     3.624312   0.805260
    pts__pred_width     fga_absres      BETWEEN-block                  0.717816     0.593876  3.302500e+01            0.000              0.000               2.515785                       0.000     1.481739     3.104788   2.095367
    pts__pred_width minutes_absres      BETWEEN-block                  0.717816     0.108081  2.977905e+00            1.000              0.004               2.307075                       1.000     4.412356     5.416039   1.227471
    pts__pred_width     pts_absres      BETWEEN-block                  0.717816     1.138975  3.935297e+01            0.000              0.000               2.893416                       0.000     1.966237     5.038221   2.562367

--- FAMILY: role_level ---
     candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
  pl_fga_mean5     fga_absres      BETWEEN-block                  0.820081     0.502472    27.635154            0.000              0.000               1.659649                       0.480     1.471601     3.342230   2.271153
  pl_fga_mean5 minutes_absres      BETWEEN-block                  0.820081    -0.471549   -13.067854            0.000              0.000               1.576646                       1.000     4.401705     3.606166   0.819266
  pl_fga_mean5     pts_absres      BETWEEN-block                  0.820081     1.076069    36.958631            0.000              0.000               2.030608                       0.000     2.013673     5.841365   2.900850
  pl_min_mean5     fga_absres      BETWEEN-block                  0.769198     0.473953    25.987906            0.000              0.000               2.170132                       0.956     1.580859     3.183961   2.014070
  pl_min_mean5 minutes_absres      BETWEEN-block                  0.769198    -0.252422    -6.964775            0.000              0.000               2.290665                       1.000     4.311592     3.865053   0.896433
  pl_min_mean5     pts_absres      BETWEEN-block                  0.769198     1.036726    35.482182            0.000              0.000               2.137686                       0.000     2.171211     5.550348   2.556338
  pl_pts_mean5     fga_absres      BETWEEN-block                  0.794214     0.468432    25.670703            0.000              0.000               1.692900                       0.974     1.515944     3.280059   2.163707
  pl_pts_mean5 minutes_absres      BETWEEN-block                  0.794214    -0.494903   -13.723626            0.000              0.000               1.638680                       1.000     4.421055     3.596549   0.813505
  pl_pts_mean5     pts_absres      BETWEEN-block                  0.794214     1.044969    35.790232            0.000              0.000               1.958533                       0.000     2.053954     5.837891   2.842270
pl_start_frac5     fga_absres      BETWEEN-block                  0.723085     0.463590    25.392979            0.000              0.000               2.584970                       0.987     1.990751     2.831071   1.422112
pl_start_frac5 minutes_absres      BETWEEN-block                  0.723085    -0.077027    -2.121938            0.996              0.029               2.484189                       1.000     4.458134     4.759272   1.067548
pl_start_frac5     pts_absres      BETWEEN-block                  0.723085     0.935952    31.767690            0.000              0.000               2.751855                       0.000     2.999447     4.818874   1.606588
  pl_usg_mean5     fga_absres      BETWEEN-block                  0.701553     0.463604    25.393775            0.000              0.000               1.584887                       0.987     1.610459     3.312267   2.056722
  pl_usg_mean5 minutes_absres      BETWEEN-block                  0.701553    -0.314898    -8.697033            0.000              0.000               1.513339                       1.000     4.901213     4.019024   0.820006
  pl_usg_mean5     pts_absres      BETWEEN-block                  0.701553     0.868835    29.342457            0.000              0.000               2.012808                       0.028     2.364452     5.654422   2.391431

--- FAMILY: role_volatility ---
        candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
pl_abs_min_trend5     fga_absres       WITHIN-block                  0.101693     0.011184     0.598831            0.689              0.546               1.157175                       1.000     2.409047     2.567505   1.065776
pl_abs_min_trend5 minutes_absres       WITHIN-block                  0.101693     0.377810    10.447115            0.003              0.000               1.564538                       1.000     4.298689     5.830502   1.356344
pl_abs_min_trend5     pts_absres       WITHIN-block                  0.101693    -0.057431    -1.882282            0.820              0.075               1.335940                       1.000     4.144843     3.908416   0.942959
       pl_fga_sd5     fga_absres       WITHIN-block                  0.351534     0.330097    17.877287            0.941              0.000               1.470093                       1.000     1.827009     3.095584   1.694345
       pl_fga_sd5 minutes_absres       WITHIN-block                  0.351534    -0.011676    -0.321591            1.000              0.732               1.232428                       1.000     4.569372     4.658492   1.019504
       pl_fga_sd5     pts_absres       WITHIN-block                  0.351534     0.625231    20.806463            0.664              0.000               1.351660                       1.000     2.754509     5.162822   1.874316
       pl_min_cv5     fga_absres      BETWEEN-block                  0.557390    -0.365807   -19.863511            0.000              0.000               2.350739                       1.000     2.903166     1.871531   0.644652
       pl_min_cv5 minutes_absres      BETWEEN-block                  0.557390     0.252242     6.959780            0.004              0.000               2.195141                       1.000     3.703564     5.107167   1.378987
       pl_min_cv5     pts_absres      BETWEEN-block                  0.557390    -0.803739   -27.023354            0.000              0.000               2.206609                       0.739     5.173989     2.629444   0.508204
      pl_min_rng5     fga_absres       WITHIN-block                  0.223122     0.016725     0.895544            0.439              0.382               1.106268                       1.000     2.406234     2.592681   1.077485
      pl_min_rng5 minutes_absres       WITHIN-block                  0.223122     0.550318    15.284837            0.000              0.000               1.533199                       1.000     3.775427     6.093154   1.613898
      pl_min_rng5     pts_absres       WITHIN-block                  0.223122    -0.055180    -1.808508            0.946              0.070               1.372977                       1.000     4.029138     4.042186   1.003238
       pl_min_sd5     fga_absres       WITHIN-block                  0.230156     0.015882     0.850440            0.527              0.388               1.143299                       1.000     2.426839     2.600882   1.071716
       pl_min_sd5 minutes_absres       WITHIN-block                  0.230156     0.570301    15.849725            0.000              0.000               1.527239                       1.000     3.857080     6.108129   1.583615
       pl_min_sd5     pts_absres       WITHIN-block                  0.230156    -0.057697    -1.891028            0.977              0.054               1.366574                       1.000     4.074261     4.011993   0.984717
    pl_min_trend5     fga_absres       WITHIN-block                  0.016962     0.012923     0.691949            0.558              0.462               1.136650                       1.000     2.534075     2.531621   0.999031
    pl_min_trend5 minutes_absres       WITHIN-block                  0.016962     0.028190     0.776478            0.500              0.433               1.107959                       1.000     5.356510     5.481244   1.023286
    pl_min_trend5     pts_absres       WITHIN-block                  0.016962     0.066971     2.195064            0.030              0.033               1.012678                       1.000     3.891658     4.058119   1.042774
       pl_pts_sd5     fga_absres       WITHIN-block                  0.426461     0.353623    19.184062            0.207              0.000               1.428063                       1.000     1.689887     3.123518   1.848358
       pl_pts_sd5 minutes_absres       WITHIN-block                  0.426461    -0.143432    -3.952872            1.000              0.000               1.190130                       1.000     4.431504     4.426230   0.998810
       pl_pts_sd5     pts_absres       WITHIN-block                  0.426461     0.763378    25.600455            0.977              0.000               1.446540                       0.977     2.471527     5.448791   2.204625
 pl_start_switch5     fga_absres       WITHIN-block                  0.273521    -0.063336    -3.392731            0.089              0.001               1.298198                       1.000     2.791329     2.482055   0.889202
 pl_start_switch5 minutes_absres       WITHIN-block                  0.273521     0.197943     5.457918            0.046              0.000               1.287878                       1.000     4.624262     5.712771   1.235391
 pl_start_switch5     pts_absres       WITHIN-block                  0.273521    -0.128301    -4.207190            0.360              0.000               1.251070                       1.000     4.533138     3.801031   0.838499
       pl_usg_sd5     fga_absres       WITHIN-block                  0.401901    -0.227907   -12.269185            0.000              0.000               1.232308                       1.000     2.640142     1.908022   0.722697
       pl_usg_sd5 minutes_absres       WITHIN-block                  0.401901    -0.039521    -1.088611            1.000              0.261               1.501634                       1.000     4.620245     4.711287   1.019705
       pl_usg_sd5     pts_absres       WITHIN-block                  0.401901    -0.514063   -17.021182            0.000              0.000               1.137079                       1.000     4.393433     2.693024   0.612966

--- FAMILY: roster_stability ---
            candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
tm_five_changed_prior     fga_absres       WITHIN-block                  0.082776     0.017074     0.914245            0.464              0.356               1.152243                         1.0     2.718028     2.471755   0.909393
tm_five_changed_prior minutes_absres       WITHIN-block                  0.082776     0.119585     3.295087            0.013              0.000               1.348345                         1.0     4.720019     5.908339   1.251762
tm_five_changed_prior     pts_absres       WITHIN-block                  0.082776     0.026333     0.862984            0.385              0.371               1.063614                         1.0     4.364738     3.587405   0.821906
 tm_five_tenure_prior     fga_absres       WITHIN-block                  0.326917    -0.091739    -4.916420            0.000              0.000               1.251635                         1.0     2.905376     2.528011   0.870115
 tm_five_tenure_prior minutes_absres       WITHIN-block                  0.326917    -0.312468    -8.629583            0.000              0.000               1.462096                         1.0     5.014863     4.785858   0.954335
 tm_five_tenure_prior     pts_absres       WITHIN-block                  0.326917    -0.120603    -3.954484            0.000              0.000               1.039398                         1.0     4.755447     3.945848   0.829753
    tm_newfaces_prior     fga_absres       WITHIN-block                  0.002028     0.310651    16.802040            0.000              0.000               1.009683                         1.0     2.625366     3.363472   1.281144
    tm_newfaces_prior minutes_absres       WITHIN-block                  0.002028     0.690524    19.272431            0.000              0.000               1.009224                         1.0     4.478024     6.912699   1.543694
    tm_newfaces_prior     pts_absres       WITHIN-block                  0.002028     0.305397    10.044399            0.000              0.000               1.008584                         1.0     4.318866     4.785101   1.107953
tm_roster_churn_prior     fga_absres       WITHIN-block                  0.056958     0.009059     0.485064            0.644              0.629               0.987058                         1.0     2.633575     2.630022   0.998651
tm_roster_churn_prior minutes_absres       WITHIN-block                  0.056958     0.081320     2.240254            0.026              0.022               0.982568                         1.0     4.568747     5.333547   1.167398
tm_roster_churn_prior     pts_absres       WITHIN-block                  0.056958     0.008620     0.282473            0.775              0.766               1.031667                         1.0     4.382796     4.148671   0.946581

--- FAMILY: schedule_state ---
       candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
   opp_rest_days     fga_absres       WITHIN-block                  0.010286     0.017177     0.919761            0.414              0.341               1.069494                         1.0     2.703263     2.654982   0.982140
   opp_rest_days minutes_absres       WITHIN-block                  0.010286     0.054345     1.496985            0.201              0.150               1.083560                         1.0     4.668312     5.392072   1.155037
   opp_rest_days     pts_absres       WITHIN-block                  0.010286     0.021589     0.707516            0.504              0.490               0.978461                         1.0     4.319582     4.243051   0.982283
         tm_3in4     fga_absres       WITHIN-block                  0.026383     0.016382     0.877188            0.376              0.349               1.034624                         1.0     2.724486     2.537465   0.931356
         tm_3in4 minutes_absres       WITHIN-block                  0.026383    -0.028433    -0.783159            0.575              0.431               1.218895                         1.0     4.639884     5.776685   1.245006
         tm_3in4     pts_absres       WITHIN-block                  0.026383     0.030312     0.993379            0.338              0.300               1.101241                         1.0     4.440188     3.620563   0.815408
          tm_b2b     fga_absres       WITHIN-block                  0.016543     0.001475     0.078959            0.941              0.943               1.014947                         1.0     2.738212     2.471278   0.902515
          tm_b2b minutes_absres       WITHIN-block                  0.016543     0.008934     0.246072            0.831              0.806               1.044438                         1.0     4.669882     5.734764   1.228032
          tm_b2b     pts_absres       WITHIN-block                  0.016543     0.028670     0.939565            0.352              0.339               1.025460                         1.0     4.451506     3.581389   0.804534
