record_idx,slate_date,team,side,sha,n_roster_name_key,n_roster_id_key,keys_differ,n_name_collisions,n_name_variants,n_departed_E1_I0045_rule,n_stale_phantom,n_arrival_not_debuted
18,2026-08-03,CHI,home,735b63bcb4e3,13,13,False,0,0,0,0,0
18,2026-08-03,PHX,away,735b63bcb4e3,11,11,False,0,0,0,0,0
19,2026-08-03,NYL,home,735b63bcb4e3,14,14,False,0,0,0,0,0
19,2026-08-03,SEA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
20,2026-08-03,ATL,home,735b63bcb4e3,13,13,False,0,0,0,0,0
20,2026-08-03,LVA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
21,2026-08-03,CHI,home,735b63bcb4e3,13,13,False,0,0,0,0,0
21,2026-08-03,PHX,away,735b63bcb4e3,11,11,False,0,0,0,0,0
22,2026-08-04,GSV,home,735b63bcb4e3,13,13,False,0,0,0,0,0
22,2026-08-04,TOR,away,735b63bcb4e3,14,14,False,0,0,1,0,1
23,2026-08-04,GSV,home,735b63bcb4e3,13,13,False,0,0,0,0,0
23,2026-08-04,TOR,away,735b63bcb4e3,14,14,False,0,0,1,0,1
24,2026-08-04,GSV,home,735b63bcb4e3,13,13,False,0,0,0,0,0
24,2026-08-04,TOR,away,735b63bcb4e3,14,14,False,0,0,1,0,1
25,2026-08-05,ATL,home,735b63bcb4e3,13,13,False,0,0,0,0,0
25,2026-08-05,PHX,away,735b63bcb4e3,12,12,False,0,0,0,0,0
26,2026-08-05,NYL,home,735b63bcb4e3,14,14,False,0,0,0,0,0
26,2026-08-05,SEA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
27,2026-08-05,WAS,home,735b63bcb4e3,13,13,False,0,0,0,0,0
27,2026-08-05,DAL,away,735b63bcb4e3,14,14,False,0,0,1,0,1
28,2026-08-05,CHI,home,735b63bcb4e3,13,13,False,0,0,0,0,0
28,2026-08-05,LAS,away,735b63bcb4e3,11,11,False,0,0,0,0,0
29,2026-08-05,ATL,home,735b63bcb4e3,13,13,False,0,0,0,0,0
29,2026-08-05,PHX,away,735b63bcb4e3,12,12,False,0,0,0,0,0
30,2026-08-05,NYL,home,735b63bcb4e3,14,14,False,0,0,0,0,0
30,2026-08-05,SEA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
31,2026-08-05,WAS,home,735b63bcb4e3,13,13,False,0,0,0,0,0
31,2026-08-05,DAL,away,735b63bcb4e3,14,14,False,0,0,1,0,1
32,2026-08-05,CHI,home,735b63bcb4e3,13,13,False,0,0,0,0,0
32,2026-08-05,LAS,away,735b63bcb4e3,11,11,False,0,0,0,0,0
33,2026-08-05,ATL,home,735b63bcb4e3,13,13,False,0,0,0,0,0
33,2026-08-05,PHX,away,735b63bcb4e3,12,12,False,0,0,0,0,0
34,2026-08-05,NYL,home,735b63bcb4e3,14,14,False,0,0,0,0,0
34,2026-08-05,SEA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
35,2026-08-05,WAS,home,735b63bcb4e3,13,13,False,0,0,0,0,0
35,2026-08-05,DAL,away,735b63bcb4e3,14,14,False,0,0,1,0,1
36,2026-08-05,CHI,home,735b63bcb4e3,13,13,False,0,0,0,0,0
36,2026-08-05,LAS,away,735b63bcb4e3,11,11,False,0,0,0,0,0
37,2026-08-06,IND,home,735b63bcb4e3,12,12,False,0,0,0,0,0
37,2026-08-06,LVA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
38,2026-08-06,MIN,home,735b63bcb4e3,13,13,False,0,0,1,0,1
38,2026-08-06,LAS,away,735b63bcb4e3,12,12,False,0,0,0,0,0
39,2026-08-06,PDX,home,735b63bcb4e3,12,12,False,0,0,0,0,0
39,2026-08-06,TOR,away,735b63bcb4e3,13,13,False,0,0,0,0,0
