log,record_idx,game_id,label,slate_date,side,team,shipped_n_roster,shipped_n_out,shipped_sum_ewma,shipped_vacated,shipped_out_names,reproduced,mine_n_roster,mine_n_out,mine_sum_ewma,mine_vacated,ok_n_roster,ok_n_out,ok_out_names,ok_sum_ewma,ok_vacated,mine_out_names,mine_roster,unmatched_injury,why
LIVE_main_worktree,23,1022600225,T-90m,2026-08-04,home,GSV,13,0,217.19097570984863,0.0,,True,13,0,217.19097570984863,0.0,True,True,True,True,True,,Ashten Prechtel|Cecilia Zandalasini|Gabby Williams|Janelle Salaun|Juste Jocyte|Kaila Charles|Kaitlyn Chen|Kayla Thornton|Kiah Stokes|Laeticia Amihere|Nadia Fingall|Tiffany Hayes|Veronica Burton,Iliana Rupert|Miela Sowah,
LIVE_main_worktree,23,1022600225,T-90m,2026-08-04,away,TOR,14,3,215.90126500162867,55.36800866975298,Brittney Sykes|Isabelle Harrison|Ornella Bankole,True,14,3,215.90126500162867,55.36800866975298,True,True,True,True,True,Brittney Sykes|Isabelle Harrison|Ornella Bankole,Aneesah Morrow|Brittney Sykes|Isabelle Harrison|Julie Allemand|Kia Nurse|Kiki Rice|Laura Juskaite|Maria Conde|Marina Mabrey|Nyara Sabally|Ornella Bankole|Temi Fagbenle|Teonni Key|Tima Pouye,,
LIVE_main_worktree,24,1022600225,T-30m,2026-08-04,home,GSV,13,0,217.19097570984863,0.0,,True,13,0,217.19097570984863,0.0,True,True,True,True,True,,Ashten Prechtel|Cecilia Zandalasini|Gabby Williams|Janelle Salaun|Juste Jocyte|Kaila Charles|Kaitlyn Chen|Kayla Thornton|Kiah Stokes|Laeticia Amihere|Nadia Fingall|Tiffany Hayes|Veronica Burton,Iliana Rupert|Miela Sowah,
LIVE_main_worktree,24,1022600225,T-30m,2026-08-04,away,TOR,14,3,215.90126500162867,55.36800866975298,Brittney Sykes|Isabelle Harrison|Ornella Bankole,True,14,3,215.90126500162867,55.36800866975298,True,True,True,True,True,Brittney Sykes|Isabelle Harrison|Ornella Bankole,Aneesah Morrow|Brittney Sykes|Isabelle Harrison|Julie Allemand|Kia Nurse|Kiki Rice|Laura Juskaite|Maria Conde|Marina Mabrey|Nyara Sabally|Ornella Bankole|Temi Fagbenle|Teonni Key|Tima Pouye,,
LIVE_main_worktree,25,1022600226,T-8h,2026-08-05,home,ATL,13,1,211.0106458389056,7.355272502977563,Te-Hina Paopao,True,13,1,211.0106458389056,7.355272502977563,True,True,True,True,True,Te-Hina Paopao,Aaliyah Nye|Allisha Gray|Angel Reese|Brionna Jones|Isobel Borlase|Jaylyn Sherrod|Jordin Canada|Madina Okot|Naz Hillmon|Rhyne Howard|Shatori Walker-Kimbrough|Sika Kone|Te-Hina Paopao,Indya Nivar,
LIVE_main_worktree,25,1022600226,T-8h,2026-08-05,away,PHX,12,0,242.81914582640513,0.0,,True,12,0,242.81914582640513,0.0,True,True,True,True,True,,Alyssa Thomas|DeWanna Bonner|Kahleah Copper|Kelsey Plum|Kyara Linskens|Lexi Held|Marta Suarez|Monique Akoa Makani|Natasha Mack|Noemie Brochant|Sami Whitcomb|Valeriane Ayayi,Jovana Nogic|Kara Dunn|Shay Ciezki,
LIVE_main_worktree,26,1022600227,T-8h,2026-08-05,home,NYL,14,3,220.40200701881122,60.48711190010607,Anneli Maley|Leonie Fiebich|Satou Sabally,True,14,3,220.40200701881122,60.48711190010607,True,True,True,True,True,Anneli Maley|Leonie Fiebich|Satou Sabally,Anneli Maley|Betnijah Laney-Hamilton|Breanna Stewart|Han Xu|Jonquel Jones|Leonie Fiebich|Marine Fauthoux|Marine Johannes|Pauline Astier|Raquel Carrera|Rebecca Allen|Rebekah Gardner|Sabrina Ionescu|Satou Sabally,,
LIVE_main_worktree,26,1022600227,T-8h,2026-08-05,away,SEA,13,2,200.64029143850755,19.657936857282117,Ezi Magbegor|Taina Mair,True,13,2,200.64029143850755,19.657936857282117,True,True,True,True,True,Ezi Magbegor|Taina Mair,Awa Fam|Dominique Malonga|Ezi Magbegor|Flau'jae Johnson|Jade Melbourne|Jordan Horston|Katie Lou Samuelson|Mackenzie Holmes|Natisha Hiedeman|Stefanie Dolson|Taina Mair|Taylor Thierry|Zia Cooke,,
LIVE_main_worktree,27,1022600228,T-8h,2026-08-05,home,WAS,13,1,213.0858982864645,0.25,Darianna Littlepage-Buggs,True,13,1,213.0858982864645,0.25,True,True,True,True,True,Darianna Littlepage-Buggs,Alicia Florez|Angela Dugalic|Cassandre Prosper|Cotie McMahon|Darianna Littlepage-Buggs|Georgia Amoore|Kiki Iriafen|Lauren Betts|Lucy Olsen|Michaela Onyenwere|Rori Harmon|Shakira Austin|Sonia Citron,,
LIVE_main_worktree,27,1022600228,T-8h,2026-08-05,away,DAL,14,2,214.0267418743264,5.783333333333333,Costanza Verona|Haley Jones,True,14,2,214.0267418743264,5.783333333333333,True,True,True,True,True,Costanza Verona|Haley Jones,Alanna Smith|Alysha Clark|Arike Ogunbowale|Awak Kuier|Aziaha James|Azzi Fudd|Costanza Verona|Haley Jones|Jessica Shepard|Li Yueru|Maddy Siegrist|Odyssey Sims|Paige Bueckers|Sug Sutton,,
LIVE_main_worktree,28,1022600229,T-8h,2026-08-05,home,CHI,13,3,194.52467876335217,71.44091134243718,Azura Stevens|Chloe Bibby|Skylar Diggins,True,13,3,194.52467876335217,71.44091134243718,True,True,True,True,True,Azura Stevens|Chloe Bibby|Skylar Diggins,Aicha Coulibaly|Azura Stevens|Chloe Bibby|Courtney Vandersloot|DiJonai Carrington|Elizabeth Williams|Gabriela Jaquez|Jacy Sheldon|Kamilla Cardoso|Natasha Cloud|Rachel Banham|Skylar Diggins|Sydney Taylor,Maddy Westbeld|Rickea Jackson,
LIVE_main_worktree,28,1022600229,T-8h,2026-08-05,away,LAS,11,0,213.4797639207927,0.0,,True,11,0,213.4797639207927,0.0,True,True,True,True,True,,Ariel Atkins|Cameron Brink|Chance Gray|Dearica Hamby|Emma Cannon|Erica Wheeler|Jihyun Park|Kate Martin|Kiana Williams|Nneka Ogwumike|Rae Burrell,Alissa Pili|Kelsey Plum|Tonie Morgan,
