arm,target,partition,cell,n_rows,share_inside_fallback,n_outside_fallback,n_distinct_pred,verdict
cbs_v14_player_oof,e_minutes_given_active,P06_n_prior_games_bin,1,669,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,e_minutes_given_active,P06_n_prior_games_bin,2,740,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,e_minutes_given_active,P07_n_prior_appearances_bin,0,1050,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,e_minutes_given_active,P07_n_prior_appearances_bin,1,669,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,e_minutes_given_active,P07_n_prior_appearances_bin,2,740,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,e_minutes_given_active,P14_player_season_game_index_bin,0,489,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,e_minutes_given_active,P14_player_season_game_index_bin,1,488,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,e_minutes_given_active,P14_player_season_game_index_bin,2,487,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P02_is_fallback,True,2459,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P03_fallback_level,2,1409,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P03_fallback_level,3,1050,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P04_component_id,attempts_usage/prefix_mean,2459,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P05_is_cold_start,True,1050,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P06_n_prior_games_bin,0,1050,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P06_n_prior_games_bin,1,669,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P06_n_prior_games_bin,2,740,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P07_n_prior_appearances_bin,0,1050,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P07_n_prior_appearances_bin,1,669,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P07_n_prior_appearances_bin,2,740,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P14_player_season_game_index_bin,0,489,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P14_player_season_game_index_bin,1,488,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,attempts_usage,P14_player_season_game_index_bin,2,487,1.0,0,3,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P02_is_fallback,True,1466,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P03_fallback_level,2,977,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P03_fallback_level,3,489,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P04_component_id,p_active/declared_constant,1466,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P05_is_cold_start,True,489,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P14_player_season_game_index_bin,0,489,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P14_player_season_game_index_bin,1,488,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
cbs_v14_player_oof,p_active,P14_player_season_game_index_bin,2,487,1.0,0,1,CONTAINED_IN_KNOWN_FALLBACK
