rank,arm,target,region,definition,known,n_rows,row_share,n_scoreable,loss_champion_in_region,loss_baseline_in_region,loss_reference_in_region,champion_vs_baseline_pct,champion_vs_reference_pct,pooled_skill_before_pct,pooled_skill_after_pct,routing_gain_pct,routing_gain_worst_over_grid_pct,routing_gain_best_over_grid_pct,fragile,paired_p,paired_n_blocks
11,cbs_v14_player_oof,player_scoring_distribution,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,2459,0.13808,1419,6.035887945962538,4.697267989658137,4.746193077679253,28.49784085667688,27.17324911092549,-2.0989905198895764,1.1827053429540713,3.281695862843648,0.5096298316465075,3.971878878381352,False,0.000249937515621,475
12,cbs_v15_player_oof_v5,player_scoring_distribution,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,5378,0.24879,1430,6.056623550145941,4.7394112515465,4.655489793015115,27.79274109562928,30.09637695335565,-2.326434066434113,0.8628963192179762,3.1893303856520894,0.5181805512255222,3.9787104258209527,False,0.000249937515621,476
13,cbs_v15_player_oof_v5,player_scoring_distribution,R7_fb_or_fit_ineligible,is_fallback OR fit_eligible == False  (DISJOINT UNION),combined,5730,0.26507,1444,6.0262582397162925,4.724333828403645,4.636503323846614,27.557841139108685,29.97420294560873,-2.326434066434113,0.8567419904135676,3.183176056847681,0.4726271808157989,3.98262800389223,False,0.000249937515621,476
14,cbs_v14_player_oof,player_scoring_distribution,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1409,0.07912,939,6.083044227542408,4.312641381453321,4.254171104011359,41.05147378362535,42.9901167305321,-2.0989905198895764,0.7730881407724155,2.872078660661992,0.4797233379159271,3.3051026787874527,False,0.000249937515621,467
15,cbs_v15_player_oof_v5,player_scoring_distribution,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1815,0.08396,952,6.133191184221035,4.412562436082206,4.235294117647059,38.99386746505797,44.81145851632999,-2.326434066434113,0.4470892371689738,2.773523303603087,0.4807624115581665,3.22235578310257,False,0.000249937515621,470
16,cbs_v14_player_oof,p_active,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,1466,0.08232,1466,0.1615552523874488,0.1305824250098961,0.1430552678303895,23.718986207527927,12.93205404990292,22.05917243512936,24.143792739805747,2.084620304676388,-0.3683104046859453,2.294547141719772,True,0.000249937515621,489
17,cbs_v14_player_oof,p_active,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,977,0.05486,977,0.1677379733879222,0.1213184513562054,0.1340839303991811,38.26254086892653,25.099236641221403,22.05917243512936,24.141300170367675,2.082127735238315,-0.0635924957378963,2.3451525516933303,True,0.000249937515621,488
18,cbs_v15_player_oof_v5,attempts_usage,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",3563,0.16482,478,4.596048366255412,4.1630933524188185,4.218474242171159,10.39983918652798,8.950490210648375,-2.451696318506613,-1.898997641918898,0.5526986765877151,0.0256809556116177,1.0723659706593611,False,0.000249937515621,476
19,cbs_v14_player_oof,attempts_usage,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",1050,0.05896,480,4.434631143601655,4.022778953950416,4.170816379513644,10.23800199727094,6.325254820227166,-2.1334435786053207,-1.5919146976909992,0.5415288809143215,0.063417437005353,0.8924189853094067,False,0.000249937515621,475
20,cbs_v14_player_oof,e_minutes_given_active,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",1050,0.05896,480,9.586944190449431,8.805658054898437,9.257863255680792,8.872546840680219,3.554610018318316,0.8278615357800057,1.3420209054432086,0.514159369663203,0.0301057787179481,0.8155837886498096,False,0.000249937515621,475
21,cbs_v15_player_oof_v5,e_minutes_given_active,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",3563,0.16482,478,9.242236172281627,8.452970286725632,8.408265410499094,9.337142552073608,9.918463809921915,0.8787696718162485,1.3848582135751686,0.50608854175892,0.0403502894182783,0.8505683395353736,False,0.000249937515621,476
22,cbs_v15_player_oof_v5,attempts_usage,R6_fit_ineligible,fit_eligible == False  (v5 contract; universe_tier B),NEW candidate (D6 coverage),3808,0.17616,383,4.582723659670163,4.138870380790822,4.140561431389807,10.724019793887171,10.678798892543906,-2.451696318506613,-1.9976962052710376,0.4540001132355753,-0.0198663434618717,0.8931797698553012,True,0.000249937515621,371
23,cbs_v15_player_oof_v5,attempts_usage,R4_tip_time_quality_null,tip_time_quality is null at cutoff,candidate,1071,0.04954,329,4.696826045207194,4.1995812647303685,4.179203363691932,11.8403419086772,12.385678237442631,-2.451696318506613,-2.014794466422232,0.4369018520843815,0.0097049174731189,0.8504576506673356,False,0.000249937515621,329
24,cbs_v15_player_oof_v5,player_scoring_distribution,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",3563,0.16482,478,5.904129015335292,5.379680736646165,5.492364861948984,9.7486877820947,7.49702839734856,-2.326434066434113,-1.901972612820746,0.4244614536133673,0.0330936500389844,0.7624321117285948,False,0.000249937515621,476
25,cbs_v14_player_oof,player_scoring_distribution,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",1050,0.05896,480,5.943638470121917,5.456423378857277,5.708711063667069,8.929202472676835,4.115244296563492,-2.0989905198895764,-1.6949540126299567,0.4040365072596197,0.0299064937306026,0.6673440887349225,False,0.000249937515621,475
26,cbs_v15_player_oof_v5,e_minutes_given_active,R6_fit_ineligible,fit_eligible == False  (v5 contract; universe_tier B),NEW candidate (D6 coverage),3808,0.17616,383,8.851763305733375,8.067906759864309,7.875995770564346,9.715736301868816,12.389132289987392,0.8787696718162485,1.2814965723829674,0.4027269005667189,-0.0049936739298317,0.7634472086176292,True,0.000249937515621,371
27,cbs_v15_player_oof_v5,e_minutes_given_active,R4_tip_time_quality_null,tip_time_quality is null at cutoff,candidate,1071,0.04954,329,8.698556323728955,7.798607521265082,7.575337399008395,11.539865290180472,14.827312178432962,0.8787696718162485,1.275951140766618,0.3971814689503694,0.004447865139423,0.7511083247925265,False,0.000249937515621,329
28,cbs_v15_player_oof_v5,player_scoring_distribution,R6_fit_ineligible,fit_eligible == False  (v5 contract; universe_tier B),NEW candidate (D6 coverage),3808,0.17616,383,5.921826208871339,5.3905098915134255,5.421422397564509,9.856513169457193,9.230120337637391,-2.326434066434113,-1.9818782196636688,0.3445558467704446,-0.0237704027261864,0.6023930655787435,True,0.0004998750312421,371
29,cbs_v15_player_oof_v5,player_scoring_distribution,R4_tip_time_quality_null,tip_time_quality is null at cutoff,candidate,1071,0.04954,329,6.019670188666441,5.418785504307042,5.444632956998336,11.088918058885966,10.561542645936717,-2.326434066434113,-1.9917039961779404,0.3347300702561728,0.017835793022991,0.574366834567086,False,0.000249937515621,329
30,cbs_v14_player_oof,p_active,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",489,0.02746,489,0.14920245398773,0.1487755187884751,0.1609795963994907,0.2869660295804266,-7.315922436862266,22.05917243512936,22.068757233086988,0.0095847979576291,-0.3047179089480489,-0.0506054099735697,True,0.8557860534866284,489
31,cbs_v15_player_oof_v5,e_minutes_given_active,R8_fit_ineligible_nonfallback,fit_eligible == False AND is_fallback == False,"NEW candidate, disjoint from R1",352,0.01628,14,6.561266775161037,6.667256982238067,6.556333201630822,-1.5897123413630698,0.0752489749756613,0.8787696718162485,0.87677914032529,-0.0019905314909585,-0.0253981802944558,0.0067084170598419,False,,0
32,cbs_v15_player_oof_v5,attempts_usage,R8_fit_ineligible_nonfallback,fit_eligible == False AND is_fallback == False,"NEW candidate, disjoint from R1",352,0.01628,14,2.3453278065597614,2.663985936991709,2.46313603724318,-11.961704677457508,-4.7828552261073405,-2.451696318506613,-2.463610680584716,-0.0119143620781025,-0.0376191803953096,-0.0015082403131749,False,,0
33,cbs_v15_player_oof_v5,player_scoring_distribution,R8_fit_ineligible_nonfallback,fit_eligible == False AND is_fallback == False,"NEW candidate, disjoint from R1",352,0.01628,14,2.9246586744022243,3.777376617420624,2.697171115921116,-22.57434270879446,8.434302041063457,-2.326434066434113,-2.346647548492009,-0.0202134820578958,-0.045553370409701,0.0039175780713218,False,,0
34,cbs_v15_player_oof_v5,p_active,R8_fit_ineligible_nonfallback,fit_eligible == False AND is_fallback == False,"NEW candidate, disjoint from R1",2156,0.09974,37,0.4798548926028768,0.4973093999793312,0.6955097015492123,-3.5097883484969006,-31.00672908889344,42.085929883181805,42.06358136005724,-0.0223485231245712,-0.2278253945758757,0.2471584519441516,False,0.6553361659585104,36
35,cbs_v15_player_oof_v5,p_active,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1332,0.06162,638,0.1359247648902821,0.21454191275376,0.2212208289794496,-36.64419080373843,-38.55697697303678,42.085929883181805,40.35021866169689,-1.7357112214849146,-4.965059306049868,-0.9218330898783876,False,0.000249937515621,375
36,cbs_v15_player_oof_v5,p_active,R2_is_cold_start,fallback_level == 3  (n_prior_appearances == 0),"KNOWN, subset of R1",936,0.0433,324,0.0566666666666666,0.3079460195927212,0.3287280764469618,-81.59850653643387,-82.76184155635715,42.085929883181805,39.26857650454808,-2.8173533786337246,-3.3471880206799254,-1.0521487725329126,False,0.000249937515621,324
37,cbs_v15_player_oof_v5,p_active,R6_fit_ineligible,fit_eligible == False  (v5 contract; universe_tier B),NEW candidate (D6 coverage),3808,0.17616,383,0.0824925092070664,0.3312228930464212,0.4368736864423084,-75.0945629245787,-81.11753768489785,42.085929883181805,38.78932329327082,-3.2966065899109886,-4.711938284370564,-1.2024619648633328,False,0.000249937515621,371
38,cbs_v15_player_oof_v5,p_active,R4_tip_time_quality_null,tip_time_quality is null at cutoff,candidate,1071,0.04954,329,0.0424688737436854,0.3369004960804068,0.4108572084383533,-87.39423828763091,-89.6633494870134,42.085929883181805,38.73380755908434,-3.352122324097462,-4.29089107328341,-1.2840868652346238,False,0.000249937515621,329
39,cbs_v15_player_oof_v5,p_active,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,2268,0.10492,962,0.1092307692307692,0.2582869725248633,0.2574290911202749,-57.70953209022014,-57.56859927701999,42.085929883181805,37.12383990305965,-4.962089980122153,-7.715916633324637,-2.335997700093906,False,0.000249937515621,415
40,cbs_v15_player_oof_v5,p_active,R7_fb_or_fit_ineligible,is_fallback OR fit_eligible == False  (DISJOINT UNION),combined,4424,0.20465,999,0.1229575886149213,0.2700196026828863,0.2736542989139393,-54.46345843293311,-55.06827807825159,42.085929883181805,37.00193030164019,-5.08399958154161,-7.5764886209194415,-2.414063404032285,False,0.000249937515621,436
