arm,target,season,partition,cell,n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,D1_flag,D2_flag,D3_flag,D4_flag,D5_flag,D6_flag,any_flag,top2_share,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,modal_value,modal_share,modal_n_seasons,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P18_candidate_source,S1|S2,826,726,320,4.300050196580137,7.751558982983143,0.5547335969473959,0.2046004842615012,8.722116603,False,False,True,False,True,True,True,0.4019370460048426,0.007263922518159807,0.0012106537530266344,0.007263922518159807,0.0,169,322,75,27,1,3,0.0,0.0,-0.052487948565160966,8.722116603,0.2046004842615012,1,0,0,0.7796143250688705,0.3484848484848485,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P18_candidate_source,S1|S_TX,95,40,11,2.3903598743565015,2.7339273901036534,0.8743318798477212,0.3368421052631579,8.690909091,False,True,False,False,True,False,True,0.6736842105263158,0.010526315789473684,0.3368421052631579,0.0,0.0,32,11,15,24,1,3,0.0,0.0,-0.022676754865811496,8.690909091,0.3368421052631579,1,0,0,0.7,0.2,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P18_candidate_source,S1|S_TX|S2,38,10,3,0.011968014118511073,4.2176876234364356,0.0028375771719101194,0.4473684210526316,8.690909091,False,False,False,False,False,False,False,0.7894736842105263,0.4473684210526316,0.21052631578947367,0.0,0.0,17,3,8,9,1,3,0.0,0.0,0.02419084144593742,8.690909091,0.4473684210526316,1,0,0,0.9,0.2,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P18_candidate_source,S2,2222,39,186,1.687286279596091,7.873836481961597,0.21429023620969836,0.414041404140414,8.722116603,False,False,True,True,True,True,True,0.7146714671467147,0.0009000900090009,0.00045004500450045,0.0009000900090009,0.0,920,186,174,33,1,3,0.0,0.0,-0.017825727898211206,8.722116603,0.414041404140414,1,0,0,0.6153846153846154,0.1794871794871795,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P18_candidate_source,S_TX,542,184,33,1.7791549868722092,5.552506984102369,0.32042372787034534,0.33025830258302585,8.722116603,False,False,True,False,True,True,True,0.6402214022140221,0.0018450184501845018,0.0018450184501845018,0.0018450184501845018,0.0,179,33,93,37,1,3,0.0,0.0,0.051910351210582066,8.722116603,0.33025830258302585,1,0,0,0.7228260869565217,0.27717391304347827,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P18_candidate_source,S_TX|S2,1044,160,68,1.880677656484991,7.391433827421932,0.2544401668736788,0.4827586206896552,8.722116603,False,False,True,True,True,True,True,0.7777777777777778,0.0009578544061302681,0.0009578544061302681,0.0,0.0,504,68,154,28,1,3,0.0,0.0,-0.042999965063545253,8.722116603,0.4827586206896552,1,0,0,0.74375,0.275,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P19_team_assignment_confidence,probable,1586,344,97,1.8555771261242933,6.8385361977017,0.2713412742843881,0.4306431273644388,8.722116603,False,False,True,True,True,True,True,0.725094577553594,0.0006305170239596469,0.0006305170239596469,0.0006305170239596469,0.0,683,97,210,37,1,3,0.0,0.0,-0.0011356484699539629,8.722116603,0.4306431273644388,1,0,0,0.7325581395348837,0.2761627906976744,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P19_team_assignment_confidence,verified,17809,13879,12550,5.668817839155917,7.580032388669301,0.747861954736462,0.0381267898253692,8.690909091,False,False,True,True,True,False,True,0.07423212982200011,0.0074119827053736875,5.6151384131618846e-05,0.0074119827053736875,0.0,679,12552,164,180,1,3,0.0,0.0,-0.009800556011146247,8.690909091,0.0381267898253692,1,0,0,0.8809712515310901,0.47842063549247066,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P19_team_assignment_confidence,weak,2222,39,186,1.687286279596091,7.873836481961597,0.21429023620969836,0.414041404140414,8.722116603,False,False,True,True,True,True,True,0.7146714671467147,0.0009000900090009,0.00045004500450045,0.0009000900090009,0.0,920,186,174,33,1,3,0.0,0.0,-0.017825727898211206,8.722116603,0.414041404140414,1,0,0,0.6153846153846154,0.1794871794871795,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P20_roster_evidence_regime,captured_asof,17809,13879,12550,5.668817839155917,7.580032388669301,0.747861954736462,0.0381267898253692,8.690909091,False,False,True,True,True,False,True,0.07423212982200011,0.0074119827053736875,5.6151384131618846e-05,0.0074119827053736875,0.0,679,12552,164,180,1,3,0.0,0.0,-0.009800556011146247,8.690909091,0.0381267898253692,1,0,0,0.8809712515310901,0.47842063549247066,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P20_roster_evidence_regime,retrospective_effective_date,1586,344,97,1.8555771261242933,6.8385361977017,0.2713412742843881,0.4306431273644388,8.722116603,False,False,True,True,True,True,True,0.725094577553594,0.0006305170239596469,0.0006305170239596469,0.0006305170239596469,0.0,683,97,210,37,1,3,0.0,0.0,-0.0011356484699539629,8.722116603,0.4306431273644388,1,0,0,0.7325581395348837,0.2761627906976744,True
