n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,top2_share,D1_flag,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,D2_flag,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,D3_flag,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,D4_flag,modal_value,modal_share,modal_n_seasons,D5_flag,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present,D6_flag,any_flag,arm,target,partition,cell
6651,5912,5829,6.0735378630590535,7.796854038196513,0.7789728823067619,0.003458126597504135,5.240664829,0.005863779882724403,False,0.0004510599909788002,0.00015035333032626674,0.0,0.0,False,23,5829,1,23,1,False,3,0.0,0.0,-0.008206895481349811,True,5.240664829,0.003458126597504135,1,False,0,0,0.8873477672530447,0.476319350473613,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P07_n_prior_appearances_bin,20+
1512,887,834,5.8883065554052365,7.1978979427879555,0.8180591892533174,0.04431216931216931,0.0,0.0701058201058201,False,0.04431216931216931,0.0013227513227513227,0.04431216931216931,0.0,True,39,836,1,39,1,False,3,0.0,0.0,0.02342094193945046,True,0.0,0.04431216931216931,3,True,0,0,0.9075535512965051,0.5377677564825254,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P07_n_prior_appearances_bin,3-4
3046,2173,2123,5.774271954815078,7.227590352711668,0.7989207568534471,0.014773473407747865,0.0,0.028890347997373604,False,0.014773473407747865,0.00032829940906106366,0.014773473407747865,0.0,True,43,2125,1,43,1,False,3,0.0,0.0,-0.010918634351116119,True,0.0,0.014773473407747865,3,True,0,0,0.9056603773584906,0.5264611136677404,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P07_n_prior_appearances_bin,5-9
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P08_residual_pool_n_bin,50+
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P09_selected_alpha_isnull,False
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P10_team_prior_games_bin,null
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P11_candidate_at_cutoff,nan
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P12_exact_cutoff_ok,False
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P13_tip_time_quality,none
4105,3241,3260,5.932784539719584,7.525328876327028,0.7883754500594352,0.01169305724725944,0.0,0.01412911084043849,False,0.01169305724725944,0.00048721071863581,0.01169305724725944,0.0,True,25,3262,6,24,1,False,3,0.0,0.0,0.0030414540737489708,True,0.0,0.01169305724725944,3,True,0,0,0.896636840481333,0.5075593952483801,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P14_player_season_game_index_bin,10-19
10193,8060,7954,5.910981831371076,7.62383294672137,0.775329400929895,0.002943196311193957,8.476335404,0.005690179534974983,False,0.002746983223781026,9.810654370646523e-05,0.002746983223781026,0.0,False,30,7955,1,30,1,False,3,0.0,0.0,-0.014799961532753057,True,8.476335404,0.002943196311193957,1,False,0,0,0.8977667493796526,0.4955334987593052,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P14_player_season_game_index_bin,20+
379,333,344,6.818735849048499,7.997989453930576,0.85255624408175,0.04221635883905013,0.0,0.047493403693931395,False,0.04221635883905013,0.002638522427440633,0.04221635883905013,0.0,True,9,346,7,7,1,False,3,0.0,0.0,0.02951527154633205,True,0.0,0.04221635883905013,3,True,0,0,0.8678678678678678,0.46546546546546547,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P14_player_season_game_index_bin,3-4
1562,1198,1215,6.37490492245205,7.477986684420121,0.8524894722979024,0.027528809218950064,0.0,0.030729833546734954,False,0.027528809218950064,0.0012804097311139564,0.027528809218950064,0.0,True,19,1217,9,18,1,False,3,0.0,0.0,-0.02459754458141638,True,0.0,0.027528809218950064,3,True,0,0,0.8948247078464107,0.48998330550918195,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P14_player_season_game_index_bin,5-9
15887,12818,12547,5.997750244300159,7.5994973410252795,0.7892298628649796,0.008308680052873418,0.0,0.011015295524642789,False,0.008308680052873418,6.294454585510165e-05,0.008308680052873418,0.0,False,68,12549,11,65,1,True,3,0.0,0.0,-0.010056904077094054,True,0.0,0.008308680052873418,3,False,0,0,0.896395693555937,0.4968793883601186,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P15_universe_tier,A
352,14,243,5.597016646653114,4.6344386907177855,1.20770108748299,0.019886363636363636,4.795819093,0.036931818181818184,False,0.008522727272727272,0.002840909090909091,0.008522727272727272,0.0,False,7,244,1,6,1,False,3,0.0,0.0,0.28105519086895575,False,4.795819093,0.019886363636363636,1,True,0,0,0.9285714285714286,0.8571428571428571,True,True,True,cbs_v15_player_oof_v5,player_scoring_distribution,P15_universe_tier,B
