SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,team_min,team_fgm,team_fga,team_fg_pct,team_fg3m,team_fg3a,team_fg3_pct,team_ftm,team_fta,team_ft_pct,team_oreb,team_dreb,team_reb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,team_plus_minus,team_video_available,year,season_type
22021,1611661323,CON,Connecticut Sun,1022100022,2021-05-23,CON @ LVA,W,200,27,80,0.338,7,26,0.269,11,12,0.917,12,32,44,16,10,2,11,17,72,7,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100021,2021-05-23,IND vs. WAS,W,200,33,64,0.516,7,15,0.467,16,23,0.696,7,30,37,26,6,4,14,13,89,12,1,2021,regular
22021,1611661319,LVA,Las Vegas Aces,1022100022,2021-05-23,LVA vs. CON,L,200,22,54,0.407,5,16,0.313,16,21,0.762,1,25,26,16,4,13,14,15,65,-7,1,2021,regular
22021,1611661313,NYL,New York Liberty,1022100020,2021-05-23,NYL @ CHI,W,200,36,73,0.493,14,28,0.5,7,10,0.7,12,28,40,25,4,10,22,17,93,8,1,2021,regular
22021,1611661322,WAS,Washington Mystics,1022100021,2021-05-23,WAS @ IND,L,200,27,70,0.386,9,27,0.333,14,17,0.824,9,23,32,15,6,3,11,21,77,-12,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100024,2021-05-24,DAL @ NYL,L,200,29,70,0.414,7,21,0.333,16,22,0.727,11,23,34,17,9,2,13,23,81,-7,1,2021,regular
22021,1611661313,NYL,New York Liberty,1022100024,2021-05-24,NYL vs. DAL,W,200,28,60,0.467,10,25,0.4,22,27,0.815,10,23,33,19,7,3,15,23,88,7,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100025,2021-05-25,ATL @ CHI,W,200,31,74,0.419,8,18,0.444,20,25,0.8,15,17,32,17,11,6,10,21,90,7,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100025,2021-05-25,CHI vs. ATL,L,200,25,62,0.403,6,17,0.353,27,28,0.964,13,28,41,22,5,5,21,22,83,-7,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100026,2021-05-25,CON @ SEA,L,225,33,70,0.471,8,19,0.421,13,17,0.765,5,32,37,19,7,11,18,24,87,-3,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100023,2021-05-25,IND vs. WAS,L,200,28,64,0.438,5,14,0.357,8,10,0.8,7,26,33,21,5,2,15,10,69,-16,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100026,2021-05-25,SEA vs. CON,W,225,29,72,0.403,13,28,0.464,19,25,0.76,9,29,38,22,11,2,12,17,90,3,1,2021,regular
22021,1611661322,WAS,Washington Mystics,1022100023,2021-05-25,WAS @ IND,W,200,34,68,0.5,12,28,0.429,5,6,0.833,5,21,26,25,0,2,10,14,85,16,1,2021,regular
